Date,hours,treatment
8/31/2019,4.75,2
9/1/2019,0,2
9/2/2019,4.75,2
9/3/2019,4.75,2
9/4/2019,4.75,2
9/5/2019,4.75,2
9/6/2019,4.75,2
9/7/2019,4.75,2
9/8/2019,0,2
9/9/2019,0,2
9/10/2019,4.75,2
9/11/2019,3.25,2
9/12/2019,3.25,2
9/13/2019,3.25,2
9/14/2019,3.25,2
9/15/2019,0,2
9/16/2019,3.25,2
9/17/2019,3.25,2
9/18/2019,3.25,2
9/19/2019,3.25,2
9/20/2019,3.25,2
9/21/2019,3.25,2
9/22/2019,0,2
9/23/2019,3.25,2
9/24/2019,3.25,2
9/25/2019,0,2
9/26/2019,0,2
9/27/2019,23.75,2
9/28/2019,23.75,2
5/19/2019,0,3
5/20/2019,0,3
5/21/2019,0,3
5/22/2019,5.5,3
5/23/2019,0,3
5/24/2019,5.5,3
5/25/2019,0,3
5/26/2019,5.5,3
5/27/2019,0,3
5/28/2019,7,3
5/29/2019,0,3
5/30/2019,0,3
5/31/2019,0,3
6/1/2019,7,3
6/2/2019,0,3
6/3/2019,0,3
6/4/2019,7,3
6/5/2019,0,3
6/6/2019,7,3
6/7/2019,0,3
6/8/2019,0,3
6/9/2019,7,3
6/10/2019,5.5,3
6/11/2019,0,3
6/12/2019,0,3
6/13/2019,5.5,3
6/14/2019,0,3
6/15/2019,0,3
6/16/2019,0,3
6/17/2019,0,3
6/18/2019,0,3
6/19/2019,0,3
6/20/2019,0,3
6/21/2019,0,3
6/22/2019,0,3
6/23/2019,0,3
6/24/2019,0,3
6/25/2019,0,3
6/26/2019,0,3
6/27/2019,0,3
6/28/2019,0,3
6/29/2019,0,3
6/30/2019,0,3
7/1/2019,0,3
7/2/2019,0,3
7/3/2019,0,3
7/4/2019,0,3
7/5/2019,0,3
7/6/2019,0,3
7/7/2019,0,3
7/8/2019,0,3
7/9/2019,0,3
7/10/2019,0,3
7/11/2019,6.25,3
7/12/2019,7,3
7/13/2019,7,3
7/14/2019,0,3
7/15/2019,7,3
7/16/2019,0,3
7/17/2019,7,3
7/18/2019,0,3
7/19/2019,7.25,3
7/20/2019,4,3
7/21/2019,0,3
7/22/2019,7,3
7/23/2019,19,3
7/24/2019,19,3
7/25/2019,18.5,3
7/26/2019,19,3
7/27/2019,21,3
7/28/2019,21,3
7/29/2019,8,3
7/30/2019,5,3
7/31/2019,6,3
8/1/2019,6,3
8/2/2019,6,3
8/3/2019,13,3
8/4/2019,0,3
8/5/2019,13,3
8/6/2019,11,3
8/7/2019,9,3
8/8/2019,8,3
8/9/2019,5,3
8/10/2019,0,3
8/11/2019,0,3
8/12/2019,15.75,3
8/13/2019,15.75,3
8/14/2019,15.75,3
8/15/2019,15.75,3
8/16/2019,15.75,3
8/17/2019,5,3
8/18/2019,0,3
8/19/2019,9,3
8/20/2019,5,3
8/21/2019,5,3
8/22/2019,5,3
8/23/2019,5,3
8/24/2019,5,3
8/25/2019,0,3
8/26/2019,5,3
8/27/2019,5,3
8/28/2019,5,3
8/29/2019,5,3
