Sample,Rep,Date,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B1R3,1,9/3/2019,1209.2,D3G,49,55,7.58,54.86,60
B1R3,2,9/3/2019,1197.6,D3G,49,52,6.73,54.64,60
B1R3,3,9/3/2109,,D3G,,,,,
B1R4,1,9/3/2019,1121.5,D3G,47,51.5,6.09,52.9,60
B1R4,2,9/3/2019,1127.4,D3G,47,50.5,5.8,52.58,60
B1R4,3,9/3/2019,870.9,D3G,47,52,8.66,52.04,60
B2R1,1,9/3/2019,1760.8,D3G,62,51,10.66,69.09,60
B2R1,2,9/3/2019,1090.1,D3G,62,52.5,9.33,69.1,60
B2R1,3,9/3/2019,1283.7,D3G,62,53.5,10.6,69.07,60
B2R2,1,9/3/2019,1600.6,D3G,60,55,10.5,67.11,60
B2R2,2,9/3/2019,1502,D3G,60,58,11.08,67.33,60
B2R2,3,9/3/2019,1875.2,D3G,60,53,10.78,67.23,60
B2R3,1,9/3/2019,1162,D3G,54,50.5,9.45,60.4,60
B2R3,2,9/3/2019,985,D3G,54,51,9.83,60.1,60
B2R3,3,9/3/2019,1143.4,D3G,54,50,8.16,60.11,60
B3R1,1,9/3/2019,1305.6,D3G,54,52.5,9.59,59.93,60
B3R1,2,9/3/2019,1733.6,D3G,54,50.5,9.21,59.81,60
B3R1,3,9/3/2019,1324.3,D3G,54,52,9.45,59.06,60
B3R2,1,9/3/2019,2023.5,D3G,54,52,9.23,61.06,60
B3R2,2,9/3/2019,1794.5,D3G,54,50,9.73,60.77,60
B3R2,3,9/3/2019,1637.6,D3G,54,51,9.12,60.82,60
B3R3,1,9/3/2019,1725.7,D3G,52,51,8.77,57.2,60
B3R3,2,9/3/2019,1744.4,D3G,52,52.5,10.8,56.84,60
B3R3,3,9/3/2019,1732.5,D3G,52,52,9.59,57.13,60
B1R2,1,9/12/2019,1300.2,D3G,69,54.5,10.67,75.33,60
B1R2,2,9/12/2019,1030.7,D3G,69,57,11.24,75.67,60
B1R2,3,9/12/2019,1296.3,D3G,69,51.5,10.58,75.98,60
B1R3,1,9/12/2019,1283.8,D3G,47,52,8.71,52.66,60
B1R3,2,9/12/2019,871.7,D3G,47,57,8.71,52.89,60
B1R3,3,9/12/2019,995.6,D3G,47,57,8.76,52.14,60
B1R4,1,9/12/2019,1218.6,D3G,47,53,8.05,51.76,60
B1R4,2,9/12/2019,989.9,D3G,47,52,7.04,51.59,60
B1R4,3,9/12/2019,1107.1,D3G,47,54.5,8.19,51.77,60
B2R1,1,9/19/2019,1598.1,D3G,60,50.5,9.79,67.05,60
B2R1,2,9/19/2019,1322.7,D3G,60,53.5,10.54,67.21,60
B2R1,3,9/19/2019,1608.5,D3G,61,50.5,10.56,67.11,60
B2R2,1,9/19/2019,1573.3,D3G,58,51,10.42,64.16,60
B2R2,2,9/19/2019,1642,D3G,58,53,10.23,64.18,60
B2R2,3,9/19/2019,1686.4,D3G,58,54.5,10.71,64.23,60
B2R3,1,9/19/2019,984.2,D3G,52,53.5,7.54,57.23,60
B2R3,2,9/19/2019,950.1,D3G,52,59,7.01,56.82,60
B2R3,3,9/19/2019,1015.6,D3G,52,54,7.31,57.06,60
B3R1,1,9/19/2019,915.5,D3G,56,57.5,8.93,62.67,60
B3R1,2,9/19/2019,1006.3,D3G,56,55.5,9.59,62.56,60
B3R1,3,9/19/2019,1055.2,D3G,56,52.5,8.9,62.95,60
B3R2,1,9/19/2019,1287.3,D3G,55,56.5,9.17,61.52,60
B3R2,2,9/19/2019,1487.2,D3G,55,52.5,9.66,61.82,60
B3R2,3,9/19/2019,1191.2,D3G,55,59,8.45,61.45,60
B3R3,1,9/19/2019,1749.6,D3G,54,54,8.69,60.68,60
B3R3,2,9/19/2019,1718.6,D3G,54,51,8.82,60.48,60
B3R3,3,9/19/2019,1315.8,D3G,54,54,8.45,60.31,60
B1R2,1,8/8/2019,157.2,C3G,56,55.5,6.57,60.8,60
B1R2,2,8/8/2019,137.9,C3G,56,54.5,6.69,60.8,60
B1R2,3,8/8/2019,119,C3G,56,55,5.95,60.5,60
B1R3,1,8/8/2019,124.2,C3G,34,52.5,4.94,42,60
B1R3,2,8/8/2019,172.6,C3G,34,53,5.25,42,60
B1R3,3,8/8/2019,165.4,C3G,34,54.5,5.1,42.3,60
B1R4,1,8/8/2019,234.5,C3G,36,51.5,5.8,44.8,60
B1R4,2,8/8/2019,188.7,C3G,36,50,5.66,44.7,60
B1R4,3,8/8/2019,178.6,C3G,36,54,6.27,45,60
B2R1,1,8/8/2019,175.4,C3G,50,50,6.32,54.9,60
B2R1,2,8/8/2019,133.9,C3G,50,53,5.99,54.9,60
B2R1,3,8/8/2019,156.2,C3G,50,52,5.92,55.1,60
B2R2,1,8/8/2019,284.1,C3G,54,52.5,6.6,59.6,60
B2R2,2,8/8/2019,287.8,C3G,54,52,7.08,59.2,60
B2R2,3,8/8/2019,251.2,C3G,54,54,6.92,59.3,60
B2R3,1,8/8/2019,145.3,C3G,44,52,5.74,47,60
B2R3,2,8/8/2019,107.6,C3G,44,51,5.77,47,60
B2R3,3,8/8/2019,97.8,C3G,44,51.5,6.3,46.9,60
B3R1,1,8/8/2019,268.7,C3G,48,57,6.38,51.9,60
B3R1,2,8/8/2019,237,C3G,48,56,6.52,51.9,60
B3R1,3,8/8/2019,216.3,C3G,48,57,5.99,51.9,60
B3R2,1,8/8/2019,241.9,C3G,44,56,6.03,49.4,60
B3R2,2,8/8/2019,241.7,C3G,44,52.5,5.42,49.4,60
B3R2,3,8/8/2019,183.8,C3G,45,54,6.38,49.7,60
B3R3,1,8/8/2019,321.4,C3G,46,52.5,6.39,51.1,60
B3R3,2,8/8/2019,422.2,C3G,46,53.5,6.05,51.4,60
B3R3,3,8/8/2019,495.6,C3G,46,54,6.25,51.3,60
B1R2,1,8/15/2019,199.9,C3G,62,53,8.27,67.75,60
B1R2,2,8/15/2019,293.7,C3G,62,51,8.22,67.69,60
B1R2,3,8/15/2019,231.1,C3G,62,53.5,7.73,67.53,60
B1R3,1,8/15/2019,412.9,C3G,46,51.5,5.89,50.8,60
B1R3,2,8/15/2019,331.7,C3G,46,50,5.83,50.69,60
B1R3,3,8/15/2019,320.9,C3G,46,50.91,5.53,50.91,60
B1R4,1,8/15/2019,374.4,C3G,44,53,6.44,49.34,60
B1R4,2,8/15/2019,340.5,C3G,45,53,5.64,49.45,60
B1R4,3,8/15/2019,333.8,C3G,44,51,4.67,49.23,60
B2R1,1,8/15/2019,385.2,C3G,55,52,6.17,59.84,60
B2R1,2,8/15/2019,292.7,C3G,55,54,6.91,59.99,60
B2R1,3,8/15/2019,382.1,C3G,55,51,6.58,59.87,60
B2R2,1,8/15/2019,466.2,C3G,59,49.5,6.98,65.26,60
B2R2,2,8/15/2019,460.7,C3G,59,53,7.93,65.03,60
B2R2,3,8/15/2019,524.2,C3G,59,51,7.75,65.07,60
B2R3,1,8/15/2019,259.7,C3G,48,49,6.39,52.96,60
B2R3,2,8/15/2019,229.9,C3G,48,52,6,53.1,60
B2R3,3,8/15/2019,266.8,C3G,48,51,6.23,53.24,60
B3R1,1,8/15/2019,429.3,C3G,54,51.5,6.38,58.98,60
B3R1,2,8/15/2019,395.5,C3G,54,51,8.56,59.2,60
B3R1,3,8/15/2019,384.5,C3G,54,51.5,6.22,59.22,60
B3R2,1,8/15/2019,404.8,C3G,50,50.5,5.15,54.25,60
B3R2,2,8/15/2019,293.7,C3G,50,55,6.95,54.51,60
B3R2,3,8/15/2019,303.3,C3G,50,50.5,5.41,54.1,60
B3R3,1,8/15/2019,542.7,C3G,48,52,7.31,52.78,60
B3R3,2,8/15/2019,519.2,C3G,48,50,6.61,52.95,60
B3R3,3,8/15/2019,399.8,C3G,48,50,6.21,52.85,60
B1R2,1,8/20/2019,205.9,C3G,64,51,8.07,69.82,60
B1R2,2,8/20/2019,241.1,C3G,64,51.5,8.92,69.55,60
B1R2,3,8/20/2019,189.7,C3G,64,51.5,7.41,69.71,60
B1R3,1,8/20/2019,191.5,C3G,45,50.5,5.78,49.24,60
B1R3,2,8/20/2019,212.9,C3G,45,52.5,5.58,49.26,60
B1R3,3,8/20/2019,228.3,C3G,45,53,6.35,49.23,60
B1R4,1,8/20/2019,189.5,C3G,44,52.5,7.02,48.1,60
B1R4,2,8/20/2019,174.5,C3G,44,58,5.85,47.95,60
B1R4,3,8/20/2019,165.8,C3G,44,50.5,6.55,47.79,60
B2R1,1,8/20/2019,375.3,C3G,59,52,7.33,64.78,60
B2R1,2,8/20/2019,299,C3G,59,55.5,9.18,65.09,60
B2R1,3,8/20/2019,354.3,C3G,59,51,8.31,65.02,60
B2R2,1,8/20/2019,501.6,C3G,59,51.5,9.69,64.57,60
B2R2,2,8/20/2019,429.6,C3G,58,50.5,8.69,64.03,60
B2R2,3,8/20/2019,358.5,C3G,59,52,7.37,64.48,60
B2R3,1,8/20/2019,216,C3G,52,52.5,7.74,57.54,60
B2R3,2,8/20/2019,221.5,C3G,52,52,7.67,57.29,60
B2R3,3,8/20/2019,219.3,C3G,52,50.5,6.23,57.14,60
B3R1,1,8/20/2019,317.5,C3G,52,52,8.68,57.45,60
B3R1,2,8/20/2019,263.8,C3G,52,55.5,8.47,57.16,60
B3R1,3,8/20/2019,304.9,C3G,52,51,9.02,57.34,60
B3R2,1,8/20/2019,315.3,C3G,56,52.5,6.99,61.17,60
B3R2,2,8/20/2019,255.2,C3G,56,54,6.19,61,60
B3R2,3,8/20/2019,309.7,C3G,56,54.5,7.97,61.05,60
B3R3,1,8/20/2019,470.4,C3G,49,53,6.92,54.38,60
B3R3,2,8/20/2019,502.4,C3G,49,51.5,6.89,54.31,60
B3R3,3,8/20/2019,390.1,C3G,50,53.5,7.3,54.5,60
B1R2,1,9/3/2019,153.5,C3G,66,51,9.76,73.14,60
B1R2,2,9/3/2019,245.5,C3G,67,50,7.91,73.97,60
B1R2,3,9/3/2019,168.8,C3G,67,52,9.47,73.34,60
B1R3,1,9/3/2019,135.8,C3G,49,55,7.58,54.86,60
B1R3,2,9/3/2019,134.7,C3G,49,52,6.73,54.64,60
B1R3,3,9/3/2109,,C3G,,,,,
B1R4,1,9/3/2019,154.2,C3G,47,51.5,6.09,52.9,60
B1R4,2,9/3/2019,152.4,C3G,47,50.5,5.8,52.58,60
B1R4,3,9/3/2019,114.9,C3G,47,52,8.66,52.04,60
B2R1,1,9/3/2019,213,C3G,62,51,10.66,69.09,60
B2R1,2,9/3/2019,135.2,C3G,62,52.5,9.33,69.1,60
B2R1,3,9/3/2019,159,C3G,62,53.5,10.6,69.07,60
B2R2,1,9/3/2019,250.3,C3G,60,55,10.5,67.11,60
B2R2,2,9/3/2019,234.9,C3G,60,58,11.08,67.33,60
B2R2,3,9/3/2019,300.6,C3G,60,53,10.78,67.23,60
B2R3,1,9/3/2019,148.5,C3G,54,50.5,9.45,60.4,60
B2R3,2,9/3/2019,128.8,C3G,54,51,9.83,60.1,60
B2R3,3,9/3/2019,146.3,C3G,54,50,8.16,60.11,60
B3R1,1,9/3/2019,200.6,C3G,54,52.5,9.59,59.93,60
B3R1,2,9/3/2019,279.1,C3G,54,50.5,9.21,59.81,60
B3R1,3,9/3/2019,215.3,C3G,54,52,9.45,59.06,60
B3R2,1,9/3/2019,319.2,C3G,54,52,9.23,61.06,60
B3R2,2,9/3/2019,291.3,C3G,54,50,9.73,60.77,60
B3R2,3,9/3/2019,254.3,C3G,54,51,9.12,60.82,60
B3R3,1,9/3/2019,337.6,C3G,52,51,8.77,57.2,60
B3R3,2,9/3/2019,371.8,C3G,52,52.5,10.8,56.84,60
B3R3,3,9/3/2019,283.7,C3G,52,52,9.59,57.13,60
B1R2,1,9/12/2019,147,C3G,69,54.5,10.67,75.33,60
B1R2,2,9/12/2019,141.2,C3G,69,57,11.24,75.67,60
B1R2,3,9/12/2019,165.8,C3G,69,51.5,10.58,75.98,60
B1R3,1,9/12/2019,144,C3G,47,52,8.71,52.66,60
B1R3,2,9/12/2019,98.5,C3G,47,57,8.71,52.89,60
B1R3,3,9/12/2019,118.2,C3G,47,57,8.76,52.14,60
B1R4,1,9/12/2019,155.1,C3G,47,53,8.05,51.76,60
B1R4,2,9/12/2019,124.8,C3G,47,52,7.04,51.59,60
B1R4,3,9/12/2019,145.9,C3G,47,54.5,8.19,51.77,60
B2R1,1,9/19/2019,207.5,C3G,60,50.5,9.79,67.05,60
B2R1,2,9/19/2019,171.1,C3G,60,53.5,10.54,67.21,60
B2R1,3,9/19/2019,184.4,C3G,61,50.5,10.56,67.11,60
B2R2,1,9/19/2019,252,C3G,58,51,10.42,64.16,60
B2R2,2,9/19/2019,227.4,C3G,58,53,10.23,64.18,60
B2R2,3,9/19/2019,279.1,C3G,58,54.5,10.71,64.23,60
B2R3,1,9/19/2019,107.9,C3G,52,53.5,7.54,57.23,60
B2R3,2,9/19/2019,117.9,C3G,52,59,7.01,56.82,60
