SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1596227868,1382.6,20200731 13:37:47,13:37:47,B1R4,_SE,_5.10,_1,1596227860,0.006644474,12.92684112,381.5080333,259.9121881,26.28059615,38.57556133,0.20466813,2.945364818,0.197082635,0.12383475,313.9028423,39.18262827,38.45961333,6.824896481,50.94525722,3.591535631,7.049793889,3.23336085,-293.0213042,95.51725431,7.854474002,124.2532663,2,0,1,0,51293.35961,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-511-20200731-13_37_48,15456.7,1142.043077,1384.05,0.174854177,0.5,1601.674052,12.92684112,140.0296987,1.684115458,0.00832467,1.620454463,DARK-512-20200731-13_37_50,-946.85,2330.9,0.103825528,0.490367734,0.363744309,0.7712187,-0.086080117,1.086080117,1899.987,1601.674052,0.842992111,0.195984222,6,0.5,0: Broadleaf,2,1596227860,381.5080333,400.0621333,35.51989,27.82974,381.1917,35.03650333,500.0003667,100.9133667,0.199999133,39.06114333,38.45961333,999.9,0,0,9999.104,0,820.6886333,1899.987,0.899999,0.10000076,0,1145.941,4.99979,22636.71333,16171.46,50.2101,51.40186667,50.625,50.562,51.77066667,1705.487667,189.499,0,355.8,0,1142.043077,-550.2317941,-8970.533325,22551.81923,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,12.92432389,-0.001054384,0.04888192,1,-18.54982258,0.071845161,0.055722965,1,7.692534839,0.010994516,0.023745206,1,3,3,3/3,100,100,0.316,0.4757,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1348.7,1348.5,2,499.033,548.808,37.7141,37.0008,30.0001,36.7919,36.7329,21.1919,36.732,66.5256,-999.9,400,27.6831,99.6539,100.483
11,1596227999,1514.1,20200731 13:39:59,13:39:59,B1R4,_SE,_5.10,_2,1596227991,0.00877578,14.07348457,379.1836774,277.5556914,28.06632993,38.34291468,0.278922383,2.944858271,0.265032831,0.166835784,313.9039773,38.90440059,38.44467097,6.819390063,50.95379947,3.644349652,7.152262815,3.175040411,-387.0119096,140.512089,11.57054978,78.9747065,0,0,1,0,51235.22968,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-513-20200731-13_39_59,15478.6,1264.498846,1516.74,0.166304808,0.5,1601.679113,14.07348457,133.1834683,0.998767093,0.009040544,1.391207458,DARK-514-20200731-13_40_01,1.87,1514.87,0.166510099,0.582101369,0.316087101,0.725591152,0.000246243,0.999753757,1899.992903,1601.679113,0.842992155,0.195984311,6,0.5,0: Broadleaf,2,1596227991,379.1836774,400.0635484,36.03998065,25.88929355,378.8672903,35.54231613,500.0351935,100.9196452,0.199988839,39.3297129,38.44467097,999.9,0,0,9995.603226,0,1503.113548,1899.992903,0.899997806,0.100001768,0,1270.18,4.99979,24868.98387,16171.49677,50.34654839,51.71748387,50.70122581,50.83029032,51.905,1705.48871,189.5022581,0,130.7,0,1264.498846,-616.2041025,-11358.9641,24761.15769,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,14.07177375,0.24944553,0.031340655,1,-20.87989032,-0.014985484,0.032614358,1,10.15069355,-0.73173871,0.056295969,1,3,3,3/3,100,100,0.316,0.4913,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1350.9,1350.7,2,518.137,545.678,37.8453,37.0685,30.0001,36.8253,36.7614,21.1715,40.9333,65.2537,-999.9,400,25.6933,99.6298,100.49
12,1596228099,1613.6,20200731 13:41:38,13:41:38,B1R4,_SE,_5.10,_3,1596228091,0.008183892,14.88130562,378.5295667,265.2855842,26.82537029,38.27647032,0.257743924,2.945679612,0.245838324,0.154672788,313.9015957,39.15981739,38.60467667,6.878554643,51.28158717,3.688217973,7.192090136,3.19033667,-360.909649,131.5757021,10.84538628,95.41303513,0,0,1,0,51241.18526,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-515-20200731-13_41_39,15452.8,1219.9488,1578.36,0.227078233,0.5,1601.667348,14.88130562,181.8518957,0.998504777,0.009544973,1.297853468,DARK-516-20200731-13_41_41,2.36,1576,0.227418274,0.565179005,0.416935843,0.704402143,0.000439942,0.999560058,1899.979,1601.667348,0.842992132,0.195984264,6,0.5,0: Broadleaf,2,1596228091,378.5295667,400.1043333,36.47409333,27.01171667,378.2132667,35.96439667,500.0049667,100.9188667,0.199972367,39.4332,38.60467667,999.9,0,0,10000.34833,0,1496.629,1899.979,0.899998467,0.10000154,0,1228.015667,4.99979,23957.56667,16171.39,50.5,52.1103,50.875,51.062,52.0851,1705.480333,189.4996667,0,98.79999995,0,1219.9488,-614.683076,-11449.89998,23807.416,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,14.87491738,0.560043275,0.047778184,0,-21.57097097,-0.446748387,0.042726091,1,9.470700645,-0.411449516,0.045743312,1,2,3,2/3,100,100,0.317,0.4994,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1352.6,1352.4,2,507.578,546.195,38.0278,37.1263,30.0005,36.8632,36.7995,21.1848,39.4545,65.9133,-999.9,400,26.6863,99.633,100.47
13,1596228226,1741.1,20200731 13:43:46,13:43:46,B1R4,_SE,_5.6,_1,1596228218,0.00408352,6.713282096,390.1243226,273.911928,27.69674607,39.44762237,0.113119936,2.946952927,0.110761878,0.069433942,313.9011501,40.74945604,39.66449032,7.281798675,50.75863809,3.757411168,7.402505877,3.524387507,-180.0832138,48.82980863,4.054142593,186.7018875,2,0,1,0,51188.442,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-517-20200731-13_43_46,15434,1069.0416,1847.88,0.421476719,0.5,1601.664455,6.713282096,337.53214,0.999588718,0.004445281,0.962703206,DARK-518-20200731-13_43_48,0.76,1847.12,0.421650136,0.490601421,0.689755426,0.611723442,0.000299758,0.999700242,1899.975484,1601.664455,0.84299217,0.195984339,6,0.5,0: Broadleaf,2,1596228218,390.1243226,400.0915806,37.15959032,32.44163548,389.8075484,36.63069677,500.0189032,100.9155161,0.200000355,39.97183548,39.66449032,999.9,0,0,10007.92032,0,491.9007742,1899.975484,0.899997935,0.100002129,0,1071.013548,4.99979,21853.48387,16171.36774,50.75,52.48780645,51.187,51.562,52.387,1705.473871,189.5016129,0,126.5,0,1069.0416,-172.3907692,-3219.092302,21832.404,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,6.710245481,0.264091301,0.040977229,1,-9.967252581,-0.159747097,0.046926081,1,4.717968065,-0.501158226,0.038222746,1,3,3,3/3,100,100,0.316,0.5217,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1354.7,1354.5,2,499.196,550.845,38.2861,37.2714,30.0007,36.9753,36.9113,21.2617,28.7031,69.0854,-999.9,400,32.3102,99.6054,100.459
14,1596228333,1847.6,20200731 13:45:32,13:45:32,B1R4,_SE,_5.6,_2,1596228325,0.00840729,14.66008371,378.6727333,265.4033214,26.83544228,38.28833123,0.255413391,2.945819319,0.243717397,0.153329574,313.9055475,39.47701099,39.14694667,7.082391642,51.53899094,3.781814727,7.337774097,3.300576915,-370.7614693,104.9153139,8.685597442,56.74498951,0,0,1,0,51183.61611,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-519-20200731-13_45_33,15486.8,817.54396,1079.77,0.242853608,0.5,1601.687321,14.66008371,194.4877721,0.997499467,0.009406736,2.358900507,DARK-520-20200731-13_45_35,2.7,1077.07,0.243462393,0.702806735,0.72630435,0.875850175,0.000804053,0.999195947,1900.002667,1601.687321,0.842992143,0.195984287,6,0.5,0: Broadleaf,2,1596228325,378.6727333,400.0837,37.40226,27.69152,378.3563667,36.86651333,500.0342667,100.9119667,0.1999642,39.80756,39.14694667,999.9,0,0,10001.82633,0,834.7409333,1900.002667,0.899998633,0.100001387,0,818.6352,4.99979,16303.24667,16171.6,50.812,52.437,51.2624,51.458,52.4832,1705.5,189.5026667,0,105.7,0,817.54396,-108.3746152,-2084.369228,16282.208,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,14.65346806,0.521335881,0.045934289,0,-21.40808387,-0.344787097,0.036374371,1,9.721725161,-0.581852903,0.052539946,1,2,3,2/3,100,100,0.316,0.5251,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1356.5,1356.3,2,513.468,544.217,38.4513,37.383,30.0004,37.0686,36.9996,21.1799,42.851,70.7194,-999.9,400,27.3899,99.5868,100.439
15,1596228442,1956.6,20200731 13:47:21,13:47:21,B1R4,_SE,_5.6,_3,1596228434,0.008218822,13.80878111,379.7782,266.4657788,26.94100124,38.39744452,0.241527014,2.944259516,0.23103487,0.145301487,313.90883,39.49767049,39.28601333,7.135502417,50.93650288,3.732103099,7.326971597,3.403399319,-362.4500666,78.4146613,6.498608606,36.37203327,0,0,1,0,51144.45694,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-521-20200731-13_47_22,15428.1,971.0301923,1663.71,0.416346483,0.5,1601.704421,13.80878111,333.4320014,0.999290742,0.008875138,1.179971269,DARK-522-20200731-13_47_24,1.18,1662.53,0.41664199,0.541454521,0.733008826,0.6750532,0.000506305,0.999493695,1900.023,1601.704421,0.842992122,0.195984244,6,0.5,0: Broadleaf,2,1596228434,379.7782,400.0943667,36.91317,27.41462667,379.4620333,36.39121,499.9991667,100.9048333,0.200086633,39.78002333,39.28601333,999.9,0,0,9993.668,0,1002.379433,1900.023,0.899999867,0.10000032,0,971.0190667,4.99979,19690.63333,16171.78333,50.875,52.406,51.312,51.4329,52.437,1705.519667,189.5033333,0,107.8999999,0,971.0301923,-239.8940514,-3827.914535,19690.52692,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,13.80258051,0.212502801,0.020913038,1,-20.31444516,-0.108174194,0.020884488,1,9.505906129,-0.443596452,0.036598389,1,3,3,3/3,100,100,0.316,0.5147,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1358.3,1358.1,2,508.47,542.938,38.4044,37.4773,30.0008,37.1751,37.1085,21.1697,42.3832,69.6559,-999.9,400,27.3231,99.5554,100.459
16,1596228647,2161.5,20200731 13:50:46,13:50:46,B2R3,_SE,_5.5,_1,1596228639,0.008473836,14.83091231,378.3684194,264.9814973,26.80169761,38.27027947,0.258032008,2.945842306,0.246101068,0.154839136,313.9069751,39.36785082,38.87222903,6.97848126,50.38946933,3.679289546,7.301703302,3.299191715,-373.6961468,133.9210347,11.06729796,85.19916087,4,1,1,0,51200.02688,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-523-20200731-13_50_47,15482.2,917.48532,1188.29,0.227894437,0.5,1601.692643,14.83091231,182.5084212,0.998072861,0.00951336,2.052150569,DARK-524-20200731-13_50_49,2.29,1186,0.228334469,0.672786967,0.576718189,0.838533862,0.000569912,0.999430088,1900.00871,1601.692643,0.842992264,0.195984527,6,0.5,0: Broadleaf,2,1596228639,378.3684194,400.011871,36.37619032,26.57799032,378.0519032,35.86921935,500.0259032,100.9455806,0.199963,39.71547419,38.87222903,999.9,0,0,9998.626452,0,762.3627466,1900.00871,0.899993839,0.100005535,0,921.4070968,4.99979,18250.98065,16171.62581,50.95325806,52.33232258,51.379,51.437,52.52,1705.495806,189.5106452,0,204.0999999,0,917.48532,-298.0947697,-5851.800009,18176,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,14.83193868,-0.089230258,0.022161483,1,-21.64355161,0.499620968,0.052591149,1,9.798197742,-0.962662742,0.090798673,1,3,3,3/3,100,100,0.316,0.5043,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1361.7,1361.5,2,496.909,540.91,38.4907,37.7243,30.0004,37.4282,37.3619,21.168,42.9998,66.4205,-999.9,400,26.4954,99.527,100.388
17,1596228792,2307,20200731 13:53:12,13:53:12,B2R3,_SE,_5.5,_2,1596228784,0.008501367,14.13952109,379.2248,269.1417663,27.22214437,38.35641119,0.255674911,2.945536428,0.243954474,0.153479802,313.8995242,39.71156499,39.19943,7.102395072,50.63348079,3.767093632,7.439926256,3.33530144,-374.910286,137.6481612,11.413578,88.05097744,0,0,1,0,51134.10707,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-525-20200731-13_53_12,15461.2,1077.089231,1342.47,0.197680968,0.5,1601.65794,14.13952109,158.308646,0.998033476,0.009081894,1.701617168,DARK-526-20200731-13_53_14,2.64,1339.83,0.198070479,0.630310137,0.425465923,0.785516638,0.000485481,0.999514519,1899.968,1601.65794,0.842992061,0.195984121,6,0.5,0: Broadleaf,2,1596228784,379.2248,400.0598667,37.24476,27.42358333,378.9083667,36.71347667,500.0257667,100.9442667,0.1999918,40.06623333,39.19943,999.9,0,0,9997.018333,0,1181.943333,1899.968,0.9000013,0.09999896,0,1079.880333,4.99979,21484.88333,16171.30667,51.062,52.562,51.4412,51.7269,52.68493333,1705.474333,189.494,0,144.8,0,1077.089231,-439.1924781,-8399.863237,21431.3,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,14.14422101,-0.303853049,0.035384723,1,-20.84211935,0.58788871,0.054620972,1,9.828642258,-0.550150161,0.042446724,1,3,3,3/3,100,100,0.316,0.5258,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1364.1,1363.9,2,516.372,542.651,38.6943,37.8291,30,37.5363,37.4707,21.1909,40.5101,65.3212,-999.9,400,27.4541,99.516,100.373
18,1596228899,2413.5,20200731 13:54:58,13:54:58,B2R3,_SE,_5.5,_3,1596228891,0.009366245,16.27775276,376.3287,263.001535,26.60063882,38.06283422,0.284546085,2.945624238,0.270109921,0.170054678,313.9052981,39.8297598,39.49940667,7.217670708,51.52218885,3.903298656,7.575956578,3.314372052,-413.0513968,143.964214,11.97361684,56.79173213,0,0,1,0,51081.08884,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-527-20200731-13_54_59,15462.4,1034.269077,1888.25,0.452260518,0.5,1601.686685,16.27775276,362.1898248,0.999666358,0.010416719,0.920741427,DARK-528-20200731-13_55_01,0.63,1887.62,0.452411462,0.479450997,0.730196833,0.597841581,0.000275576,0.999724424,1900.002,1601.686685,0.842992105,0.195984209,6,0.5,0: Broadleaf,2,1596228891,376.3287,400.0916333,38.59206333,27.78637667,376.0125,38.02229,500.0024,100.9425333,0.199989733,40.40595667,39.49940667,999.9,0,0,9997.689,0,1183.545333,1900.002,0.9,0.09999989,0,1034.7293,4.99979,20334.38667,16171.59,51.25,52.89153333,51.5998,52.1124,52.875,1705.500667,189.5,0,105.5,0,1034.269077,-341.2729575,-6388.119663,20324.71923,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,16.27752094,-0.266238662,0.036274056,1,-23.76391613,0.400074194,0.047690502,1,10.80575484,-0.104017742,0.011219592,1,3,3,3/3,100,100,0.316,0.5588,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1365.9,1365.7,2,506.502,541.443,38.9442,37.877,30.0006,37.5998,37.5367,21.1941,41.2375,65.3773,-999.9,400,27.2284,99.5156,100.363
19,1596229146,2661,20200731 13:59:06,13:59:06,B3R1,_SW,_5.14,_1,1596229138,0.010154316,17.14236243,374.8982581,268.4491638,27.14785583,37.91289091,0.32268145,2.944992172,0.304247317,0.191722992,313.9064563,39.38604459,38.87218387,6.978464288,50.57940051,3.7828615,7.479055627,3.195602788,-447.8053291,205.1820841,16.99788543,88.28109673,0,0,1,0,51102.56764,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-529-20200731-13_59_06,15448.3,884.2148462,1203.93,0.265559587,0.5,1601.690662,17.14236243,212.6721555,1.000556511,0.010956503,2.012500727,DARK-530-20200731-13_59_08,-0.67,1204.6,0.265411883,0.667926484,0.658932688,0.833155802,-0.000201112,1.000201112,1900.006452,1601.690662,0.842992223,0.195984446,6,0.5,0: Broadleaf,2,1596229138,374.8982581,400.0354839,37.40649032,25.67796129,374.5820645,36.87061935,500.0360323,100.9284839,0.199995903,40.16450323,38.87218387,999.9,0,0,9995.48871,0,32.96114977,1900.006452,0.899997,0.100003,0,885.4466129,4.99979,17441.23871,16171.60323,51.5,52.82419355,51.875,52.052,53.054,1705.498387,189.5080645,0,246.7,0,884.2148462,-131.2130598,-2501.422221,17418.94615,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,17.14462335,-0.09160159,0.024920089,1,-25.13965484,0.203733871,0.031725667,1,11.73136452,-0.283117742,0.021356808,1,3,3,3/3,100,100,0.316,0.5299,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1370,1369.8,2,517.003,537.497,39.0173,38.2091,30.0004,37.9001,37.83,21.161,44.294,64.5381,-999.9,400,25.6794,99.4165,100.338
20,1596229366,2881,20200731 14:02:46,14:02:46,B3R1,_SW,_5.14,_2,1596229358,0.01016301,17.47020783,374.5622333,261.1633061,26.41061424,37.87828696,0.306472556,2.946334495,0.289799639,0.182547144,313.9009047,39.66700776,39.45044333,7.198744939,50.65415885,3.845983696,7.592631648,3.352761244,-448.1887295,158.3334294,13.16506221,37.21066683,0,0,1,0,51093.81539,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-531-20200731-14_02_46,15455.7,920.64128,1318.44,0.301719244,0.5,1601.66396,17.47020783,241.6264195,0.998611996,0.011161377,1.750857074,DARK-532-20200731-14_02_48,1.83,1316.61,0.302138614,0.636798243,0.663316769,0.793779733,0.000600574,0.999399426,1899.975,1601.66396,0.842992123,0.195984247,6,0.5,0: Broadleaf,2,1596229358,374.5622333,400.0937,38.03129333,26.29986333,374.2460667,37.47766,500.0156333,100.9268,0.200018433,40.44723667,39.45044333,999.9,0,0,10003.285,0,195.7279667,1899.975,0.899998367,0.100001433,0,921.4868,4.99979,18329.54,16171.37,51.562,53.13533333,52.00413333,52.30786667,53.1954,1705.476667,189.4986667,0,218.8999999,0,920.64128,-164.5406926,-3186.200011,18302.632,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,17.48662547,-1.356005366,0.1005463,0,-25.53028387,0.255624194,0.038954383,1,11.6866,3.459503226,0.266734943,0,1,3,1/3,100,100,0.316,0.5501,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1373.7,1373.5,2,507.354,537.189,39.209,38.3757,30.0004,38.0564,37.9841,21.1749,39.4489,57.7783,-999.9,400,25.9184,99.4144,100.299
21,1596229466,2980.5,20200731 14:04:25,14:04:25,B3R1,_SW,_5.14,_3,1596229458,0.010815619,16.84670904,375.0410645,264.4341476,26.7409077,37.92603407,0.308289812,2.945728479,0.291421158,0.183576848,313.9014376,39.66722152,39.37320323,7.168976839,47.20274889,3.616021186,7.660615687,3.552955654,-476.9688015,197.1663422,16.40441969,50.50339804,6,1,1,0,51049.62444,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-533-20200731-14_04_26,15466.5,875.56468,1213.47,0.27846203,0.5,1601.666314,16.84670904,223.0016268,0.998524891,0.010772079,1.988817194,DARK-534-20200731-14_04_28,1.79,1211.68,0.278873399,0.665748059,0.682993631,0.829875322,0.000570127,0.999429873,1899.977742,1601.666314,0.842992146,0.195984291,6,0.5,0: Broadleaf,2,1596229458,375.0410645,400.1233548,35.75792903,23.24393871,374.724871,35.2680129,500.0263548,100.9250323,0.199984871,40.61472581,39.37320323,999.9,0,0,10000.01516,0,469.893,1899.977742,0.899998484,0.100001565,0,877.8993226,4.99979,17340.48387,16171.37419,51.687,53.379,52.125,52.437,53.37093548,1705.477419,189.5003226,0,98.5,0,875.56468,-205.4863846,-3696.423077,17296.712,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,16.84521891,0.499059215,0.045763308,1,-25.08225806,-0.197869355,0.034685637,1,12.51400323,-0.887075806,0.067602985,1,3,3,3/3,100,100,0.316,0.4769,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1375.3,1375.2,2,494.417,532.981,39.3786,38.4636,30.0006,38.1404,38.0673,21.1312,47.2723,58.1426,-999.9,400,22.7539,99.4058,100.274
22,1596229557,3071.5,20200731 14:05:56,14:05:56,B3R1,_SW,_5.9,_1,1596229549,0.010332558,14.87629326,377.6489,268.9665815,27.19866705,38.18893275,0.280282134,2.945602798,0.266263838,0.167615942,313.8971363,39.96660315,39.78591,7.329279748,46.78389055,3.617535098,7.732437503,3.71174465,-455.6657949,159.4967793,13.30827378,31.03639452,0,0,1,0,51017.52336,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-535-20200731-14_05_57,15503.2,781.62852,1042.88,0.250509627,0.5,1601.643581,14.87629326,200.6135681,0.998820574,0.009541986,2.477715557,DARK-536-20200731-14_05_59,1.23,1041.65,0.250805434,0.712696622,0.805954774,0.888535383,0.000394677,0.999605323,1899.950667,1601.643581,0.842992194,0.195984388,6,0.5,0: Broadleaf,2,1596229549,377.6489,400.1836333,35.77366667,23.81779333,377.3327,35.28333333,499.9847667,100.9228333,0.200015833,40.79027667,39.78591,999.9,0,0,9999.518667,0,36.80249667,1899.950667,0.899996767,0.10000322,0,782.3235,4.99979,16029.61,16171.13333,51.92253333,53.3998,52.312,52.66013333,53.52273333,1705.45,189.5006667,0,90.0999999,0,781.62852,-84.81700013,-2065.346157,16008.696,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,14.8699573,0.519904339,0.053621467,0,-22.53266129,-0.210377419,0.043135119,1,11.95993871,-0.538209677,0.045029056,1,2,3,2/3,100,100,0.316,0.4777,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1376.9,1376.7,2,502.081,533.553,39.5166,38.5478,30.0003,38.2151,38.1378,21.1325,45.2297,54.6198,-999.9,400,23.2566,99.381,100.284
23,1596229654,3169,20200731 14:07:34,14:07:34,B3R1,_SW,_5.9,_2,1596229646,0.00943815,16.4560438,376.0829032,260.7143354,26.36471213,38.03134747,0.282155094,2.945247086,0.267952297,0.168686654,313.90886,40.15731883,39.74280645,7.312393504,51.17203347,3.948773529,7.716663306,3.363619975,-416.2224041,160.2188526,13.36491886,71.27022738,7,1,1,0,51013.92103,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-537-20200731-14_07_34,15444.9,910.3395385,1301.29,0.300433002,0.5,1601.704607,16.4560438,240.6024619,0.99916237,0.010527915,1.787111251,DARK-538-20200731-14_07_36,1.09,1300.2,0.300684865,0.641398331,0.671088693,0.799677031,0.000360027,0.999639973,1900.023226,1601.704607,0.84299212,0.19598424,6,0.5,0: Broadleaf,2,1596229646,376.0829032,400.0883226,39.04847742,28.16552581,375.7666774,38.46549677,500.0263548,100.9249032,0.200000742,40.75184194,39.74280645,999.9,0,0,9997.291935,0,97.58521742,1900.023226,0.899999516,0.100000542,0,911.7926452,4.99979,17961.21935,16171.78387,51.937,53.375,52.3363871,52.5,53.56,1705.52,189.5032258,0,96.79999995,0,910.3395385,-134.513846,-2687.251278,17932.49615,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,16.45012607,0.382179368,0.04790871,1,-24.00490645,-0.231077419,0.047200184,1,10.88869355,-0.410322581,0.043952019,1,3,3,3/3,100,100,0.316,0.5736,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1378.5,1378.3,2,492.938,536.503,39.6016,38.6053,30.0004,38.2809,38.2034,21.2038,35.0021,55.7824,-999.9,400,27.8509,99.3707,100.268
24,1596229753,3267.5,20200731 14:09:12,14:09:12,B3R1,_SW,_5.9,_3,1596229745,0.009826214,13.9822343,378.8267,273.8763309,27.69528236,38.30821154,0.273592012,2.94528566,0.260216425,0.163782501,313.9016852,40.07159361,39.62343,7.265802517,47.30944808,3.653378051,7.722301147,3.612424466,-433.3360156,181.3587632,15.12050128,77.04493404,0,0,1,0,51012.72686,RECT-527-20200527-06_29_39,15552.9,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-539-20200731-14_09_13,15423.7,888.07144,1134.86,0.217461678,0.5,1601.667899,13.9822343,174.1506945,0.999365561,0.008983636,2.195847946,DARK-540-20200731-14_09_15,0.72,1134.14,0.217599732,0.687230428,0.593054208,0.85690661,0.000176418,0.999823582,1899.979667,1601.667899,0.842992126,0.195984252,6,0.5,0: Broadleaf,2,1596229745,378.8267,400.0711,36.12795,24.76313667,378.5103667,35.62785667,500.0282333,100.9233333,0.1999812,40.76558667,39.62343,999.9,0,0,9997.666667,0,156.7786,1899.979667,0.9,0.100000053,0,891.0039,4.99979,17918.45667,16171.39667,51.88946667,53.312,52.312,52.39773333,53.4916,1705.481,189.4993333,0,97.70000005,0,888.07144,-289.4063842,-5636.323068,17861.1,15,0,--:--:--,1596146945,1596146955,0,0.003,-0.459,0.317,0.336,400,45,0.41,0.26,13.98668268,-0.329238338,0.031439819,1,-21.24812903,0.587995161,0.050281557,1,11.36799355,-0.56861129,0.043114386,1,3,3,3/3,100,100,0.317,0.4927,0.191978092,0.000639957,-8.94572E-07,1.90165E-10,0.336,0,0,0,3,2050,2,29,1380.1,1380,2,517.429,532.716,39.5775,38.6425,30.0003,38.3248,38.2539,21.1437,43.8448,57,-999.9,400,24.7362,99.369,100.254
