SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1597360398,0,20200813 16:13:18,16:13:18,B1R1,_NW,_5.14,_1,1597360390,0.012010275,11.34652926,379.7698,281.0786816,28.36164834,38.31986638,0.258647233,2.939985608,0.246638064,0.155181293,297.3839334,46.41192705,46.01793667,10.15615418,50.71116194,5.62687733,11.09593453,4.529276851,-529.6531355,275.5932799,24.52612197,67.85019981,55,11,1,0,49752.36103,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2026-20200813-16_13_18,700.5199231,967.59,0.276015747,0.5,1517.394496,11.34652926,209.4123879,0.389627838,0.007745577,2.748323153,DARK-2027-20200813-16_13_20,590.59,377,0.708408692,0.875833676,1.073167347,0.914425037,1800.011333,1517.394496,0.842991634,0.195983269,6,0.5,0: Broadleaf,2,1597360390,379.7698,398.8587,55.76528,42.15687333,375.4857333,54.99814333,500.0079333,100.7028667,0.200012867,47.75669,46.01793667,999.9,0,0,9989.398667,0,1187.594,1800.011333,0.900001433,0.099998537,0,702.2060333,4.99938,13301.29,14365.67,57.437,57.9769,57.5,58.062,59.54546667,1615.514,179.4993333,0,1597360398,0,700.5199231,-266.7566495,-4833.976069,13271.02308,15,1597360254,16:10:54,1597360229,1597360254,1,-0.362,0.134,4.284,0.767,400,56,0.27,0.89,11.28224366,5.004450741,0.377109658,0,-19.08887333,-3.481735261,0.255782516,0,13.6084,-4.969244049,0.368796285,0,0,3,0/3,100,100,4.284,0.7672,4.28415,0,0,0,0.767119048,0,0,0,-1,-1,-1,-1,2.8,2.4,2,423.834,466.983,47.2079,48.6834,29.9977,48.4859,48.5377,20.8945,43.3577,91.5396,-999.9,400,42.5644,98.1779,97.4912
2,1597360474,75.5,20200813 16:14:33,16:14:33,B1R1,_NW,_5.14,_2,1597360466,0.012354828,9.675552506,384.375,301.5510281,30.42746499,38.78466915,0.280934147,2.942075572,0.266836342,0.167980372,297.3809373,46.04555751,46.16711935,10.23399446,54.26208591,5.936414782,10.94026277,4.297579679,-544.8479249,207.8728032,18.47496056,-21.11922377,27,5,1,0,49852.50532,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2028-20200813-16_14_34,773.0634615,965.79,0.199553255,0.5,1517.378011,9.675552506,151.3988608,0.29134698,0.006644435,2.755309125,DARK-2029-20200813-16_14_36,684.41,281.38,0.684933323,0.904371557,0.780075036,0.915043995,1799.991613,1517.378011,0.842991712,0.195983424,6,0.5,0: Broadleaf,2,1597360466,384.375,401.6844839,58.83276774,44.87909032,380.0908065,58.06564516,499.9954839,100.7032258,0.199978484,47.47768387,46.16711935,999.9,0,0,10001.24677,0,1303.748065,1799.991613,0.899998742,0.100000942,0,775.4222581,4.99938,14793.29355,14365.5,57.5,58.125,57.55,58.062,59.562,1615.490968,179.5019355,0,74.29999995,0,773.0634615,-570.5060505,-10653.74016,14748.95769,15,1597360254,16:10:54,1597360229,1597360254,1,-0.362,0.134,4.284,0.767,400,56,0.27,0.89,9.703900678,-1.810933758,0.150487797,0,-17.32434667,3.379253393,0.252623953,0,13.96833333,-3.041785095,0.223078449,0,0,3,0/3,100,100,4.284,0.7672,4.28415,0,0,0,0.767119048,0,0,0,-1,-1,-1,-1,4.1,3.7,2,458.321,469.244,47.0353,48.2601,29.9976,48.0356,48.0844,21.0496,40.8112,94.9976,-999.9,400,43.167,98.2616,97.5763
3,1597360550,152,20200813 16:15:50,16:15:50,B1R1,_NW,_5.14,_3,1597360542,0.012148081,11.09054421,381.0579667,279.6501502,28.21693109,38.44906353,0.247822175,2.942516746,0.236783174,0.148940314,297.3827884,45.86152806,45.77520333,10.03059426,48.52871752,5.245786175,10.80965342,4.784808081,-535.7303694,232.5200131,20.60157344,14.77400549,45,9,1,0,49901.32097,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2030-20200813-16_15_50,668.39792,939.93,0.288885428,0.5,1517.386839,11.09054421,219.1754729,0.391241901,0.007576915,2.85862777,DARK-2031-20200813-16_15_52,572.19,367.74,0.738380595,0.879613049,1.227532511,0.923936364,1800.002,1517.386839,0.842991752,0.195983503,6,0.5,0: Broadleaf,2,1597360542,381.0579667,399.9218,51.98952667,38.16954667,376.7738,51.22240667,499.9938333,100.7009667,0.199859167,47.24094,45.77520333,999.9,0,0,10003.981,0,1059.309667,1800.002,0.899996367,0.10000334,0,670.5333667,4.99938,13254.06667,14365.57333,57.5124,58.125,57.6124,58.062,59.55786667,1615.497667,179.5053333,0,75.70000005,0,668.39792,-179.5436151,-3509.330765,13214.616,15,1597360254,16:10:54,1597360229,1597360254,1,-0.362,0.134,4.284,0.767,400,56,0.27,0.89,11.05799377,3.436500877,0.265104059,0,-18.86395,-1.913275195,0.171085446,0,13.81999,-4.666852058,0.341267332,0,0,3,0/3,100,100,4.284,0.7672,4.28415,0,0,0,0.767119048,0,0,0,-1,-1,-1,-1,5.4,4.9,2,435.534,465.346,46.7788,47.8059,29.9974,47.5813,47.6329,20.9032,43.5453,91.1866,-999.9,400,38.474,98.3485,97.667
4,1597360746,347.5,20200813 16:19:05,16:19:05,B2R1,_NW,_5.5,_1,1597360738,0.005614693,5.143800686,392.2379032,288.4890337,29.1001293,39.56536425,0.110744069,2.942049252,0.108479271,0.06799917,297.3807484,47.28321255,46.44217419,10.37886381,52.18272687,5.570731375,10.67543172,4.808132439,-247.607951,87.69439511,7.786408966,145.2536015,51,10,1,0,49926.31887,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2032-20200813-16_19_06,635.81156,753.43,0.156110641,0.5,1517.3745,5.143800686,118.4391527,0.178450553,0.003657876,3.813771684,DARK-2033-20200813-16_19_08,618.98,134.45,0.874811752,0.955300446,3.389430129,0.988067329,1799.987097,1517.3745,0.842991876,0.195983752,6,0.5,0: Broadleaf,2,1597360738,392.2379032,401.0536774,55.22638387,48.86051613,387.8845806,54.75252903,499.9739677,100.6708065,0.200027097,46.99506129,46.44217419,999.9,0,0,10004.31774,0,121.7815806,1799.987097,0.899994129,0.100005819,0,638.3337097,4.99938,12315.47419,14365.45161,57.375,57.754,57.44106452,57.937,59.375,1615.476452,179.5112903,0,194.9000001,0,635.81156,-130.3572306,-2684.123072,12262.928,15,1597360641,16:17:21,1597360634,1597360641,3,0.149,-0.293,4.353,0.474,409,45,0.73,0.25,5.224474095,-4.938917556,0.373574897,0,-8.831676667,4.43979337,0.321267178,0,6.362085667,2.553340779,0.214661942,0,0,3,0/3,100,100,4.353,0.4739,4.35335,0,0,0,0.47386,0,0,0,-1,-1,-1,-1,1.9,1.7,2,428.97,479.194,46.2458,46.8042,29.9978,46.5868,46.6399,21.2373,22.0425,100,-999.9,400,47.5802,98.5235,97.8311
5,1597360854,455.5,20200813 16:20:53,16:20:53,B2R1,_NW,_5.5,_2,1597360846,0.008320544,8.800069881,386.2145161,273.7151455,27.60931175,38.95698558,0.168673435,2.941822533,0.163478991,0.102627744,297.3770028,46.46162477,46.03446452,10.16475278,51.18174303,5.427664896,10.60468944,4.737087885,-366.9359686,131.6263597,11.65855403,73.72594794,20,4,1,0,49940.49697,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2034-20200813-16_20_54,575.11444,779.07,0.261793626,0.5,1517.358136,8.800069881,198.617344,0.354871834,0.006067544,3.655345476,DARK-2035-20200813-16_20_56,502.6,276.47,0.73771317,0.911508079,3.380019224,0.979250611,1799.968065,1517.358136,0.842991699,0.195983397,6,0.5,0: Broadleaf,2,1597360846,386.2145161,400.6301935,53.80916774,44.36219032,381.8612258,53.33529677,500.0216452,100.6688065,0.19996971,46.86439355,46.03446452,999.9,0,0,10003.22645,0,827.1452258,1799.968065,0.900000129,0.100000613,0,577.0176452,4.99938,10985.10323,14365.30968,57.375,57.812,57.387,57.875,59.375,1615.472581,179.4990323,0,107.3000002,0,575.11444,-114.1839229,-2245.892305,10947.66,15,1597360641,16:17:21,1597360634,1597360641,3,0.149,-0.293,4.353,0.474,409,45,0.73,0.25,8.785904923,0.948616318,0.075027184,0,-14.41462667,-0.102802225,0.029320652,1,9.456784,-2.434933749,0.176810193,0,1,3,1/3,100,100,4.354,0.4739,4.35335,0,0,0,0.47386,0,0,0,-1,-1,-1,-1,3.7,3.5,2,467.006,476.607,46.0343,46.2715,29.9983,46.0381,46.0974,21.0215,27.1981,98.4925,-999.9,400,44.0409,98.6142,97.9349
6,1597360938,539.5,20200813 16:22:17,16:22:17,B2R1,_NW,_5.5,_3,1597360930,0.006142372,5.365752157,391.9893,293.34767,29.59053292,39.54070024,0.123593194,2.941188689,0.120778749,0.075734247,297.3771446,46.78138648,46.05851333,10.17727539,51.96311696,5.444528813,10.47767942,4.73274658,-270.8786175,90.2839473,7.990468368,124.7729427,20,4,1,0,49960.23739,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2036-20200813-16_22_18,676.81392,796.39,0.150147641,0.5,1517.356401,5.365752157,113.9137422,0.222478936,0.003804194,3.554100378,DARK-2037-20200813-16_22_19,619.21,177.18,0.67488475,0.941089828,1.539707845,0.973294856,1799.965667,1517.356401,0.842991858,0.195983715,6,0.5,0: Broadleaf,2,1597360930,391.9893,401.3178333,53.97469,47.00143,387.6358333,53.50082333,499.9819,100.6721333,0.199753333,46.62789333,46.05851333,999.9,0,0,9999.29,0,731.6263667,1799.965667,0.899993967,0.10000603,0,680.3954,4.99938,13172.47,14365.27,57.37913333,57.812,57.437,57.90806667,59.39566667,1615.458,179.508,0,83.30000019,0,676.81392,-294.5923842,-5755.52307,13101.236,15,1597360641,16:17:21,1597360634,1597360641,3,0.149,-0.293,4.353,0.474,409,45,0.73,0.25,5.470622878,-6.942314517,0.522644571,0,-9.382091,7.001671635,0.517673901,0,6.956054,1.695377086,0.214082529,0,0,3,0/3,100,100,4.353,0.4739,4.35335,0,0,0,0.47386,0,0,0,-1,-1,-1,-1,5.1,4.9,2,466.26,480.072,45.8689,45.9258,29.9984,45.6795,45.7372,21.2411,18.8998,100,-999.9,400,45.9226,98.6734,97.9952
7,1597361018,620,20200813 16:23:38,16:23:38,B2R1,_NW,_5.10,_1,1597361010,0.008564265,10.20010518,385.9522581,285.3774102,28.78401722,38.92829652,0.215220158,2.942024311,0.20684043,0.130000969,297.3809225,45.90539193,44.39664839,9.342631921,52.92651161,5.473106314,10.34095418,3.869525607,-377.6840725,313.0764927,27.45184795,260.2251906,0,0,1,0,50023.11096,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2038-20200813-16_23_38,664.1429615,891.94,0.255395025,0.5,1517.379708,10.20010518,193.7656142,0.37084333,0.006990124,3.066237639,DARK-2039-20200813-16_23_40,561.17,330.77,0.688687119,0.892105152,1.315137782,0.940438482,1799.993871,1517.379708,0.842991597,0.195983194,6,0.5,0: Broadleaf,2,1597361010,385.9522581,402.1606774,54.26278387,44.54224194,381.598871,53.78891613,499.9439677,100.6629355,0.200048742,46.37051935,44.39664839,999.9,0,0,10004.95806,0,124.0427742,1799.993871,0.90000271,0.099997213,0,665.9231613,4.99938,12598.55484,14365.53226,57.33232258,57.665,57.375,57.82825806,59.312,1615.49871,179.4951613,0,79.79999995,0,664.1429615,-191.8241027,-3568.820515,12566.48462,15,1597360641,16:17:21,1597360634,1597360641,3,0.149,-0.293,4.353,0.474,409,45,0.73,0.25,10.26666194,-8.415548271,0.65695008,0,-16.16846,7.474336819,0.560476215,0,9.755625667,3.773773081,0.323828791,0,0,3,0/3,100,100,4.353,0.4738,4.35335,0,0,0,0.47386,0,0,0,-1,-1,-1,-1,6.4,6.3,2,508.662,478.795,45.6428,45.5975,29.9982,45.344,45.3994,21.0842,23.4944,99.6157,-999.9,400,42.6122,98.7432,98.059
8,1597361117,718.5,20200813 16:25:16,16:25:16,B2R1,_NW,_5.10,_2,1597361109,0.007959686,8.390597945,388.0486774,287.2486145,28.97213865,39.13891841,0.180975964,2.943021729,0.175012918,0.109902462,297.3787967,45.82145279,44.91507097,9.596402765,52.36121974,5.349058732,10.21568779,4.247344034,-351.0221481,193.1025052,16.94853115,156.4076851,0,0,1,0,50087.67338,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2040-20200813-16_25_17,715.07276,907.6,0.212127854,0.5,1517.367373,8.390597945,160.937942,0.253514764,0.00579765,2.996077567,DARK-2041-20200813-16_25_18,677.51,230.09,0.836747534,0.921985671,1.019355492,0.935053544,1799.979032,1517.367373,0.842991693,0.195983387,6,0.5,0: Broadleaf,2,1597361109,388.0486774,401.8244194,53.03404516,43.98863548,383.6952258,52.56017419,499.9807742,100.6607742,0.200073129,46.13212258,44.91507097,999.9,0,0,10010.85,0,941.0053548,1799.979032,0.900000387,0.100000419,0,718.5855161,4.99938,14075.91613,14365.4,57.145,57.5,57.23983871,57.633,59.11483871,1615.481613,179.4996774,0,97.70000005,0,715.07276,-219.5986926,-3167.76154,14005.2,15,1597360641,16:17:21,1597360634,1597360641,3,0.149,-0.293,4.353,0.474,409,45,0.73,0.25,8.540944372,-9.417365509,0.727176676,0,-13.80466,9.306025362,0.69563737,0,9.040851333,2.470046363,0.19894697,0,0,3,0/3,100,100,4.353,0.4739,4.35335,0,0,0,0.47386,0,0,0,-1,-1,-1,-1,8,7.9,2,493.244,479.131,45.3684,45.1656,29.9983,44.911,44.9654,21.0724,21.77,100,-999.9,400,42.4278,98.8062,98.1366
9,1597361198,799.5999999,20200813 16:26:37,16:26:37,B2R1,_NW,_5.10,_3,1597361190,0.009984612,11.02854942,383.4578667,276.9112443,27.92763757,38.67330253,0.222850502,2.94240119,0.213880474,0.134451133,297.3830118,45.17187369,45.01323333,9.645118821,52.08970635,5.285434875,10.14679338,4.359683945,-440.3213841,156.5204155,13.73841362,27.32045678,24,5,1,0,50091.33988,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2042-20200813-16_26_38,697.2022308,952.66,0.268152089,0.5,1517.390482,11.02854942,203.4457139,0.396374362,0.00753604,2.80706653,DARK-2043-20200813-16_26_40,575.05,377.61,0.676512193,0.87626606,1.092019361,0.919558952,1800.006667,1517.390482,0.84299159,0.19598318,6,0.5,0: Broadleaf,2,1597361190,383.4578667,401.2867,52.40673667,41.05301333,379.1045667,51.93287333,499.9955,100.6541333,0.1999784,45.99993,45.01323333,999.9,0,0,10007.978,0,256.4638333,1800.006667,0.900003167,0.09999678,0,697.6239333,4.99938,13275.71,14365.64333,57.05786667,57.437,57.125,57.55993333,59.01653333,1615.510667,179.496,0,80.29999995,0,697.2022308,-118.6713163,-2086.423933,13268.95769,15,1597360641,16:17:21,1597360634,1597360641,3,0.149,-0.293,4.353,0.474,409,45,0.73,0.25,11.05722919,-1.469657543,0.130945832,0,-17.85945484,2.025619355,0.162609877,0,11.35393226,-0.532064516,0.105608188,1,1,3,1/3,100,100,4.353,0.4739,4.35335,0,0,0,0.47386,0,0,0,-1,-1,-1,-1,9.4,9.3,2,461.514,477.619,45.1929,44.8536,29.999,44.5908,44.6466,20.9579,26.1215,98.8619,-999.9,400,40.17,98.8622,98.1915
10,1597361563,1165.1,20200813 16:32:43,16:32:43,B2R2,_NW,_5.4,_1,1597361555,0.010835014,10.48235723,384.3093871,290.3407163,29.27648219,38.75180536,0.250441574,2.939005847,0.239160876,0.150446726,297.3821864,44.69749711,44.60469032,9.443763756,51.99788533,5.207389348,10.01461755,4.236374408,-477.824116,180.5414237,15.81556656,15.91506062,13,3,1,0,50038.35559,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2044-20200813-16_32_43,622.93992,778.52,0.199840826,0.5,1517.384034,10.48235723,151.6176395,0.260173149,0.007176116,3.658634332,DARK-2045-20200813-16_32_45,575.97,202.55,0.768107035,0.933609102,2.60204176,0.979439737,1799.99871,1517.384034,0.842991734,0.195983469,6,0.5,0: Broadleaf,2,1597361555,384.3093871,401.8850968,51.64271935,39.31210323,380.2256129,51.23989032,499.9976129,100.6349355,0.199982065,45.74412903,44.60469032,999.9,0,0,9990.570323,0,654.7971935,1799.99871,0.899996355,0.100003361,0,625.7405161,4.99938,12229.10968,14365.56129,57.187,57.75,57.312,57.83232258,59.125,1615.494839,179.503871,0,364.8999999,0,622.93992,-149.0374618,-2662.707695,12178.42,15,1597361241,16:27:20,1597361235,1597361241,4,-0.27,-0.071,4.084,0.403,399,40,0.22,0.01,10.50260629,-1.943104195,0.154984568,0,-17.57573548,2.419103226,0.194283125,0,12.33061935,0.326627419,0.055028669,1,1,3,1/3,100,100,4.083,0.4028,4.083761905,0,0,0,0.402825,0,0,0,-1,-1,-1,-1,5.5,5.4,2,475.071,476.992,44.8589,44.1888,29.9995,43.7823,43.8265,20.917,25.028,99.2442,-999.9,400,38.2793,98.9623,98.3123
11,1597361697,1298.6,20200813 16:34:56,16:34:56,B2R2,_NW,_5.4,_2,1597361689,0.010222309,9.685474319,383.906,295.2202061,29.76674206,38.70883713,0.2468061,2.941311029,0.23585101,0.148350627,297.3798057,44.56167357,43.88685161,9.09876308,51.03774143,5.034904125,9.865060607,4.063858956,-450.8038076,248.0536058,21.60941158,116.2390156,0,0,1,0,50147.31826,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2046-20200813-16_34_57,746.0765385,930.37,0.198086204,0.5,1517.372537,9.685474319,150.2852829,0.319206337,0.006650998,2.89827703,DARK-2047-20200813-16_34_59,633.39,296.98,0.620558494,0.900790058,0.870781147,0.92722372,1799.985161,1517.372537,0.842991692,0.195983385,6,0.5,0: Broadleaf,2,1597361689,383.906,400.2376452,49.93510645,38.28102903,379.8223548,49.53228065,500.0064516,100.6289677,0.19997771,45.45114839,43.88685161,999.9,0,0,10004.27548,0,389.398,1799.985161,0.899997452,0.100002284,0,747.204129,4.99938,14225.14839,14365.45484,57,57.56606452,57.125,57.633,58.937,1615.485161,179.5,0,132.7,0,746.0765385,-121.7797607,-2276.441025,14203.35769,15,1597361241,16:27:20,1597361235,1597361241,4,-0.27,-0.071,4.084,0.403,399,40,0.22,0.01,9.699568222,-1.117324091,0.106551324,0,-16.3463,2.298256452,0.192982426,0,11.66906774,-2.181991935,0.167069229,0,0,3,0/3,100,100,4.083,0.4028,4.083761905,0,0,0,0.402825,0,0,0,-1,-1,-1,-1,7.7,7.6,2,496.847,477.235,44.6203,43.9435,29.9992,43.5292,43.5746,20.8155,25.5428,99.2428,-999.9,400,37.9878,99.0081,98.3628
12,1597361806,1407.6,20200813 16:36:45,16:36:45,B2R2,_NW,_5.4,_3,1597361798,0.010007424,11.44340022,383.1254194,282.585595,28.49241304,38.62959714,0.244386387,2.941222347,0.233639717,0.146950985,297.3801304,44.35379957,44.05104516,9.17669922,53.07017953,5.165131252,9.732643262,4.011567968,-441.3273788,180.3665858,15.70592305,52.12526046,68,14,1,0,50186.25234,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2048-20200813-16_36_46,754.887,953.01,0.207891837,0.5,1517.372953,11.44340022,157.7247257,0.342388852,0.007809528,2.805668356,DARK-2049-20200813-16_36_48,626.71,326.3,0.607180509,0.891238046,0.845662024,0.919438599,1799.985484,1517.372953,0.842991772,0.195983545,6,0.5,0: Broadleaf,2,1597361798,383.1254194,401.4584839,51.22738065,39.83361613,379.0416129,50.82456452,499.9981935,100.6275806,0.199968742,45.18852258,44.05104516,999.9,0,0,10003.90871,0,283.6207097,1799.985484,0.899997065,0.100002858,0,760.2922581,4.99938,14467.3871,14365.44516,56.764,57.284,56.913,57.381,58.72154839,1615.480645,179.5048387,0,108,0,754.887,-392.0384621,-7280.600011,14367.552,15,1597361241,16:27:20,1597361235,1597361241,4,-0.27,-0.071,4.084,0.403,399,40,0.22,0.01,11.56800824,-8.010247738,0.647409816,0,-18.39596129,7.829322581,0.631075113,0,11.36940968,2.530403226,0.248036387,0,0,3,0/3,100,100,4.084,0.4028,4.083761905,0,0,0,0.402825,0,0,0,-1,-1,-1,-1,9.5,9.4,2,407.398,478.075,44.3742,43.6915,29.9993,43.3058,43.3392,21.0453,24.5873,99.6263,-999.9,400,38.0065,99.0509,98.4074
13,1597362151,1752.6,20200813 16:42:30,16:42:30,B3R2,_NE,_5.7,_1,1597362143,0.0106281,12.30750004,382.1171667,281.4219523,28.37643227,38.52976575,0.26222749,2.940059691,0.249892368,0.157242629,297.3835707,43.6506685,43.61718,8.97200276,52.6262188,4.98023098,9.463402641,3.99177178,-468.699229,162.8929593,14.1245526,5.701853633,14,3,1,0,50240.36239,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2052-20200813-16_42_31,696.86968,957.11,0.271902206,0.5,1517.390779,12.30750004,206.2909498,0.412220121,0.008378901,2.789365904,DARK-2053-20200813-16_42_33,562.57,394.54,0.6596044,0.871245027,1.091696621,0.91802875,1800.006667,1517.390779,0.842991755,0.19598351,6,0.5,0: Broadleaf,2,1597362143,382.1171667,401.76,49.39121,37.26715333,377.8151333,48.74899,499.9893667,100.6324,0.199933933,44.64486667,43.61718,999.9,0,0,9996.815,0,1260.899,1800.006667,0.899996333,0.100003733,0,699.1879333,4.99938,13188.36,14365.60333,56.1912,56.8309,56.281,56.8058,58.0662,1615.501667,179.506,0,80.5,0,696.86968,-194.8931536,-3432.961533,13147.464,15,1597361948,16:39:07,1597361931,1597361948,6,0.214,0.239,4.302,0.642,400,46,0.4,0.5,12.41911894,-5.027269176,0.405084915,0,-19.71982581,5.404195161,0.422824803,0,12.1091,0.436533871,0.126855274,1,1,3,1/3,100,100,4.302,0.6422,4.3021,0,0,0,0.642215,0,0,0,-1,-1,-1,-1,3.7,3.4,2,473.987,478.111,43.691,43.2768,29.9995,42.8947,42.943,20.8269,28.129,98.8625,-999.9,400,36.0872,99.1073,98.4773
14,1597362247,1848.6,20200813 16:44:06,16:44:06,B3R2,_NE,_5.7,_2,1597362239,0.013180105,14.69659859,376.8672581,283.1186031,28.54663592,37.99924232,0.343026514,2.938911824,0.322234634,0.203159609,297.382165,42.86279737,42.99828387,8.686849734,51.493002,4.839337175,9.398048253,3.847512559,-581.2426333,239.6608095,20.7153789,-23.4842799,42,8,1,0,50230.01425,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2054-20200813-16_44_07,751.38296,1085.18,0.307596012,0.5,1517.384266,14.69659859,233.3706743,0.464909047,0.009953422,2.342155218,DARK-2055-20200813-16_44_09,580.67,504.51,0.661626212,0.834378909,0.910889995,0.873989861,1799.999032,1517.384266,0.842991712,0.195983425,6,0.5,0: Broadleaf,2,1597362239,376.8672581,400.4633226,47.99537097,32.93862258,372.5650645,47.35315806,500.0091935,100.6291935,0.20005471,44.5108871,42.99828387,999.9,0,0,9990.605806,0,303.2156452,1799.999032,0.899998065,0.100001935,0,753.7314516,4.99938,14196.53548,14365.55161,56.20529032,56.86280645,56.312,56.8506129,58.125,1615.496452,179.5025806,0,95.30000019,0,751.38296,-162.9368459,-2913.861534,14154.732,15,1597361948,16:39:07,1597361931,1597361948,6,0.214,0.239,4.302,0.642,400,46,0.4,0.5,14.68998741,0.408931625,0.129065812,1,-23.59130645,-0.618827419,0.11980546,1,15.0553,-0.432701613,0.094846657,1,3,3,3/3,100,100,4.302,0.6423,4.3021,0,0,0,0.642215,0,0,0,-1,-1,-1,-1,5.3,5,2,440.045,475.447,43.6912,43.2208,29.9998,42.819,42.8618,20.923,36.2717,96.7739,-999.9,400,32.2923,99.1185,98.4959
15,1597362329,1930.6,20200813 16:45:28,16:45:28,B3R2,_NE,_5.7,_3,1597362321,0.010205455,11.08469309,383.3081333,291.6739765,29.40911427,38.64846919,0.264506544,2.940183749,0.251962091,0.158553788,297.3760063,43.63342773,43.38267,8.86301505,53.82794399,5.061045267,9.402263752,3.801969784,-450.0605453,180.2087258,15.59878549,43.12297236,2,0,1,0,50263.52067,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2056-20200813-16_45_29,1024.51884,1311.56,0.218854768,0.5,1517.355041,11.08469309,166.040193,0.432225746,0.007573218,1.765287139,DARK-2057-20200813-16_45_31,744.67,566.89,0.506343665,0.803311394,0.484186723,0.796145529,1799.964667,1517.355041,0.84299157,0.195983141,6,0.5,0: Broadleaf,2,1597362321,383.3081333,401.3050333,50.19448,38.56195333,379.0061,49.55227,499.9703333,100.6288333,0.1998886,44.51955333,43.38267,999.9,0,0,9997.875,0,355.1761333,1799.964667,0.9000032,0.09999652,0,1027.578067,4.99938,19224,14365.3,56.187,56.7934,56.30786667,56.76653333,58.062,1615.474333,179.4906667,0,80.89999986,0,1024.51884,-595.3437702,-10849.89232,19168.512,15,1597361948,16:39:07,1597361931,1597361948,6,0.214,0.239,4.302,0.642,400,46,0.4,0.5,11.19276814,-6.666590337,0.498400483,0,-18.05866129,4.418206452,0.340389155,0,11.51731613,8.323093548,0.652326766,0,0,3,0/3,100,100,4.302,0.6423,4.3021,0,0,0,0.642215,0,0,0,-1,-1,-1,-1,6.6,6.3,2,488.688,480.768,43.6286,43.1802,30.0002,42.7635,42.8084,21.1348,27.0932,99.2201,-999.9,400,36.0213,99.1219,98.5054
16,1597362448,2049.6,20200813 16:47:27,16:47:27,B3R2,_NE,_5.14,_1,1597362440,0.008671964,12.98892643,381.9805484,267.5469056,26.97426033,38.51153775,0.22915578,2.940717583,0.219677399,0.1381173,297.3763263,44.05159234,43.18232258,8.770813431,53.78699151,5.06389481,9.414720303,3.706918621,-382.4336116,216.0613347,18.68334152,149.6873909,54,11,1,0,50273.94541,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-2058-20200813-16_47_28,738.4056923,991.83,0.255511839,0.5,1517.359239,12.98892643,193.8516251,0.401903552,0.008828162,2.656715365,DARK-2059-20200813-16_47_30,593.21,398.62,0.635754121,0.868599664,0.92794903,0.90608973,1799.97,1517.359239,0.842991405,0.195982809,6,0.5,0: Broadleaf,2,1597362440,381.9805484,401.5445806,50.22674839,40.34190968,377.8979677,49.90684839,499.9413548,100.6206129,0.200064774,44.54514194,43.18232258,999.9,0,0,10001.72903,0,219.7282903,1799.97,0.900008806,0.099991032,0,741.2842903,4.99938,13890.6129,14365.36452,56.25,56.875,56.379,56.883,58.133,1615.489355,179.4812903,0,118.3000002,0,738.4056923,-309.2384273,-5453.849572,13839.25769,15,1597362366,16:46:06,1597362365,1597362366,7,-0.22,-0.322,4.083,0.32,401,36,0.16,0.02,13.05777666,-7.236743872,0.528300445,0,-19.5768,3.460708065,0.292311773,0,9.780813548,12.51362129,0.96340522,0,0,3,0/3,100,100,4.083,0.3199,4.082619048,0,0,0,0.3199,0,0,0,-1,-1,-1,-1,1.4,1.4,2,424.051,481.74,43.5867,43.1892,30.0001,42.7595,42.7904,21.111,23.7408,99.6199,-999.9,400,37.198,99.1204,98.5093
