date,block,sub-block,row,vine,vigor,total clusters,weight,initials,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,3,"1,2",high,41,14.76,IRW,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,5,"8,9",high,72,12.90,ARU,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,3,16 (?),high,84,14.24,NR,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,3,"5,6",high,98,19.60,ARU,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,7,"2,3",high,53,11.32,ARU,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,5,"11,12",high,55,14.28,DG,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,7,"5,6",high,70,18.68,DG,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,5,"3,4",high,50,18.48,IRW,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,3,"1,2",high,88,15.88,NR,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,7,"10,11",high,77,19.50,DG,,,,,,,,,,,,,,,,,
9/13/21,B1R1,NE,7,"14,15",high,39,15.74,IRW,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,5,"5,6",high,141,12.56,SCB,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,7,"14,15",high,75,5.53,RGH,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,3,"9,10",high,63,5.92,KEHE,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,5,"7,8",high,97,10.74,MEF,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,5,"9,10",high,108,9.25,RGH,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,2,"3,4",high,50,9.40,P,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,7,"11,12",high,54,3.33,RGH,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,2,"13,14",high,128,10.81,SCB,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,7,"7,8",high,56,5.26,MEF,,,,,,,,,,,,,,,,,
9/13/21,B1R1,SE,5,"2,3",high,70,12.84,PMT,12.43,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,3,"6,7",high,85,18.78,MEF,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,5,"9,10",high,101,20.75,NR,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,3,"10,11",high,112,27.38,MEF,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,5,7(8?),high,150,30.06,NR,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,7,"7,8",high,79,23.44,IRW,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,7,"10,11",high,89,26.04,DG,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,7,"3,4",high,N/A,17.12,N/A,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,5,"12,13",high,118,20.54,ARV,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,3,"2,3",high,131,29.98,MEF,,,,,,,,,,,,,,,,,
9/13/21,B2R1,NE,5,"14,15",high,73,21.34,SC,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,N/A,N/A,low,101,16.36,N/A,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,7,"5,6",low,83,11.78,RGH,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,7,"14,15",low,71,7.46,RGH,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,5,"2,3",low,98,19.82,SLB,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,3,"4,5",low,84,17.56,KEHE,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,5,"14,15",low,104,16.62,RGH,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,3,"11,12",low,108,18.16,KEHE,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,5,"9,10",low,79,14.94,PMI,,,,,,,,,,,,,,,,,
9/13/21,B2R2,SE,5,"6,7",low,127,23.72,RGH,20.10,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,5,"10,11",medium,115,22.42,KEHE,,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,5,"13,14",medium,145,29.60,RGH,,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,7,"6,7",medium,105,32.68,PMT,,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,7,"10,11",medium,79,21.64,IRW,,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,5,"6,7",medium,109,19.69,RGH,,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,5,"3,4",medium,92,32.32,DG,,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,3,"13,14",medium,130,19.46,N/A,,,,,,,,,,,,,,,,,
9/13/21,B3R2,NE,3,"6,7",medium,110,19.32,ARU,,,,,,,,,,,,,,,,,
