Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
11/14/2019,8/15/2019,B3R1,1,1.438,0.501,0.937,2835,54,51.5,0.95,2704,6.38,58.98,60,22.88,2.48,2.43,3
11/14/2019,8/15/2019,B3R1,2,1.25,0.576,0.674,2014,54,51,0.94,1902,8.56,59.2,60,12,1.73,1.71,3
11/14/2019,8/15/2019,B3R1,3,1.525,0.522,1.003,3041,54,51.5,0.95,2900,6.22,59.22,60,25.18,2.64,2.61,3
11/13/2019,9/19/2019,B3R1,1,1.373,0.725,0.648,1933,56,57.5,1.03,1984,8.93,62.67,60,12.44,1.77,1.85,3
11/13/2019,9/19/2019,B3R1,3,1.16,0.65,0.51,1502,56,52.5,0.94,1408,8.9,62.95,60,8.86,1.25,1.31,3
11/14/2019,9/19/2019,B3R1,2,1.396,0.575,0.821,2473,56,55.5,0.99,2451,9.59,62.56,60,14.31,2.19,2.29,3
11/14/2019,8/15/2019,B3R2,1,1.368,0.463,0.905,2735,50,50.5,1.01,2762,5.15,54.25,60,26.82,2.55,2.3,3
11/14/2019,8/15/2019,B3R2,2,1.585,0.508,1.077,3272,50,55,1.1,3599,6.95,54.51,60,25.89,3.3,3,3
11/14/2019,8/15/2019,B3R2,3,1.334,0.569,0.765,2298,50,50.5,1.01,2321,5.41,54.1,60,21.45,2.14,1.93,3
11/13/2019,9/19/2019,B3R2,2,1.559,0.856,0.703,2104,55,52.5,0.95,2009,9.66,61.82,60,11.44,1.79,1.84,3
11/13/2019,9/19/2019,B3R2,3,1.628,0.712,0.916,2769,55,59,1.07,2971,8.45,61.45,60,19.34,2.66,2.72,3
11/14/2019,9/19/2019,B3R2,1,1.241,0.592,0.649,1936,55,56.5,1.03,1988,9.17,61.52,60,11.93,1.78,1.82,3
11/15/2019,8/15/2019,B3R3,1,1.355,0.442,0.913,2760,48,52,1.08,2990,7.31,52.78,60,19.63,2.72,2.39,3
11/15/2019,8/15/2019,B3R3,2,1.6,0.593,1.007,3053,48,50,1.04,3181,6.61,52.95,60,23.1,2.88,2.54,3
11/15/2019,8/15/2019,B3R3,3,1.648,0.503,1.145,3484,48,50,1.04,3629,6.21,52.85,60,28.05,3.3,2.9,3
11/13/2019,9/19/2019,B3R3,1,1.599,0.792,0.807,2429,54,54,1,2429,8.69,60.68,60,15.09,2.16,2.19,3
11/13/2019,9/19/2019,B3R3,3,1.39,0.717,0.673,2011,54,54,1,2011,8.45,60.31,60,12.85,1.8,1.81,3
11/14/2019,9/19/2019,B3R3,2,1.686,0.807,0.879,2654,54,51,0.94,2506,8.82,60.48,60,15.34,2.24,2.26,3
