Block,Rep,Date,mAU,short_name_flavo,Extract_ini_vol,Extract_final_vol,Total_antho_mg_L_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb
B2R3,3,8/16/20,191.7,K3G,60,51,37450.15,5.11,66.01,60
B3R1,1,8/16/20,86.5,K3G,55,57,45661.145,5.23,60.84,60
B3R1,2,8/16/20,111,K3G,56,52.5,41305.313,5.17,60.96,60
B3R1,3,8/16/20,108.2,K3G,56,49,38551.625,5.08,60.84,60
B3R2,1,8/16/20,143.6,K3G,59,52.5,39205.042,6.12,64.49,60
B3R2,2,8/16/20,135.5,K3G,59,52,38831.661,5.07,64.14,60
B3R2,3,8/16/20,134.3,K3G,59,50,37338.136,5.56,64.52,60
B3R3,1,8/16/20,127.6,K3G,57,50,38648.246,5.86,61.9,60
B3R3,2,8/16/20,147,K3G,56,54,42485.464,5.33,61.82,60
B3R3,3,8/16/20,121.9,K3G,56,50.5,39731.777,5.34,61.76,60
B1R1,1,8/22/20,130.3,K3G,54,54,44065,7.09,59.22,60
B1R1,2,8/22/20,110.6,K3G,54,52,42432.963,7.42,59.12,60
B1R1,3,8/22/20,108.2,K3G,54,50.5,41208.935,6.95,59.1,60
B1R3,1,8/22/20,134,K3G,52,52,44065,7.01,57.19,60
B1R3,2,8/22/20,101.7,K3G,52,54,45759.808,4.8,57.11,60
B1R3,3,8/22/20,137.7,K3G,52,50,42370.192,5.59,57.23,60
B1R4,1,8/22/20,77.3,K3G,54,51,41616.944,6.39,59.98,60
B1R4,2,8/22/20,56.2,K3G,54,54,44065,5.64,60.02,60
B1R4,3,8/22/20,100.6,K3G,54,50,40800.926,7.4,59.97,60
B2R1,1,8/22/20,136.7,K3G,53,52,43233.585,5.21,57.73,60
B2R1,2,8/22/20,103.8,K3G,53,51,42402.17,5.2,57.78,60
B2R1,3,8/22/20,151.2,K3G,53,53,44065,5.02,57.77,60
B2R2,1,8/22/20,86.1,K3G,54,54,44065,5.73,63.52,61
B2R2,2,8/22/20,183.7,K3G,54,51.5,42024.954,4.92,63.6,60
B2R2,3,8/22/20,132.4,K3G,54,51.5,42024.954,6.86,63.73,60
B2R3,1,8/22/20,101.7,K3G,57,56,43291.93,4.58,67.08,60
B2R3,2,8/22/20,104.7,K3G,57,52,40199.649,7.32,67.16,60
B2R3,3,8/22/20,138.3,K3G,57,52,40199.649,7.32,67.23,60
B3R1,1,8/22/20,65.5,K3G,56,59,46425.625,5.83,62.19,60
B3R1,2,8/22/20,88.1,K3G,56,50.5,39737.188,5.29,62.01,60
B3R1,3,8/22/20,78.6,K3G,56,53,41704.375,5.1,62.1,60
B3R2,1,8/22/20,115.2,K3G,57,51.5,39813.114,5.79,62.48,60
B3R2,2,8/22/20,103.4,K3G,57,50,38653.509,6.62,62.59,60
B3R2,3,8/22/20,118.2,K3G,57,52.5,40586.184,7.29,62.52,60
B3R3,1,8/22/20,172.9,K3G,53,49.5,41155.047,5.63,58.54,60
B3R3,2,8/22/20,182.6,K3G,53,50.5,41986.462,7.11,58.46,60
B3R3,3,8/22/20,92.5,K3G,53,50,41570.755,5.53,58.49,60
B1R1,1,8/27/20,151,K3G,53,55,45733.019,6.43,58.55,60
B1R1,2,8/27/20,150.4,K3G,54,54.5,44478.056,6.88,58.75,60
B1R1,3,8/27/20,132.3,K3G,53,56,46564.528,6.65,58.78,60
B1R3,1,8/27/20,130,K3G,53,51,42406.981,5.34,58.77,60
B1R3,2,8/27/20,156,K3G,52,52,44070,5.58,58.62,60
B1R3,3,8/27/20,170,K3G,53,55,45733.019,5.82,58.74,60
B1R4,1,8/27/20,125.4,K3G,52,57.5,48731.25,6.1,57.54,60
B1R4,2,8/27/20,143.1,K3G,53,55,45733.019,6.13,57.39,60
B1R4,3,8/27/20,78.4,K3G,52,55,46612.5,5.67,57.26,60
B2R1,1,8/27/20,169.1,K3G,56,54,42496.071,6.32,60.87,60
B2R1,2,8/27/20,173.6,K3G,55,51.5,41265.545,6.93,60.94,60
B2R1,3,8/27/20,161.9,K3G,56,55,43283.036,6.72,60.7,60
B2R2,1,8/27/20,183.1,K3G,56,58,45643.929,6.32,60.94,60
B2R2,2,8/27/20,166.8,K3G,55,58,46473.818,6.63,60.87,60
B2R2,3,8/27/20,172.9,K3G,55,52,41666.182,6.45,60.69,60
B2R3,1,8/27/20,155.1,K3G,54,53,43253.889,6.31,60.2,60
B2R3,2,8/27/20,137.8,K3G,53,53,44070,5.74,60.29,60
B2R3,3,8/27/20,147.8,K3G,55,55,44070,5.49,60.41,60
B3R1,1,8/27/20,107,K3G,55,55,44070,6.72,62.49,60
B3R1,2,8/27/20,120.7,K3G,56,53,41709.107,7.27,62.23,60
B3R1,3,8/27/20,120.6,K3G,56,53,41709.107,5.87,62.15,60
B3R2,1,8/27/20,196.9,K3G,57,54,41750.526,7.12,63.63,60
B3R2,2,8/27/20,150.9,K3G,58,57,43310.172,7.3,63.66,60
B3R2,3,8/27/20,185.6,K3G,58,54,41030.69,6.47,63.73,60
B3R3,1,8/27/20,116.2,K3G,52,53,44917.5,6.05,57.28,60
B3R3,2,8/27/20,187.6,K3G,52,53,44917.5,5.61,57.38,60
B3R3,3,8/27/20,185.9,K3G,52,54.5,46188.75,5.62,57.26,60
B1R1,1,9/4/20,96.6,K3G,53,51,42414.679,5.64,57.61,60
B1R1,2,9/4/20,97.9,K3G,52,56,47468.615,5.75,57.86,60
B1R1,3,9/4/20,153.4,K3G,54,52,42445.481,8.23,58.9,60
B1R3,1,9/4/20,107.2,K3G,53,51.5,42830.509,6.12,58.25,60
B1R3,2,9/4/20,136.3,K3G,53,56,46572.981,9.41,58.25,60
B1R3,3,9/4/20,118.8,K3G,52,51,43230.346,6.37,58.14,60
B1R4,1,9/4/20,107,K3G,54,55.5,45302.389,8.5,59.21,60
B1R4,2,9/4/20,105,K3G,54,54,44078,6.01,58.81,60
B1R4,3,9/4/20,112,K3G,53,52,43246.34,6.62,59.02,59
B2R1,1,9/4/20,109.1,K3G,50,50.5,44518.78,6.52,55.28,60
B2R1,2,9/4/20,93.4,K3G,55,55,44078,9.05,59.84,60
B2R1,3,9/4/20,99.7,K3G,54,51.5,42037.352,6.37,59.88,60
B2R2,1,9/4/20,115.2,K3G,54,52.5,42853.611,7.07,60.06,60
B2R2,2,9/4/20,121.3,K3G,56,54.5,42897.339,6.08,61.18,60
B2R2,3,9/4/20,133.3,K3G,55,56,44879.418,6.14,61.2,60
B2R3,1,9/4/20,118.4,K3G,56,56,44078,8.32,61.35,60
B2R3,2,9/4/20,94.8,K3G,54,51.5,42037.352,7.05,60.32,60
B2R3,3,9/4/20,113.3,K3G,55,53,42475.164,5.74,60.5,60
B3R1,1,9/4/20,73.7,K3G,55,51.5,41273.036,6.15,60.44,60
B3R1,2,9/4/20,84.8,K3G,58,52,39518.207,8.82,64.39,60
B3R1,3,9/4/20,70.5,K3G,58,55,41798.103,7.4,64.36,60
B3R2,1,9/4/20,124.1,K3G,58,52,39518.207,6.62,64.11,60
B3R2,2,9/4/20,144.5,K3G,56,51.5,40536.018,8.41,61.37,60
B3R2,3,9/4/20,130.8,K3G,56,52,40929.571,6.48,61.55,60
B3R3,1,9/4/20,93.2,K3G,56,52.5,41323.125,8.34,61.24,60
B3R3,2,9/4/20,104,K3G,50,53,46722.68,6.05,55.2,60
B3R3,3,9/4/20,95.7,K3G,50,51,44959.56,6.26,55.34,60
B1R1,2,9/8/20,185,K3G,49,54,48580.163,5.75,54.5,60
B1R1,3,9/8/20,196.6,K3G,49,50,44981.633,6.12,54.48,60
B1R3,1,9/8/20,189.8,K3G,54,48,39184,6.83,58.5,60
B1R3,2,9/8/20,166,K3G,53,52,43250.264,6.76,58.5,60
B1R3,3,9/8/20,149.2,K3G,52,54,45777.462,7.11,58.38,60
B1R4,1,9/8/20,114,K3G,52,57,48320.654,6.21,57.77,60
B1R4,2,9/8/20,136.9,K3G,52,58,49168.385,7.45,58.03,60
B1R4,3,9/8/20,125,K3G,51,55,47539.412,7.66,57.92,60
B2R1,1,9/8/20,170.7,K3G,50,52,45845.28,5.52,55.48,60
B2R1,2,9/8/20,208.9,K3G,50,53,46726.92,6.71,56.16,60
B2R1,3,9/8/20,160.7,K3G,50,53,46726.92,5.96,56.15,60
B2R2,1,9/8/20,150.5,K3G,55,55,44082,6.39,61.72,60
B2R2,2,9/8/20,195.7,K3G,55,54,43280.509,6.7,61.49,60
B2R2,3,9/8/20,181.5,K3G,56,55.5,43688.411,6.44,61.57,60
B2R3,1,9/8/20,179.9,K3G,54,54,44082,6.97,60.13,60
B2R3,2,9/8/20,171.2,K3G,53,51,42418.528,6.63,59.06,60
B2R3,3,9/8/20,187.5,K3G,53,52,43250.264,6.73,59.12,60
B3R1,1,9/8/20,93.9,K3G,53,53,44082,7.08,58.32,60
B3R1,2,9/8/20,136,K3G,52,51.5,43658.135,6.79,58.32,60
B3R1,3,9/8/20,90,K3G,52,52,44082,7.58,58.27,60
B3R2,1,9/8/20,158.5,K3G,54,54,44082,7.91,60.74,60
B3R2,2,9/8/20,151.7,K3G,53,52.5,43666.132,6.71,60.57,60
B3R2,3,9/8/20,163.9,K3G,54,52,42449.333,7.79,60.63,60
B3R3,1,9/8/20,204.4,K3G,50,51.5,45404.46,6.79,55.67,60
B3R3,2,9/8/20,166,K3G,51,51,44082,5.85,55.85,60
B3R3,3,9/8/20,119.1,K3G,51,52,44946.353,6.52,55.78,60
B1R1,1,9/12/20,75.8,K3G,51,47,40628.275,6.32,56.63,60
B1R1,2,9/12/20,119.5,K3G,51,48.5,41924.922,8.01,56.69,60
B1R1,3,9/12/20,91.7,K3G,51,47,40628.275,7.61,56.5,60
B1R3,1,9/12/20,147.6,K3G,53,48,39926.943,6.06,58.85,60
B1R3,2,9/12/20,130.9,K3G,53,51,42422.377,8.01,58.83,60
B1R3,3,9/12/20,133.5,K3G,53,50,41590.566,7.39,58.77,60
B1R4,1,9/12/20,106.1,K3G,54,49.5,40412.167,5.95,59.62,60
B1R4,2,9/12/20,78.9,K3G,53,48,39926.943,7.39,59.73,60
B1R4,3,9/12/20,99.1,K3G,54,52.5,42861.389,7.8,59.5,60
B2R1,1,9/12/20,86.6,K3G,55,51,40879.745,6.41,60.91,60
B2R1,2,9/12/20,90.7,K3G,55,48,38475.055,7.05,60.99,60
B2R1,3,9/12/20,91.2,K3G,54,50,40820.37,7.98,60.64,60
B2R2,1,9/12/20,103.2,K3G,56,50.5,39756.125,6.9,62.53,60
B2R2,2,9/12/20,100.8,K3G,56,53,41724.25,8.62,62.48,60
B2R2,3,9/12/20,157.3,K3G,56,52.5,41330.625,6.53,62.52,60
B2R3,1,9/12/20,130.2,K3G,58,52,39525.379,6.47,64.27,60
B2R3,2,9/12/20,142.1,K3G,58,49.5,37625.121,9.14,64.42,60
B2R3,3,9/12/20,129.1,K3G,56,51.5,40543.375,5.54,64.17,60
B3R1,1,9/12/20,45.1,K3G,55,50.5,40478.964,5.11,61.64,60
B3R1,2,9/12/20,93.3,K3G,55,51,40879.745,6.84,61.62,60
B3R1,3,9/12/20,127.5,K3G,54,53,43269.593,6.49,61.45,60
B3R2,1,9/12/20,102.3,K3G,59,53,39602.678,7.49,66.5,60
B3R2,2,9/12/20,154.3,K3G,59,53.5,39976.288,12,66.45,60
B3R2,3,9/12/20,145.9,K3G,59,52,38855.458,9.76,66.52,60
B3R3,1,9/12/20,114,K3G,52,50,42390.385,6.09,57.3,60
B3R3,2,9/12/20,98.1,K3G,52,51.5,43662.096,6.27,57.37,60
B3R3,3,9/12/20,123.8,K3G,52,51,43238.192,5.96,57.29,60
