Date_sampled,Block_id,Rep,total_Antho_mg_berry_somers,total_antho_hplc_m_berry
8/3/20,B1R1,1,0.219199792,0.267901691
8/3/20,B1R1,2,0.231399809,0.270848035
8/3/20,B1R1,3,0.217400948,0.26693214
8/3/20,B1R3,1,0.214355344,0.275453746
8/3/20,B1R3,2,0.222010923,0.270826612
8/3/20,B1R3,3,0.181805378,0.245232724
8/3/20,B1R4,1,0.217005373,0.247617187
8/3/20,B1R4,2,0.243288715,0.16888663
8/3/20,B1R4,3,0.209824764,0.2647114
8/3/20,B2R1,1,0.266471969,0.333907818
8/3/20,B2R1,2,0.320377477,0.33469402
8/3/20,B2R1,3,0.275821591,0.338081274
8/3/20,B2R2,1,0.324599508,0.371808556
8/3/20,B2R2,2,0.262699667,0.402595098
8/3/20,B2R2,3,0.316766304,0.370814501
8/3/20,B2R3,1,0.261332755,0.311889012
8/3/20,B2R3,2,0.266477404,0.316086947
8/3/20,B2R3,3,0.211944015,0.308980926
8/3/20,B3R1,1,0.404699724,0.436043209
8/3/20,B3R1,2,0.373213481,0.434125322
8/3/20,B3R1,3,0.324499542,0.365731798
8/3/20,B3R2,1,0.315332252,0.349865653
8/3/20,B3R2,2,0.292971757,0.324730693
8/3/20,B3R2,3,0.333499406,0.36442895
8/3/20,B3R3,1,0.293377448,0.335586127
8/3/20,B3R3,2,0.270888106,0.301471152
8/3/20,B3R3,3,0.28477746,0.333843489
8/13/20,B1R1,1,0.805421916,0.441978562
8/13/20,B1R1,2,0.731894089,0.415271727
8/13/20,B1R1,3,0.749166305,0.487977567
8/13/20,B1R3,1,0.536999742,0.356498445
8/13/20,B1R3,2,0.713499645,0.467159197
8/13/20,B1R3,3,0.715841321,0.438389175
8/13/20,B1R4,1,0.76853296,0.454527811
8/13/20,B1R4,2,0.723513556,0.488887946
8/13/20,B1R4,3,0.75918298,0.477121952
8/13/20,B2R1,1,0.763694091,0.452346099
8/13/20,B2R1,2,0.706688568,0.454345036
8/13/20,B2R2,1,0.801666303,0.541885669
8/13/20,B2R2,2,0.78346632,0.510256394
8/13/20,B2R2,3,0.842110724,0.553542842
8/13/20,B2R3,1,0.688410799,0.426502962
8/13/20,B2R3,2,0.674935808,0.437163883
8/13/20,B2R3,3,0.629902472,0.427019592
8/13/20,B3R1,1,0.789994097,0.5044123
8/13/20,B3R1,2,0.807355206,0.458083521
8/13/20,B3R1,3,0.769166333,0.417437498
8/13/20,B3R2,1,0.735624665,0.476209509
8/13/20,B3R2,2,0.783732992,0.469983161
8/13/20,B3R2,3,0.716971898,0.448349249
8/13/20,B3R3,1,0.733366356,0.445784538
8/13/20,B3R3,2,0.664533056,0.384322433
8/13/20,B3R3,3,0.680555251,0.370307969
8/16/20,B1R1,1,0.700971901,0.184951602
8/16/20,B1R1,2,0.725999706,0.455697583
8/16/20,B1R1,3,0.663382998,0.469790605
8/16/20,B1R3,1,0.755046856,0.456118703
8/16/20,B1R3,2,0.730624668,0.462048451
8/16/20,B1R3,3,0.657510759,0.457099255
8/16/20,B1R4,1,0.73919967,0.464556723
8/16/20,B1R4,2,0.788082958,0.464434525
8/16/20,B1R4,3,0.706388567,0.468417111
8/16/20,B2R1,1,0.806596841,0.628255221
8/16/20,B2R1,2,0.738399688,0.587501464
8/16/20,B2R1,3,0.7830552,0.596678392
8/16/20,B2R2,1,0.875499571,0.62167487
8/16/20,B2R2,2,0.776532987,0.628402859
8/16/20,B2R2,3,0.80826354,0.642885336
8/16/20,B2R3,2,0.791110767,0.548236696
8/16/20,B2R3,3,0.839516338,0.544467968
8/16/20,B3R1,1,0.797049677,0.579032384
8/16/20,B3R1,2,0.762124685,0.536230342
8/16/20,B3R1,3,0.842527397,0.622080011
8/16/20,B3R2,1,0.790124668,0.520565131
8/16/20,B3R2,2,0.757177477,0.535570301
8/16/20,B3R2,3,0.84499965,0.525423806
8/16/20,B3R3,1,0.76472185,0.534032301
8/16/20,B3R3,2,0.859199616,0.560021196
8/16/20,B3R3,3,0.80715798,0.540784156
8/22/20,B1R1,1,0.764099532,0.47085451
8/22/20,B1R1,2,0.771910655,0.582444843
8/22/20,B1R1,3,0.726077318,0.466576527
8/22/20,B1R3,1,0.80802176,0.500883967
8/22/20,B1R3,2,0.747899604,0.47346883
8/22/20,B1R3,3,0.678888467,0.454161655
8/22/20,B1R4,1,0.73128288,0.446358697
8/22/20,B1R4,2,0.836999514,0.276473709
8/22/20,B1R4,3,0.7466662,0.448717047
8/22/20,B2R1,1,0.766999601,0.52456807
8/22/20,B2R1,2,0.882016253,0.57277751
8/22/20,B2R1,3,0.778805179,0.522229313
8/22/20,B2R2,1,0.93540937,0.564519493
8/22/20,B2R2,2,0.821996839,0.531867862
8/22/20,B2R2,3,0.862624571,0.533905344
8/22/20,B2R3,1,0.834399589,0.522000741
8/22/20,B2R3,2,0.784621795,0.49578801
8/22/20,B2R3,3,0.695066285,0.49216518
8/22/20,B3R1,1,0.770605195,0.529211634
8/22/20,B3R1,2,0.859060685,0.566787674
8/22/20,B3R1,3,0.85447736,0.518212066
8/22/20,B3R2,1,0.805974622,0.514730413
8/22/20,B3R2,2,0.70527745,0.446381482
8/22/20,B3R2,3,0.845541218,0.515876886
8/22/20,B3R3,1,0.777424593,0.496476444
8/22/20,B3R3,2,0.775174613,0.518346715
8/22/20,B3R3,3,0.67555525,0.433476304
8/27/20,B1R1,1,0.885193613,0.873200877
8/27/20,B1R1,2,0.816590995,0.802414225
8/27/20,B1R1,3,0.843732587,0.808806142
8/27/20,B1R3,1,0.890515862,0.829114286
8/27/20,B1R3,2,0.933110273,0.841475215
8/27/20,B1R3,3,0.815526983,0.767482053
8/27/20,B1R4,1,0.852596468,0.76180508
8/27/20,B1R4,2,0.900471403,0.837276864
8/27/20,B1R4,3,0.908721348,0.822436287
8/27/20,B2R1,1,1.001099142,0.944861319
8/27/20,B2R1,2,0.953035259,0.861269957
8/27/20,B2R1,3,0.991526965,0.899268618
8/27/20,B2R2,1,0.985676959,0.927031688
8/27/20,B2R2,2,0.936054808,0.887834139
8/27/20,B2R2,3,1.030754747,0.914631991
8/27/20,B2R3,1,0.853299276,0.79582109
8/27/20,B2R3,2,0.863604843,0.809035508
8/27/20,B2R3,3,0.907499212,0.824967964
8/27/20,B3R1,1,0.94141586,0.861116646
8/27/20,B3R1,2,0.996988017,0.900415855
8/27/20,B3R1,3,0.911304755,0.837499028
8/27/20,B3R2,1,0.970499106,0.875620651
8/27/20,B3R2,2,0.959815856,0.847507364
8/27/20,B3R2,3,1.008299178,0.878964121
8/27/20,B3R3,1,0.948404719,0.851040198
8/27/20,B3R3,2,0.893638088,0.814828844
8/27/20,B3R3,3,0.92740757,0.837636492
9/4/20,B1R1,1,0.677449541,0.535170339
9/4/20,B1R1,2,0.712755064,0.561625841
9/4/20,B1R1,3,0.713555024,0.554943198
9/4/20,B1R3,1,0.791955035,0.603458296
9/4/20,B1R3,2,0.751332736,0.561829177
9/4/20,B1R3,3,0.778599456,0.456977669
9/4/20,B1R4,1,0.748324427,0.561754295
9/4/20,B1R4,2,0.769199472,0.566810258
9/4/20,B1R4,3,0.729468374,0.530334856
9/4/20,B2R1,1,0.885193852,0.60981289
9/4/20,B2R1,2,0.857474468,0.585144328
9/4/20,B2R1,3,0.912916095,0.590328832
9/4/20,B2R2,1,0.883807788,0.627787065
9/4/20,B2R2,2,0.860843909,0.636038337
9/4/20,B2R2,3,0.909377187,0.58407964
9/4/20,B2R3,1,0.740455086,0.478123904
9/4/20,B2R3,2,0.763493973,0.508924687
9/4/20,B2R3,3,0.786805069,0.530317349
9/4/20,B3R1,1,0.839510499,0.529367041
9/4/20,B3R1,2,0.768471697,0.52235251
9/4/20,B3R1,3,0.789532813,0.505505927
9/4/20,B3R2,1,0.846316083,0.527693555
9/4/20,B3R2,2,0.857710568,0.573289428
9/4/20,B3R2,3,0.817249405,NA
9/4/20,B3R3,1,0.817377271,0.497468316
9/4/20,B3R3,2,0.789082846,0.501471258
9/4/20,B3R3,3,0.781627284,0.508250153
9/8/20,B1R1,1,0.675099377,0.749200715
9/8/20,B1R1,2,0.804599046,0.780641189
9/8/20,B1R1,3,0.774999083,0.769421309
9/8/20,B1R3,1,0.767998928,0.767383819
9/8/20,B1R3,2,0.845576836,0.827772578
9/8/20,B1R3,3,0.86129892,0.808404039
9/8/20,B1R4,1,0.642199164,0.664289845
9/8/20,B1R4,2,0.656687909,0.770980778
9/8/20,B1R4,3,0.756554645,0.737906993
9/8/20,B2R1,1,0.825354643,0.839632331
9/8/20,B2R1,2,0.836810145,0.826996853
9/8/20,B2R1,3,0.770560287,0.811362865
9/8/20,B2R2,1,0.935304627,0.8760966
9/8/20,B2R2,2,0.949498974,0.836381346
9/8/20,B2R2,3,0.96107402,0.89618593
9/8/20,B2R3,1,0.862499106,0.77997127
9/8/20,B2R3,2,0.855099065,0.795206876
9/8/20,B2R3,3,0.834310204,0.782662249
9/8/20,B3R1,1,0.907771245,0.807503983
9/8/20,B3R1,2,0.883510156,0.792112425
9/8/20,B3R1,3,0.865510308,0.789441779
9/8/20,B3R2,1,0.992099034,NA
9/8/20,B3R2,2,0.905915675,0.830414218
9/8/20,B3R2,3,0.980198995,0.837606536
9/8/20,B3R3,1,0.880362888,0.787680998
9/8/20,B3R3,2,0.847732455,0.742260547
9/8/20,B3R3,3,0.813221379,0.747747767
9/12/20,B1R1,1,0.644682816,0.365681652
9/12/20,B1R1,2,0.567449531,0.301796611
9/12/20,B1R1,3,0.644943948,0.361996528
9/12/20,B1R3,1,0.681599504,0.456401407
9/12/20,B1R3,2,0.713999422,0.40232999
9/12/20,B1R3,3,0.628332833,0.364674534
9/12/20,B1R4,1,0.637174544,0.337192375
9/12/20,B1R4,2,0.6829328,0.330302235
9/12/20,B1R4,3,0.64604113,0.363462272
9/12/20,B2R1,1,0.744316151,0.389456054
9/12/20,B2R1,2,0.732532832,0.464850743
9/12/20,B2R1,3,0.736388383,0.47278944
9/12/20,B2R2,1,0.814452217,0.48739997
9/12/20,B2R2,2,0.79264385,0.498163917
9/12/20,B2R2,3,0.769124493,0.483462272
9/12/20,B2R3,1,0.747643901,0.465442384
9/12/20,B2R3,2,0.778249395,0.4435877
9/12/20,B2R3,3,0.683805121,0.442771829
9/12/20,B3R1,1,0.481994119,0.310987095
9/12/20,B3R1,2,0.728449422,0.464780347
9/12/20,B3R1,3,0.784988282,0.481954605
9/12/20,B3R2,1,0.841227183,0.529588252
9/12/20,B3R2,3,0.747932727,0.410448928
9/12/20,B3R3,1,0.7547217,0.466766141
9/12/20,B3R3,2,0.783085568,0.478088842
9/12/20,B3R3,3,0.803249439,0.457785907
