Sample,Rep,Date,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B1R1,1,7/21/20,35.1,D3G,32,40,3.89,33.44,60
B1R1,2,7/21/20,23.4,D3G,32,41.5,3.55,33.22,60
B1R1,3,7/21/20,26.8,D3G,32,42.5,3.75,33.1,60
B1R3,1,7/21/20,13.1,D3G,30,44.5,3.38,31.44,59
B1R3,2,7/21/20,33.7,D3G,30,45.5,3.21,31.4,60
B1R3,3,7/21/20,75.8,D3G,30,41.5,3.33,31.56,60
B1R4,1,7/21/20,25.5,D3G,31,47,3.52,32.93,60
B1R4,2,7/21/20,8.6,D3G,31,42.5,2.91,32.86,60
B1R4,3,7/21/20,16.2,D3G,31,41,3.6,33.08,59
B2R1,1,7/21/20,26.2,D3G,33,45,3.71,34.67,60
B2R1,2,7/21/20,8.5,D3G,33,43,3.61,34.49,60
B2R1,3,7/21/20,24.8,D3G,33,43,3.79,34.33,60
B2R2,1,7/21/20,56.6,D3G,35,44,3.53,36.8,60
B2R2,2,7/21/20,23.9,D3G,35,43.5,3.9,36.76,60
B2R2,3,7/21/20,19.9,D3G,35,45,3.6,36.93,60
B2R3,1,7/21/20,10.5,D3G,32,43,3.96,33.21,60
B2R3,2,7/21/20,12.2,D3G,32,44,2.95,33.16,60
B2R3,3,7/21/20,16.2,D3G,32,43.5,3.1,33.27,60
B3R1,1,7/21/20,31.7,D3G,34,43,3.46,35.15,60
B3R1,2,7/21/20,105,D3G,33,47,3.55,34.98,60
B3R1,3,7/21/20,40.8,D3G,33,45,3.93,35.25,60
B3R2,1,7/21/20,32.3,D3G,35,46,3.49,37.22,60
B3R2,2,7/21/20,35.8,D3G,35,43,3.98,37.39,60
B3R2,3,7/21/20,50.9,D3G,37,45,3.89,37.1,59
B3R3,1,7/21/20,12.6,D3G,31,45,2.96,31.8,60
B3R3,2,7/21/20,13.6,D3G,30,48,3.69,31.89,60
B3R3,3,7/21/20,6.2,D3G,31,47,3.26,31.85,60
B1R1,1,8/3/20,1060.7,D3G,46,48,4.85,49.65,60
B1R1,2,8/3/20,550.8,D3G,45,52,3.75,49.58,60
B1R1,3,8/3/20,622.1,D3G,45,52,4.25,49.49,59
B1R3,1,8/3/20,768.2,D3G,44,56,4.37,47.24,60
B1R3,2,8/3/20,853.8,D3G,44,53,3.99,47.25,60
B1R3,3,8/3/20,668.5,D3G,44,55,3.85,47.09,60
B1R4,1,8/3/20,676.4,D3G,46,53,3.53,48.77,60
B1R4,2,8/3/20,889.7,D3G,45,56,3.95,48.72,60
B1R4,3,8/3/20,710.1,D3G,46,54.5,4.31,48.79,60
B2R1,1,8/3/20,1257.4,D3G,46,53,5.25,50.01,60
B2R1,2,8/3/20,1094.1,D3G,46,52,3.85,49.96,60
B2R1,3,8/3/20,1049.1,D3G,46,58,4.67,49.98,60
B2R2,1,8/3/20,1310.3,D3G,49,54,4.65,53.73,60
B2R2,2,8/3/20,1468.9,D3G,49,55.5,3.76,53.77,60
B2R2,3,8/3/20,1444.6,D3G,50,51,3.95,53.59,60
B2R3,1,8/3/20,983,D3G,46,56,4.01,50.3,60
B2R3,2,8/3/20,830.4,D3G,46,58,4.42,50.38,60
B2R3,3,8/3/20,1010.9,D3G,46,54.5,3.43,50.37,60
B3R1,1,8/3/20,1666.4,D3G,51,54,4.15,54.99,60
B3R1,2,8/3/20,1538,D3G,52,56.5,3.94,54.87,60
B3R1,3,8/3/20,1243.9,D3G,49,55,4.29,54.86,60
B3R2,1,8/3/20,1247.7,D3G,48,55,4.91,51.74,60
B3R2,2,8/3/20,1147.2,D3G,48,53,3.76,51.64,60
B3R2,3,8/3/20,1227.7,D3G,48,57.5,3.89,51.75,60
B3R3,1,8/3/20,1192.7,D3G,44,56,4.13,47.9,60
B3R3,2,8/3/20,1098.4,D3G,44,53,3.87,47.99,60
B3R3,3,8/3/20,1300.7,D3G,44,55,4.3,47.91,60
B1R1,1,8/13/20,2010,D3G,56,52,5.27,61.59,60
B1R1,2,8/13/20,2818.5,D3G,56,47,5.53,61.59,60
B1R1,3,8/13/20,2666.7,D3G,56,46.5,5.87,61.66,60
B1R3,1,8/13/20,1426.4,D3G,57,54,5.67,62.36,60
B1R3,2,8/13/20,2594.9,D3G,57,45,5.72,62.31,60
B1R3,3,8/13/20,2230.2,D3G,57,46.5,6.73,62.39,60
B1R4,1,8/13/20,2212.9,D3G,56,48,5.62,63.11,60
B1R4,2,8/13/20,2045.5,D3G,57,56.5,5.85,63.16,60
B1R4,3,8/13/20,2426.5,D3G,58,50.5,6.14,63.08,60
B2R1,1,8/13/20,2338,D3G,57,47.5,5.92,63.06,60
B2R1,2,8/13/20,2384,D3G,58,49,6.5,63.04,60
B2R1,3,8/13/20,NA,D3G,57,49,6.83,63.09,60
B2R2,1,8/13/20,2849.6,D3G,59,52,6.01,65.13,60
B2R2,2,8/13/20,2900,D3G,59,48,6.83,65.12,60
B2R2,3,8/13/20,2961.1,D3G,60,52,6.59,65.13,60
B2R3,1,8/13/20,1804.2,D3G,58,53,5.51,63.58,60
B2R3,2,8/13/20,1957.1,D3G,58,51.5,5.69,63.64,60
B2R3,3,8/13/20,2032.4,D3G,58,47.5,5.88,63.59,60
B3R1,1,8/13/20,2328.4,D3G,60,53,5.68,65.6,60
B3R1,2,8/13/20,2495.4,D3G,60,47,5.7,65.66,60
B3R1,3,8/13/20,2122.5,D3G,60,50,5.64,65.73,60
B3R2,1,8/13/20,2592.1,D3G,58,49.5,5.85,64.13,60
B3R2,2,8/13/20,2583.3,D3G,59,48,6.35,64.18,60
B3R2,3,8/13/20,2148.4,D3G,59,53,6.52,64.14,60
B3R3,1,8/13/20,2638.7,D3G,52,49,5.58,57.53,60
B3R3,2,8/13/20,2233.8,D3G,52,48,5.38,57.58,60
B3R3,3,8/13/20,1928.4,D3G,52,49,6.25,57.49,60
