SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1597859264,0,20200819 10:47:43,10:47:43,B1R1,_NE,_5.3,_1,1597859256,0.005406407,12.67711397,382.2878333,263.9452758,26.68465905,38.64899821,0.201339171,2.945282558,0.193993467,0.121883571,264.3409843,36.62655639,35.38759333,5.770742622,50.2152779,3.076489084,6.126599738,2.694253537,-238.4225359,172.741252,13.82192034,212.4816207,0,0,1,0,51719.29927,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-2998-20200819-10_47_53,1271.287308,1567.54,0.18899211,0.5,1348.806981,12.67711397,127.4569387,0.49712926,0.009728588,1.08407441,DARK-2999-20200819-10_47_55,788.27,779.27,0.380166941,0.685600742,0.315881832,0.644371659,1600.026,1348.806981,0.842990664,0.195981329,6,0.5,0: Broadleaf,2,1597859256,382.2878333,399.9793667,30.43039667,24.14054667,381.0498,30.12287,500.033,100.8992333,0.199977367,36.47548,35.38759333,999.9,0,0,10000.037,0,1142.383,1600.026,0.899999,0.10000107,0,1273.918333,4.99975,20844.31333,13924.23333,47.47476667,48.9915,48.0977,48.69556667,49.23933333,1435.521333,159.5046667,0,3435.8,0,1271.287308,-410.3606832,-6446.396572,20803.25,15,1597859069,10:44:28,1597859069,1597859069,11,-0.3,0.226,1.238,0.308,400,26,0.29,0.13,12.67132873,0.114262525,0.027558373,1,-17.6872129,-0.274558065,0.042251198,1,6.28844871,0.272230161,0.029590916,1,3,3,3/3,100,100,1.238,0.3075,1.2381,0,0,0,0.307525,0,0,0,-1,-1,-1,-1,3.2,3.2,2,513.113,485.102,35.3371,35.9853,30.0007,35.8501,35.8089,21.5287,34.0833,40.7329,-999.9,400,24.1884,100.545,100.012
2,1597859412,148,20200819 10:50:11,10:50:11,B1R1,_NE,_5.3,_2,1597859404,0.008209727,15.84088824,377.2538333,270.98581,27.39816132,38.14244512,0.291640802,2.945604205,0.276496256,0.174105275,264.331631,36.67284076,36.35972333,6.087850331,50.46553219,3.22407002,6.388657526,2.86378031,-362.0489497,140.1170162,11.30515585,53.70485333,0,0,1,0,51600.68485,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3000-20200819-10_50_20,984.16804,1298.17,0.241880462,0.5,1348.76123,15.84088824,163.119495,0.502692251,0.012074607,1.516519408,DARK-3001-20200819-10_50_22,645.59,652.58,0.481170063,0.751045291,0.469718801,0.7465145,1599.972,1348.76123,0.842990521,0.195981042,6,0.5,0: Broadleaf,2,1597859404,377.2538333,399.9792333,31.88817,22.35075333,376.0157667,31.58064333,500.0054333,100.9054667,0.200053667,37.24205333,36.35972333,999.9,0,0,10001.24767,0,819.1775667,1599.972,0.900003367,0.09999669,0,985.5141333,4.99975,17085.81333,13923.77333,48.82476667,50.2081,49.44143333,49.83516667,50.49976667,1435.480667,159.4916667,0,146.5999999,0,984.16804,-268.2498466,-4937.346159,17073.328,15,1597859069,10:44:28,1597859069,1597859069,11,-0.3,0.226,1.238,0.308,400,26,0.29,0.13,15.8418151,0.126347309,0.023566306,1,-22.72899677,-0.000324194,0.027629466,1,9.543585806,-0.389535484,0.031191547,1,3,3,3/3,100,100,1.238,0.3075,1.2381,0,0,0,0.307525,0,0,0,-1,-1,-1,-1,5.7,5.7,2,508.452,479.864,35.9594,36.2843,30.0009,36.1183,36.077,21.5344,38.6382,39.6208,-999.9,400,22.3504,100.521,99.9933
3,1597859530,266.5,20200819 10:52:10,10:52:10,B1R1,_NE,_5.3,_3,1597859522,0.004567653,11.02509026,384.5655333,241.8820374,24.45536369,38.88130794,0.142891754,2.945733289,0.139149734,0.087296627,264.3285277,38.15483917,37.2899,6.405331977,49.30436405,3.244917413,6.581399994,3.160414564,-201.4335182,79.20349736,6.435939998,148.5344469,0,0,1,0,51513.54068,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3002-20200819-10_52_19,1415.3476,1703.51,0.169158033,0.5,1348.74347,11.02509026,114.0753959,0.979377873,0.008504185,0.91772869,DARK-3003-20200819-10_52_21,35.13,1668.38,0.172719884,0.483751787,0.268350304,0.592812977,1599.950667,1348.74347,0.842990661,0.195981322,6,0.5,0: Broadleaf,2,1597859522,384.5655333,399.9031,32.09468667,26.78956333,383.3273333,31.78716,500.0135667,100.9045,0.200005133,37.78863,37.2899,999.9,0,0,10002.07733,0,285.5666167,1599.950667,0.899999267,0.10000074,0,1422.049,4.99975,23252.67333,13923.58,49.83303333,51.14773333,50.406,50.7686,51.5123,1435.454,159.497,0,117.7,0,1415.3476,-667.2030759,-10778.26152,23144.076,15,1597859069,10:44:28,1597859069,1597859069,11,-0.3,0.226,1.238,0.308,400,26,0.29,0.13,11.01666555,0.662690412,0.052067439,0,-15.33638387,-0.495725806,0.039337654,1,5.311924516,-0.695924516,0.071364755,1,2,3,2/3,100,100,1.238,0.3075,1.2381,0,0,0,0.307525,0,0,0,-1,-1,-1,-1,7.7,7.7,2,522.084,484.831,36.4561,36.5803,30.0009,36.3845,36.3371,21.6299,25.3977,40.4965,-999.9,400,27.0019,100.492,99.9559
4,1597859677,413,20200819 10:54:36,10:54:36,B1R1,_NE,_5.12,_1,1597859669,0.008629825,16.72029747,376.0178333,266.9062322,26.98299512,38.01367723,0.299647461,2.945335162,0.283683015,0.178665315,264.3399618,37.37612653,36.99219333,6.30219265,50.53612477,3.373981146,6.676374893,2.928211504,-380.5752868,168.4231616,13.68544476,65.87328145,0,0,1,0,51458.42102,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3004-20200819-10_54_45,714.12108,1060.63,0.326701036,0.5,1348.801403,16.72029747,220.3274079,0.49331058,0.012726241,2.080122192,DARK-3005-20200819-10_54_47,537.41,523.22,0.662262375,0.808306405,0.804059725,0.836587672,1600.019333,1348.801403,0.842990691,0.195981381,6,0.5,0: Broadleaf,2,1597859669,376.0178333,399.9754333,33.37422667,23.36435333,374.5055333,32.83998,500.015,100.8954333,0.1999772,38.05286667,36.99219333,999.9,0,0,10000.71267,0,1139.270533,1600.019333,0.8999974,0.100002343,0,714.4877333,4.99975,11795.82333,13924.16,50.125,51.312,50.62913333,50.729,51.75413333,1435.513333,159.5053333,0,145.7,0,714.12108,-37.58684608,-783.0538451,11787.932,15,1597859586,10:53:05,1597859582,1597859586,12,0.274,0.227,1.512,0.534,400,34,0.39,0.03,16.71481533,0.151662955,0.033568875,1,-23.96070323,0.412954839,0.043029558,1,10.02845452,-1.343085968,0.10242587,0,2,3,2/3,100,100,1.513,0.5342,1.51215,0,0,0,0.53426,0,0,0,-1,-1,-1,-1,1.6,1.5,2,523.417,479.108,36.8536,36.8345,30.0007,36.6247,36.5687,21.5843,36.9783,42.0721,-999.9,400,23.4092,100.471,99.9214
5,1597859827,563.5,20200819 10:57:07,10:57:07,B1R1,_NE,_5.12,_2,1597859819,0.007207117,14.00898487,379.8552903,266.033109,26.89359464,38.40001057,0.238459923,2.945345602,0.228230091,0.143526345,264.3358127,38.20295109,37.48822258,6.474850406,50.24181,3.439096684,6.845089147,3.035753722,-317.8338806,162.9333651,13.30064331,122.7359405,0,0,1,0,51382.39809,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3006-20200819-10_57_16,795.6809615,1109.54,0.282873117,0.5,1348.784841,14.00898487,190.7674862,0.478144096,0.010716208,1.944346306,DARK-3007-20200819-10_57_18,579.02,530.52,0.591606421,0.802622914,0.654064814,0.818041411,1600.000323,1348.784841,0.842990356,0.195980711,6,0.5,0: Broadleaf,2,1597859819,379.8552903,399.9514516,34.01975806,25.66536129,378.3431935,33.48548387,499.9953871,100.8911613,0.199995129,38.51431935,37.48822258,999.9,0,0,10001.19548,0,786.3108065,1600.000323,0.900008774,0.0999916,0,796.8113871,4.99975,12988.02581,13924.04516,49.897,51.25,50.433,50.687,51.62093548,1435.516129,159.4858065,0,149.8999999,0,795.6809615,-91.77446153,-1642.523077,12968.58462,15,1597859586,10:53:05,1597859582,1597859586,12,0.274,0.227,1.512,0.534,400,34,0.39,0.03,14.00627193,-0.040907386,0.033520231,1,-20.0960871,0.502809677,0.064248282,1,8.354380323,-1.324327742,0.103787821,0,2,3,2/3,100,100,1.513,0.5343,1.51215,0,0,0,0.53426,0,0,0,-1,-1,-1,-1,4.1,4,2,513.235,481.849,37.2962,37.1001,30.0006,36.8741,36.8204,21.6448,32.4853,44.495,-999.9,400,25.7539,100.445,99.8991
6,1597859939,675.5,20200819 10:58:59,10:58:59,B1R1,_NE,_5.12,_3,1597859931,0.006728033,13.22289886,381.0447419,268.0404244,27.09529417,38.518516,0.226078257,2.945280483,0.216860913,0.136334898,264.3347808,38.61529272,37.55554516,6.498597543,50.59576494,3.517799203,6.952754261,2.98079834,-296.7062634,198.1838317,16.20644989,182.018799,0,0,1,0,51332.79882,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3008-20200819-10_59_08,1241.585385,1613.24,0.230377759,0.5,1348.774548,13.22289886,155.3638287,0.522929012,0.010133475,1.025036572,DARK-3009-20200819-10_59_10,769.63,843.61,0.440552643,0.66218305,0.37786704,0.627042603,1599.987419,1348.774548,0.842990721,0.195981442,6,0.5,0: Broadleaf,2,1597859931,381.0447419,399.9886129,34.79985806,27.00719032,379.5325806,34.26560645,500.0006774,100.8865806,0.200015645,38.80366452,37.55554516,999.9,0,0,10001.27935,0,1224.670323,1599.987419,0.899997452,0.100002529,0,1244.334516,4.99975,20318.17097,13923.88387,49.875,51.24593548,50.375,50.788,51.625,1435.483871,159.503871,0,111.2,0,1241.585385,-361.954188,-5751.220513,20274.77692,15,1597859586,10:53:05,1597859582,1597859586,12,0.274,0.227,1.512,0.534,400,34,0.39,0.03,13.22266684,0.451745224,0.066086852,1,-18.94394839,-0.06236129,0.061372921,1,7.792669677,-1.06532129,0.08124662,0,2,3,2/3,100,100,1.512,0.5343,1.51215,0,0,0,0.53426,0,0,0,-1,-1,-1,-1,6,5.9,2,504.235,481.938,37.6023,37.2755,30.0005,37.0446,36.9867,21.6783,32.0388,50.3529,-999.9,400,26.9912,100.428,99.8797
7,1597860159,895,20200819 11:02:38,11:02:38,B2R1,_NE,_5.7,_1,1597860151,0.007903759,13.77483007,379.9338387,271.9485364,27.48716689,38.40176883,0.252105735,2.944591311,0.240698919,0.151418667,264.3365091,38.58478815,38.32830645,6.776640231,51.43173527,3.628509773,7.055001652,3.148130458,-348.5557584,118.5167382,9.742794652,44.0402835,0,0,1,0,51268.67497,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3010-20200819-11_02_47,1076.4216,1408.47,0.235751134,0.5,1348.782775,13.77483007,158.9885345,0.480365219,0.01054262,1.319445924,DARK-3011-20200819-11_02_49,731.89,676.58,0.490774779,0.733102431,0.42636491,0.704689667,1599.997097,1348.782775,0.842990764,0.195981528,6,0.5,0: Broadleaf,2,1597860151,379.9338387,400.0675161,35.89922258,26.75501935,378.4002258,35.44032258,499.9901935,100.8748387,0.20004571,39.07487419,38.32830645,999.9,0,0,9998.525484,0,777.8712258,1599.997097,0.899994839,0.100005039,0,1081.054194,4.99975,17702.35484,13923.96774,50,51.262,50.538,50.875,51.808,1435.49,159.5070968,0,218.5,0,1076.4216,-414.2107699,-6630.607702,17627.06,15,1597860004,11:00:04,1597859983,1597860004,13,0.021,-0.075,1.534,0.459,398,33,0.21,0.03,13.76872677,0.562779555,0.055806237,0,-20.13259677,-0.428883871,0.053025438,1,9.146740323,-0.365037581,0.030007654,1,2,3,2/3,100,100,1.533,0.4589,1.53355,0,0,0,0.4589,0,0,0,-1,-1,-1,-1,2.9,2.6,2,515.974,479.495,38.0095,37.6269,30.0008,37.3997,37.3402,21.6931,36.1993,57.2955,-999.9,400,26.341,100.379,99.8178
8,1597860284,1020.5,20200819 11:04:44,11:04:44,B2R1,_NE,_5.7,_2,1597860276,0.008840755,14.23467822,378.9293226,279.675727,28.266706,38.29822441,0.289266974,2.94486392,0.274357658,0.172749017,264.3340461,38.61033458,38.23089355,6.741031791,51.02600176,3.651664173,7.156477182,3.089367618,-389.8772872,176.1947121,14.49469821,65.14616914,0,0,1,0,51232.54942,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3012-20200819-11_04_53,900.30072,1206.99,0.254094301,0.5,1348.771965,14.23467822,171.3576347,0.498363698,0.010883643,1.706625573,DARK-3013-20200819-11_04_55,605.47,601.52,0.509857162,0.773983618,0.531239176,0.78108919,1599.984516,1348.771965,0.842990636,0.195981273,6,0.5,0: Broadleaf,2,1597860276,378.9293226,400.0299355,36.13020323,25.90509677,377.3956452,35.67130323,500.0243226,100.8695806,0.199991258,39.3406871,38.23089355,999.9,0,0,10000.59645,0,1456.249032,1599.984516,0.900000129,0.099999977,0,904.7468065,4.99975,14993.72581,13923.86774,50.062,51.36483871,50.558,50.95732258,51.812,1435.485484,159.4990323,0,124.9000001,0,900.30072,-243.9141538,-3988.392308,14921.424,15,1597860004,11:00:04,1597859983,1597860004,13,0.021,-0.075,1.534,0.459,398,33,0.21,0.03,14.23389482,0.06773181,0.041987582,1,-21.10071935,0.261977419,0.051255146,1,10.22510968,-0.881453226,0.068544388,1,3,3,3/3,100,100,1.533,0.4589,1.53355,0,0,0,0.4589,0,0,0,-1,-1,-1,-1,5,4.7,2,522.93,477.638,38.2537,37.8156,30.0007,37.5819,37.5227,21.6998,38.8842,60.2455,-999.9,400,25.8151,100.363,99.8026
9,1597860402,1137.9,20200819 11:06:41,11:06:41,B2R1,_NE,_5.7,_3,1597860394,0.005862913,11.2319513,383.8449032,272.033762,27.49362429,38.79403599,0.19412941,2.944762129,0.187289597,0.117650451,264.3306863,39.77906213,38.17244839,6.71974568,50.85624281,3.719338319,7.313435113,3.000407362,-258.5544792,249.7294318,20.57907555,276.0847145,0,0,1,0,51163.34549,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3014-20200819-11_06_50,919.23216,1228.11,0.251506657,0.5,1348.753858,11.2319513,169.6102867,0.458289567,0.008657491,1.660079309,DARK-3015-20200819-11_06_52,665.28,562.83,0.548794201,0.783659224,0.516147648,0.773080663,1599.962903,1348.753858,0.842990706,0.195981413,6,0.5,0: Broadleaf,2,1597860394,383.8449032,400.0236129,36.80073548,30.02422258,382.3114839,36.34183548,500.0052903,100.8669355,0.200020645,39.74546774,38.17244839,999.9,0,0,10000.28,0,1268.621613,1599.962903,0.899997161,0.100002845,0,921.719129,4.99975,15100.81613,13923.67742,50.27,51.62093548,50.74593548,51.34451613,52.056,1435.462581,159.5006452,0,116.5,0,919.23216,-219.7733849,-3473.607698,15062.416,15,1597860004,11:00:04,1597859983,1597860004,13,0.021,-0.075,1.534,0.459,398,33,0.21,0.03,11.23248829,0.521676017,0.060073375,0,-16.17860323,-0.11223871,0.049029665,1,6.776516129,-1.08804871,0.09107512,0,1,3,1/3,100,100,1.534,0.4589,1.53355,0,0,0,0.4589,0,0,0,-1,-1,-1,-1,7,6.6,2,525.655,481.576,38.5674,37.9872,30.0008,37.7454,37.6884,21.7774,31.7218,64.8259,-999.9,400,29.773,100.342,99.773
10,1597860646,1382.4,20200819 11:10:46,11:10:46,B2R2,_NE,_5.4,_1,1597860638,0.011540261,16.73877697,374.7530333,287.9602623,29.09981106,37.87065054,0.403661845,2.944933994,0.375250614,0.236917418,264.3335158,38.64972946,38.12846333,6.703764519,50.4802735,3.756823012,7.442160574,2.946941506,-508.9255193,308.5472764,25.45912911,89.41440198,0,0,1,0,51114.54731,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3018-20200819-11_10_55,884.78868,1233.37,0.2826251,0.5,1348.766511,16.73877697,190.5976352,0.999521636,0.012740271,1.648734767,DARK-3019-20200819-11_10_57,0.59,1232.78,0.282760363,0.622573692,0.577418483,0.771086116,1599.977667,1348.766511,0.842990836,0.195981672,6,0.5,0: Broadleaf,2,1597860638,374.7530333,400.0286667,37.17604,23.84286667,373.2300333,36.61787333,500.0118,100.8549667,0.199987333,40.07185667,38.12846333,999.9,0,0,10002.444,0,1003.0082,1599.977667,0.8999932,0.100006777,0,887.2833,4.99975,14825.55667,13923.79667,50.74573333,51.99573333,51.2122,51.5788,52.4706,1435.468667,159.509,0,78.10000014,0,884.78868,-246.7220765,-4163.069223,14784.792,15,1597860468,11:07:47,1597860448,1597860468,14,-0.011,0.099,1.523,0.558,397,39,0.28,0.06,16.72834428,0.281840861,0.034063718,1,-25.27018065,-0.13248871,0.036676902,1,13.3408129,-0.620119355,0.047820496,1,3,3,3/3,100,100,1.523,0.5582,1.52295,0,0,0,0.558157143,0,0,0,-1,-1,-1,-1,3.3,3,2,528.824,472.041,39.005,38.3315,30.0008,38.0709,38.0138,21.7115,43.5146,61.7789,-999.9,400,23.9114,100.296,99.7182
11,1597860756,1492.4,20200819 11:12:36,11:12:36,B2R2,_NE,_5.4,_2,1597860748,0.010650507,16.3696245,375.6799677,284.0218533,28.7039212,37.96710734,0.367592704,2.944669589,0.34387005,0.216922463,264.3346939,39.19840447,38.63812581,6.890979091,51.89124666,3.928378374,7.570406623,2.962600717,-469.6873659,278.4645876,23.07072868,96.1826443,0,0,1,0,51055.09179,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3020-20200819-11_12_45,741.8428,1134.8,0.346278816,0.5,1348.77572,16.3696245,233.5262295,0.517227705,0.012466489,1.878806838,DARK-3021-20200819-11_12_47,547.85,586.95,0.669490076,0.784131783,0.777949395,0.808463031,1599.989032,1348.77572,0.842990604,0.195981207,6,0.5,0: Broadleaf,2,1597860748,375.6799677,400.1251613,38.87083226,26.58690323,374.1569677,38.31266129,499.9953871,100.8623871,0.199981419,40.3922,38.63812581,999.9,0,0,10000.20484,0,1081.435806,1599.989032,0.900001645,0.099998432,0,743.0799677,4.99975,12416.3871,13923.90645,50.937,52.25,51.48577419,51.77,52.69919355,1435.49129,159.4977419,0,109.3,0,741.8428,-79.11361551,-1372.29231,12394.924,15,1597860468,11:07:47,1597860448,1597860468,14,-0.011,0.099,1.523,0.558,397,39,0.28,0.06,16.36932835,0.122118036,0.018791338,1,-24.44623226,0.053516129,0.018146703,1,12.28742581,-0.454679032,0.036176208,1,3,3,3/3,100,100,1.523,0.5582,1.52295,0,0,0,0.558157143,0,0,0,-1,-1,-1,-1,5.1,4.8,2,527.702,472.808,39.3217,38.5793,30.0012,38.3004,38.2403,21.7597,40.4498,66.0787,-999.9,400,26.1654,100.26,99.6746
12,1597860843,1579.4,20200819 11:14:03,11:14:03,B2R2,_NE,_5.4,_3,1597860835,0.010630734,15.96903204,376.1810333,277.7684699,28.07180113,38.01755888,0.333080787,2.944372528,0.313474195,0.1975867,264.3274125,39.38383575,39.52388333,7.227147821,52.20256682,3.990076935,7.643449696,3.237070886,-468.8153657,166.4632712,13.86346563,-24.16121637,0,0,1,0,51017.451,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3022-20200819-11_14_12,777.5247308,1158.3,0.328736311,0.5,1348.737591,15.96903204,221.6895102,0.514365881,0.012169829,1.820400587,DARK-3023-20200819-11_14_14,562.51,595.79,0.63910987,0.779692792,0.720320501,0.799552029,1599.943667,1348.737591,0.842990675,0.195981349,6,0.5,0: Broadleaf,2,1597860835,376.1810333,400.142,39.48152667,27.2287,374.6581,38.92337667,500.0160333,100.8618667,0.200003833,40.57255667,39.52388333,999.9,0,0,9998.567667,0,642.5636333,1599.943667,0.899998033,0.100001907,0,778.5730667,4.99975,12806.23667,13923.51,51.104,52.4184,51.625,51.9559,52.875,1435.446667,159.497,0,86.29999995,0,777.5247308,-162.3926496,-2574.222222,12789.95385,15,1597860468,11:07:47,1597860448,1597860468,14,-0.011,0.099,1.523,0.558,397,39,0.28,0.06,15.94846314,1.083668511,0.080211318,0,-23.94359677,-1.185445161,0.093982848,0,12.25171935,-0.251080645,0.040879598,1,1,3,1/3,100,100,1.523,0.5581,1.52295,0,0,0,0.558157143,0,0,0,-1,-1,-1,-1,6.6,6.3,2,517.745,471.712,39.5561,38.8211,30.001,38.5201,38.4491,21.7768,39.1637,64.5438,-999.9,400,26.5001,100.217,99.6353
13,1597860977,1712.9,20200819 11:16:16,11:16:16,B2R2,_NE,_5.12,_1,1597860969,0.010814772,16.3294606,375.6438,284.709613,28.76814766,37.95648553,0.371043009,2.944165219,0.346884777,0.218842298,264.3343325,39.59896847,38.86289667,6.974974693,51.55363987,3.995763823,7.750691964,2.979210871,-476.9314512,312.9713694,26.01724843,126.3914991,0,0,1,0,50968.70607,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3024-20200819-11_16_25,715.7198,1105.21,0.352412845,0.5,1348.770721,16.3294606,237.6620632,0.997837515,0.012436757,1.955881688,DARK-3025-20200819-11_16_27,2.39,1102.82,0.353176584,0.662175906,0.819066789,0.819683311,1599.982667,1348.770721,0.842990833,0.195981666,6,0.5,0: Broadleaf,2,1597860969,375.6438,400.1141667,39.54486,27.08033,374.0041333,39.22925667,499.9997667,100.8438,0.2000227,40.83467,38.86289667,999.9,0,0,9999.180333,0,1480.549667,1599.982667,0.899993067,0.10000695,0,716.6356,4.99975,12027.33,13923.81667,51.25413333,52.6808,51.77273333,52.17873333,53.062,1435.473333,159.5093333,0,132.5,0,715.7198,-110.2410002,-1687.638464,12014.26,15,1597860890,11:14:49,1597860881,1597860890,15,0.117,-0.243,1.64,0.316,398,30,0.19,0.01,16.32677475,0.493744231,0.04014925,1,-24.46892903,-0.424640323,0.039450951,1,12.46520645,-0.29238871,0.024382965,1,3,3,3/3,100,100,1.639,0.3156,1.639619048,0,0,0,0.315605,0,0,0,-1,-1,-1,-1,1.6,1.4,2,523.64,470.112,39.8107,39.1168,30.0011,38.8101,38.7357,21.7822,39.0541,64.4176,-999.9,400,26.4922,100.177,99.5787
14,1597861128,1863.9,20200819 11:18:47,11:18:47,B2R2,_NE,_5.12,_2,1597861120,0.011104488,16.56392539,375.1230645,277.8748955,28.07541718,37.90100042,0.350926239,2.944090026,0.329233903,0.207608323,264.3366232,39.85040889,39.42588065,7.189266955,50.34058825,3.969678158,7.885641181,3.219588798,-489.7079005,275.2542894,22.97997355,72.86298561,0,0,1,0,50913.66843,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3026-20200819-11_18_56,709.5924,1106.96,0.358971959,0.5,1348.785272,16.56392539,242.0880458,0.522195924,0.012610457,1.951208716,DARK-3027-20200819-11_18_58,528.91,578.05,0.687427731,0.788875659,0.832568388,0.819019726,1600.000323,1348.785272,0.842990625,0.19598125,6,0.5,0: Broadleaf,2,1597861120,375.1230645,399.997871,39.28967097,26.48812581,373.4835484,38.97406774,500.0113226,100.8361935,0.199983645,41.16007419,39.42588065,999.9,0,0,9999.507097,0,1340.93,1600.000323,0.899999774,0.099999945,0,710.2867419,4.99975,11672.47097,13924.0129,51.558,52.95935484,52.008,52.625,53.37093548,1435.500323,159.5,0,150.2,0,709.5924,-49.674923,-891.284614,11660.184,15,1597860890,11:14:49,1597860881,1597860890,15,0.117,-0.243,1.64,0.316,398,30,0.19,0.01,16.56386391,0.110421073,0.030773666,1,-24.87477097,0.104051613,0.038500927,1,12.80154194,-0.545801613,0.041673584,1,3,3,3/3,100,100,1.639,0.3156,1.639619048,0,0,0,0.315605,0,0,0,-1,-1,-1,-1,4.1,4,2,526.917,468.747,40.156,39.3454,30.0003,39.0463,38.9728,21.7973,41.642,70.7253,-999.9,400,26.4559,100.147,99.5514
15,1597861292,2027.9,20200819 11:21:31,11:21:31,B2R2,_NE,_5.12,_3,1597861284,0.013140275,15.64187425,375.4486452,290.4158875,29.34213681,37.933412,0.400919509,2.943886803,0.372869399,0.235399819,264.3351002,39.37056477,39.1323871,7.076851091,46.89616684,3.706288888,7.903180873,3.370562203,-579.4861259,328.4720198,27.39189209,40.71288616,0,0,1,0,50901.2044,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3028-20200819-11_21_40,1014.8442,1371.75,0.260182832,0.5,1348.77691,15.64187425,175.4642982,2.328485511,0.011926915,1.381534536,DARK-3029-20200819-11_21_42,-1822.35,3194.1,0.111739081,0.372379264,0.480960246,0.718613582,1599.990323,1348.77691,0.842990668,0.195981335,6,0.5,0: Broadleaf,2,1597861284,375.4486452,400.1387419,36.68325806,21.49357742,373.809129,36.36765161,500.0070968,100.8349032,0.199985258,41.2020129,39.1323871,999.9,0,0,9998.479677,0,1169.966452,1599.990323,0.899998194,0.100001613,0,1022.352323,4.99975,17005.07097,13923.91613,51.625,53.125,52.125,52.8363871,53.504,1435.489032,159.5012903,0,163.2,0,1014.8442,-459.4044609,-7450.876912,16884.352,15,1597860890,11:14:49,1597860881,1597860890,15,0.117,-0.243,1.64,0.316,398,30,0.19,0.01,15.63764465,-0.086784091,0.085507746,1,-24.69009032,-0.018179032,0.106180332,1,15.18968387,0.284617742,0.026183929,1,3,3,3/3,100,100,1.639,0.3156,1.639619048,0,0,0,0.315605,0,0,0,-1,-1,-1,-1,6.8,6.7,2,531.923,461.5,40.3492,39.4306,29.9999,39.1542,39.0809,21.741,50.6258,63.4024,-999.9,400,20.6808,100.146,99.5551
16,1597861508,2243.9,20200819 11:25:07,11:25:07,B3R2,_NW,_5.13,_1,1597861500,0.013049494,17.7759463,372.9138667,282.3449268,28.52947526,37.68099202,0.415585373,2.94420905,0.385531036,0.243475791,264.3323792,39.5493686,39.73714,7.310176125,51.23782324,4.082818263,7.968367906,3.227357863,-575.4827052,257.1455013,21.51954087,-32.48528396,0,0,1,0,50885.22496,RECT-2943-20200819-06_49_56,629.6807692,3266.87,2637.189231,0.807252578,-0.444873726,RECT-3030-20200819-11_25_16,888.94968,1252.22,0.290101037,0.5,1348.762131,17.7759463,195.6386461,0.487110891,0.013509291,1.60886266,DARK-3031-20200819-11_25_18,642.25,609.97,0.595554404,0.767596833,0.583530004,0.763938354,1599.972667,1348.762131,0.842990733,0.195981466,6,0.5,0: Broadleaf,2,1597861500,372.9138667,400.0839333,40.40603667,25.37975,371.2582,40.01749,500.0124,100.8447667,0.199992967,41.35717667,39.73714,999.9,0,0,9999.333667,0,955.7014667,1599.972667,0.899996,0.10000402,0,892.1052333,4.99975,14895.89667,13923.74333,51.687,52.87913333,52.18286667,52.50413333,53.5,1435.469667,159.503,0,215.3,0,888.94968,-261.3191542,-4158.630776,14846.592,15,1597861370,11:22:49,1597861369,1597861370,16,0.016,0.073,1.656,0.389,400,35,0.31,0.18,17.77783115,0.147920673,0.022054949,1,-27.17125484,-0.009595161,0.030003525,1,15.0278129,-0.2214,0.026950944,1,3,3,3/3,100,100,1.656,0.3886,1.655666667,0,0,0,0.38854,0,0,0,-1,-1,-1,-1,2.3,2.3,2,534.073,464.18,40.4264,39.4377,30.0002,39.1994,39.1338,21.8214,44.1618,70.9921,-999.9,400,24.9708,100.141,99.545
