SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1595276097,1395.5,20200720 13:14:57,13:14:57,B3R3,_NW,_5.5,_3,1595276089,0.008814548,18.70201717,373.5604516,267.9666989,27.06016986,37.72337875,0.344278762,2.946240484,0.323388466,0.203888984,313.9034518,35.48772719,35.21455161,5.715828027,51.87306127,3.083259222,5.943854374,2.632568806,-388.7215469,112.6676917,8.980505235,46.83010177,0,0,1,0,51836.25802,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-976-20200720-13_14_58,940.42524,1248.29,0.246629197,0.5,1601.677128,18.70201717,197.5101718,0.996979868,0.011930359,1.905446651,DARK-977-20200720-13_15_00,3.77,1244.52,0.247376306,0.656501254,0.581357855,0.817901916,1899.990645,1601.677128,0.842992113,0.195984226,6,0.5,0: Broadleaf,2,1595276089,373.5604516,399.9536129,30.53235806,20.27808065,370.0024194,30.31035806,500.0109677,100.7832903,0.20004071,35.92387742,35.21455161,999.9,0,0,10016.99387,0,199.1562903,1899.990645,0.900000161,0.099999935,0,942.0112258,4.99938,18148.28065,15165.80323,47.633,48.97154839,47.875,48.687,49.60467742,1705.492903,189.4996774,0,98.5,0,940.42524,-143.9921538,-2696.130769,18118.78,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,18.69709861,1.738090781,0.129295253,0,-26.39323548,-1.921683871,0.147682302,0,10.25428387,-0.240367742,0.038762354,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7163.3,7163.2,2,493.857,515.698,34.9811,33.9551,30.0006,33.5514,33.6005,20.5858,44.3884,60.248,-999.9,400,19.7783,101.014,100.381
13,1595276237,1535.1,20200720 13:17:16,13:17:16,B3R3,_SW,_5.7,_1,1595276229,0.006787883,14.31931375,379.5504,271.3761223,27.40336143,38.32672051,0.254499123,2.942401861,0.242871839,0.152795291,313.9064075,35.92336276,35.27219667,5.734070957,51.29168221,3.034392924,5.915955167,2.699678033,-299.345633,89.81304011,7.167174071,111.5409887,15,3,1,0,51742.11967,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-978-20200720-13_17_17,923.7477692,1106.71,0.165320844,0.5,1601.691302,14.31931375,132.3964786,0.995933894,0.009193957,2.277136739,DARK-979-20200720-13_17_19,4.5,1102.21,0.1659958,0.69571879,0.471574579,0.866586431,1900.007333,1601.691302,0.842992168,0.195984337,6,0.5,0: Broadleaf,2,1595276229,379.5504,399.8244333,30.04966333,22.14926667,375.9923667,29.82766333,500.0186333,100.7792667,0.199998567,35.83837333,35.27219667,999.9,0,0,9995.555333,0,175.6972667,1900.007333,0.899997,0.100003037,0,924.571,4.99938,17959.87,15165.93,47.5,48.76446667,47.687,48.437,49.4246,1705.502667,189.5046667,0,138.7,0,923.7477692,-271.3959658,-5050.345299,17944.83846,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,14.28627949,1.879773653,0.138468289,0,-20.24474839,-2.130919355,0.161592626,0,7.903673871,-0.204747097,0.018802439,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7165.6,7165.5,2,472.694,515.26,34.835,34.0355,30.0001,33.6449,33.694,20.6184,38.2866,60.4212,-999.9,400,21.8228,100.993,100.359
14,1595276398,1696.1,20200720 13:19:57,13:19:57,B3R3,_SW,_5.7,_2,1595276390,0.006254738,11.02829663,383.8626667,287.456229,29.02181451,38.75508682,0.225804443,2.942452055,0.216600472,0.136170974,313.904447,36.24147701,35.55134,5.823129028,50.8040627,3.035605584,5.975123687,2.787523444,-275.8339428,74.23359227,5.937074084,118.2411706,103,21,1,0,51712.85605,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-980-20200720-13_19_58,976.2837692,1561.51,0.37478225,0.5,1601.681953,11.02829663,300.1409828,0.997220639,0.007139285,1.322649231,DARK-981-20200720-13_20_00,4.34,1557.17,0.375826808,0.570139406,0.694398494,0.710196281,1899.996333,1601.681953,0.842992128,0.195984257,6,0.5,0: Broadleaf,2,1595276390,383.8626667,399.9775667,30.06716667,22.78725,380.3046667,29.84516667,500.0064667,100.7608333,0.199979433,36.01929667,35.55134,999.9,0,0,9997.669333,0,730.8709,1899.996333,0.899999733,0.100000683,0,978.0946667,4.99938,19051.3,15165.83667,47.437,48.75,47.625,48.5,49.375,1705.498,189.5013333,0,160.3,0,976.2837692,-238.094906,-4450.926496,19017.6,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,11.0080509,1.035368427,0.085180304,0,-16.09862258,-1.168040323,0.10037499,0,7.279344516,-0.034750161,0.01655726,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7168.3,7168.2,2,365.056,515.697,34.9743,34.174,30.0007,33.7809,33.8186,20.6495,36.3796,60.6682,-999.9,400,22.5834,100.98,100.35
15,1595276502,1800.1,20200720 13:21:41,13:21:41,B3R3,_SW,_5.7,_3,1595276494,0.00777898,13.6135416,380.1074194,286.1344693,28.88663538,38.37365157,0.288741332,2.942163647,0.273871776,0.172441994,313.9022864,35.90880292,35.4302,5.784333925,50.74774408,3.042195351,5.994740074,2.742138574,-343.0530344,102.9010773,8.228202239,81.97853157,0,0,1,0,51694.61598,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-982-20200720-13_21_42,1265.647308,1445.91,0.124670756,0.5,1601.67115,13.6135416,99.84077627,0.997095255,0.008753425,1.508344226,DARK-983-20200720-13_21_44,4.2,1441.71,0.125033947,0.602027803,0.247892284,0.749947164,1899.983548,1601.67115,0.842992115,0.19598423,6,0.5,0: Broadleaf,2,1595276494,380.1074194,399.9915484,30.13424516,21.08091935,376.5494194,29.91224516,500.0085161,100.7547419,0.200013516,36.07893548,35.4302,999.9,0,0,9996.633871,0,1761.142903,1899.983548,0.899999645,0.1000004,0,1268.879032,4.99938,24874.78387,15165.75806,47.389,48.875,47.625,48.48780645,49.379,1705.485806,189.4990323,0,103.1000001,0,1265.647308,-425.1476923,-8270.502564,24812.36923,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,13.60017074,0.700220717,0.060495931,0,-19.8772,-0.717803226,0.067734496,1,9.055160323,-0.342014032,0.033486147,1,2,3,2/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7170.1,7169.9,2,505.008,513.383,35.0797,34.277,30.0002,33.8707,33.9233,20.6226,41.747,58.2883,-999.9,400,20.9194,100.953,100.331
16,1595276617,1915.6,20200720 13:23:37,13:23:37,B3R3,_SW,_5.10,_1,1595276609,0.008538892,15.62055854,377.3436,283.0973078,28.57870928,38.09288448,0.329677597,2.941766296,0.310441243,0.195660487,313.9097111,35.74816742,35.30854,5.74559852,51.45329305,3.090418553,6.006259988,2.655179967,-376.5651519,127.724109,10.21019086,75.27885905,0,0,1,0,51677.47119,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-984-20200720-13_23_38,1112.514231,1343.15,0.171712593,0.5,1601.707658,15.62055854,137.5166875,1.488441351,0.010006274,1.700249414,DARK-985-20200720-13_23_40,-656.05,1999.2,0.11536403,0.533212387,0.369359087,0.78528281,1900.026667,1601.707658,0.842992199,0.195984398,6,0.5,0: Broadleaf,2,1595276609,377.3436,399.9544,30.61332,20.68050333,373.7856,30.39132,500.0085333,100.7501333,0.199994033,36.11388,35.30854,999.9,0,0,9994.832,0,1770.690667,1900.026667,0.899997133,0.100003013,0,1114.047667,4.99938,21702.84667,15166.08667,47.312,48.875,47.5,48.54133333,49.2872,1705.519333,189.5086667,0,114.7,0,1112.514231,-323.5647863,-6100.010256,21673.54231,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,15.60354258,1.508677482,0.114867592,0,-22.60358065,-1.653222581,0.126305031,0,9.933288065,-0.130165161,0.017917848,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7172,7171.8,2,491.629,511.827,35.1335,34.3156,30.0001,33.9376,33.9904,20.6191,42.9848,57.0747,-999.9,400,20.3275,100.95,100.334
17,1595276721,2019.1,20200720 13:25:20,13:25:20,B3R3,_SW,_5.10,_2,1595276713,0.005754901,12.37006339,382.3515667,260.1011156,26.25655113,38.59742561,0.191852368,2.941474907,0.185161908,0.116307866,313.9006313,36.51898735,36.16387667,6.022775475,50.2294043,3.02590867,6.024177894,2.996866805,-253.791128,0.672382572,0.053993027,60.83587889,29,6,1,0,51660.13471,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-986-20200720-13_25_21,852.7949231,1002.61,0.149425077,0.5,1601.663311,12.37006339,119.6643322,0.995382053,0.007977101,2.61739859,DARK-987-20200720-13_25_23,4.63,997.98,0.150118316,0.724483119,0.527738006,0.902382857,1899.974333,1601.663311,0.842992078,0.195984155,6,0.5,0: Broadleaf,2,1595276713,382.3515667,399.8367,29.97508,23.27598,378.7935333,29.75308,499.9833333,100.7474333,0.2000427,36.16811667,36.16387667,999.9,0,0,9993.443333,0,1443.767667,1899.974333,0.900000933,0.099999433,0,853.8101333,4.99938,16568.24,15165.68333,47.25,48.875,47.5,48.5,49.25,1705.479,189.4956667,0,102.7,0,852.7949231,-208.362188,-3951.329914,16550.30769,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,12.33922354,1.880775714,0.143891352,0,-17.46059677,-1.796017742,0.144951479,0,6.71505129,-0.942393871,0.079626171,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7173.7,7173.6,2,454.553,514.819,35.1672,34.3882,30.0006,34.0263,34.08,20.6656,33.6384,56.9116,-999.9,400,23.35,100.946,100.325
18,1595276822,2120.6,20200720 13:27:02,13:27:02,B3R3,_SW,_5.10,_3,1595276814,0.00908685,18.02693261,374.2257333,272.3586464,27.4935121,37.77658564,0.347716049,2.942599876,0.326395761,0.205803865,313.9041013,35.55118589,35.46717,5.79614969,51.93534382,3.109786461,5.987803742,2.686363229,-400.7300804,93.70897247,7.492647343,14.37564073,0,0,1,0,51710.26097,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-988-20200720-13_27_03,844.6984,1102.17,0.233604253,0.5,1601.679252,18.02693261,187.0795429,0.999274159,0.011508858,2.290635746,DARK-989-20200720-13_27_05,0.8,1101.37,0.233773936,0.696260935,0.671475503,0.868147582,1899.993,1601.679252,0.842992186,0.195984371,6,0.5,0: Broadleaf,2,1595276814,374.2257333,399.9381333,30.80644,20.23837,370.6677333,30.58444,500.0108667,100.746,0.199986,36.05786667,35.46717,999.9,0,0,9999.982,0,186.8237,1899.993,0.899998133,0.10000212,0,846.0060667,4.99938,16413.37,15165.81667,47.3351,48.7686,47.5662,48.4895,49.312,1705.488667,189.5043333,0,100.8,0,844.6984,-98.10600015,-1793.700003,16387.948,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,18.01161359,1.19770813,0.099964468,0,-25.70571935,-1.292714516,0.108299431,0,10.56969355,-0.077762903,0.023387865,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7175.4,7175.3,2,494.346,508.402,35.1644,34.504,30.0005,34.122,34.1755,20.6149,44.5421,55.7956,-999.9,400,19.7572,100.916,100.299
19,1595277025,2323.6,20200720 13:30:25,13:30:25,B1R4,_NE,_5.14,_1,1595277017,0.007487625,15.78436004,377.6114,268.2509643,27.07785442,38.11694225,0.278247141,2.942573345,0.264412806,0.166443627,313.9018113,35.92262878,35.57213667,5.82981185,51.84832215,3.097740834,5.974621174,2.732071017,-330.2042505,70.69474952,5.654339387,60.04664968,26,5,1,0,51716.14373,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-990-20200720-13_30_26,1096.698462,1344.36,0.184222633,0.5,1601.668721,15.78436004,147.5318142,0.99867595,0.010108786,1.697819037,DARK-991-20200720-13_30_28,1.78,1342.58,0.184466876,0.629639234,0.395858462,0.784866732,1899.980667,1601.668721,0.842992115,0.19598423,6,0.5,0: Broadleaf,2,1595277017,377.6114,399.9445667,30.68825,21.97921333,374.0534,30.46625,500.0215,100.7422333,0.200011133,36.01776667,35.57213667,999.9,0,0,10000.205,0,1916.215,1899.980667,0.9,0.099999973,0,1098.72,4.99938,21260.94,15165.72333,47.25413333,48.64153333,47.5,48.187,49.1996,1705.482333,189.4986667,0,202.3,0,1096.698462,-311.8564098,-5978.581188,21223.55769,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,15.75751668,2.306436483,0.178595716,0,-22.32232258,-2.194616129,0.175445306,0,8.714157742,-1.06325371,0.080673888,0,0,3,0/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7178.8,7178.6,2,459.328,510.424,35.0444,34.4903,30.0001,34.1494,34.1979,20.6487,40.5007,57.1358,-999.9,400,21.6007,100.916,100.302
20,1595277289,2587.1,20200720 13:34:48,13:34:48,B1R4,_NE,_5.14,_2,1595277281,0.005587063,12.84525181,382.1098667,255.9720808,25.8372617,38.56933378,0.191265632,2.944606126,0.184622077,0.11596647,313.906284,36.72841662,36.11428667,6.006394164,50.8169951,3.089427492,6.079516285,2.916966672,-246.3894766,34.99740886,2.808935029,105.3231512,12,2,1,0,51720.35571,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-992-20200720-13_34_49,791.6743846,990.41,0.200659944,0.5,1601.693502,12.84525181,160.6978644,0.99643582,0.008273629,2.661958179,DARK-993-20200720-13_34_51,3.53,986.88,0.201377691,0.727630261,0.731502098,0.90657802,1900.010333,1601.693502,0.842991995,0.19598399,6,0.5,0: Broadleaf,2,1595277281,382.1098667,400.0851667,30.60723667,24.10827333,378.5518667,30.38523667,500.0236,100.7378333,0.1999784,36.33474333,36.11428667,999.9,0,0,10012.208,0,1719.492733,1900.010333,0.900003767,0.099996007,0,791.8134,4.99938,15111.12667,15165.97333,47.437,49,47.65806667,48.5788,49.3998,1705.516333,189.494,0,262.7,0,791.6743846,-26.18181197,-401.7777781,15108.06154,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,12.83497191,0.319430863,0.03407071,1,-17.96216452,-0.57705,0.054990923,1,6.490099032,0.491419839,0.041073771,1,3,3,3/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7183.2,7183,2,476.579,510.778,35.2408,34.6893,30.0004,34.3107,34.3576,20.7029,31.3458,53.7916,-999.9,400,23.8009,100.886,100.272
21,1595277379,2677.1,20200720 13:36:18,13:36:18,B1R4,_NE,_5.14,_3,1595277371,0.008982078,17.55573557,374.8316333,274.8385646,27.74106296,37.83394792,0.345820941,2.944623377,0.324738402,0.204748491,313.9030194,35.84029143,35.70603333,5.872998126,52.79041054,3.206740567,6.074475523,2.66625756,-396.1096587,97.40721192,7.801938331,23.00251094,76,15,1,0,51723.32926,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-994-20200720-13_36_19,911.82808,745.67,-0.222830582,0.5,1601.675908,17.55573557,-178.4511873,0.995292824,0.011214692,3.863867394,DARK-995-20200720-13_36_21,3.51,742.16,-0.223884445,0.795171845,-6.167356784,0.990735727,1899.989333,1601.675908,0.842992053,0.195984105,6,0.5,0: Broadleaf,2,1595277371,374.8316333,399.9382667,31.77008667,21.33418,371.2736,31.54808667,500.0073667,100.7358667,0.199979067,36.31962,35.70603333,999.9,0,0,10012.50167,0,1870.421333,1899.989333,0.900002467,0.099998017,0,912.7547667,4.99938,17668.20667,15165.79667,47.5,48.937,47.687,48.583,49.4246,1705.498,189.496,0,88.9000001,0,911.82808,-137.6179231,-2410.915385,17652.1,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,17.51783627,2.823380225,0.20762785,0,-25.07677742,-2.976135484,0.225990139,0,10.44214516,-0.759459677,0.060063514,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7184.7,7184.5,2,396.846,507.482,35.2719,34.7248,30.0004,34.3623,34.3989,20.6504,41.817,53.8933,-999.9,400,20.6374,100.877,100.273
22,1595277481,2779.6,20200720 13:38:01,13:38:01,B1R4,_NE,_5.10,_1,1595277473,0.009245896,17.14505416,375.1520667,272.8231116,27.53703917,37.86547662,0.331748803,2.940159071,0.312267672,0.196822198,313.9007452,35.87949111,36.06390333,5.989790437,51.3276524,3.136364893,6.11047797,2.853425544,-407.7440292,57.61727587,4.632378628,-31.59362952,8,2,1,0,51579.50491,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-996-20200720-13_38_02,961.2056154,1200.38,0.199248892,0.5,1601.660099,17.14505416,159.5644998,0.997750712,0.010958393,2.021409887,DARK-997-20200720-13_38_04,2.7,1197.68,0.19969807,0.669527115,0.496571412,0.834376525,1899.97,1601.660099,0.84299231,0.19598462,6,0.5,0: Broadleaf,2,1595277473,375.1520667,399.8883667,31.07352333,20.32325667,371.5940667,30.85152333,500.0021333,100.7336667,0.200007933,36.42739667,36.06390333,999.9,0,0,9987.33,0,335.0165,1899.97,0.8999935,0.10000647,0,961.9402333,4.99938,19338.07333,15165.61333,47.625,48.937,47.812,48.7164,49.5704,1705.461,189.51,0,101.5,0,961.2056154,-238.9245814,-4013.582909,19324.24231,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,17.1180011,2.114954536,0.160455413,0,-24.7256871,-2.362393548,0.1785673,0,10.75241935,-0.21483871,0.025985398,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7186.4,7186.2,2,480.944,506.813,35.363,34.7687,30.0003,34.4056,34.454,20.6527,42.8003,52.4745,-999.9,400,19.9747,100.873,100.281
23,1595277595,2893.6,20200720 13:39:55,13:39:55,B1R4,_NE,_5.10,_2,1595277587,0.006923371,13.18916553,381.5886667,279.2357926,28.18394549,38.5146692,0.251754533,2.941399835,0.240366962,0.15120955,313.8958161,36.73095073,36.51595667,6.140199704,54.39037749,3.369971145,6.195895856,2.770228559,-305.3206727,26.15829174,2.109418858,36.84285395,0,0,1,0,51572.16662,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-998-20200720-13_39_56,1475.0556,1669.79,0.11662209,0.5,1601.638348,13.18916553,93.39320594,0.472598351,0.008488641,1.172033609,DARK-999-20200720-13_39_58,880.65,789.14,0.246767874,0.712641878,0.204754784,0.672962496,1899.944667,1601.638348,0.842992102,0.195984204,6,0.5,0: Broadleaf,2,1595277587,381.5886667,400.5863,33.38839,25.35757667,378.0306333,33.16639,499.9900333,100.7324667,0.1999576,36.68091333,36.51595667,999.9,0,0,9994.501333,0,1871.548,1899.944667,0.900000367,0.09999986,0,1479.898333,4.99938,28794.75,15165.44667,47.7458,49.13946667,47.875,48.8267,49.6933,1705.451667,189.4943333,0,112.8999999,0,1475.0556,-948.3315399,-17999.56926,28704.408,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,13.20379714,-1.12955736,0.113149493,0,-18.99533871,-0.664587097,0.073564033,1,8.00249871,4.709820968,0.378435836,0,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7188.3,7188.1,2,513.435,510.793,35.5033,34.7988,30.0004,34.4356,34.4838,20.6679,36.054,59.1303,-999.9,400,23.7531,100.861,100.255
24,1595277672,2970.1,20200720 13:41:11,13:41:11,B1R4,_NE,_5.10,_3,1595277664,0.006828915,15.31552592,378.6002,256.9771478,25.93787869,38.21384952,0.238882479,2.94432215,0.228613796,0.143769438,313.9056466,36.7566528,36.15936,6.021281857,50.72554234,3.14314365,6.196372685,2.878138207,-301.1551622,83.0116873,6.675965992,102.4381377,0,0,1,0,51654.24206,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-1000-20200720-13_41_12,1088.7604,1312.39,0.170398738,0.5,1601.689639,15.31552592,136.4629467,0.996487325,0.009815942,1.763538277,DARK-1001-20200720-13_41_14,4.61,1307.78,0.170999404,0.638957217,0.376695449,0.795860121,1900.005667,1601.689639,0.842992033,0.195984065,6,0.5,0: Broadleaf,2,1595277664,378.6002,400.0810333,31.14040667,23.20101,375.0422,30.91840667,500.0072667,100.7346333,0.199939667,36.68232,36.15936,999.9,0,0,10010.90967,0,1828.601,1900.005667,0.900003333,0.099997,0,1092.151667,4.99938,21036.57333,15165.95,47.75206667,49.375,47.937,48.92873333,49.75,1705.510667,189.496,0,75.70000005,0,1088.7604,-339.9123072,-6241.884606,20973.44,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,15.32071934,-0.436119056,0.036189932,1,-21.47755161,-0.034533871,0.025830888,1,7.919243226,1.401177097,0.111468313,0,2,3,2/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7189.6,7189.4,2,510.746,508.861,35.5915,34.8572,30.0003,34.4914,34.5454,20.7101,35.5212,55.2151,-999.9,400,22.9155,100.85,100.25
25,1595277854,3152,20200720 13:44:13,13:44:13,B1R4,_SW,_5.7,_1,1595277846,0.006380006,13.82245493,380.4186452,258.9795375,26.14226827,38.4007415,0.216277354,2.941983648,0.207816727,0.130618031,313.9052854,36.74832828,36.3344871,6.079430848,50.72210955,3.121691419,6.154498396,2.957739429,-281.3582667,35.51903231,2.859490669,70.92554171,11,2,1,0,51609.23743,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-1002-20200720-13_44_14,945.91612,1123.28,0.157898191,0.5,1601.683462,13.82245493,126.4514606,0.995005698,0.008883791,2.228794245,DARK-1003-20200720-13_44_16,5.61,1117.67,0.158690741,0.691356252,0.438420975,0.860888576,1899.997742,1601.683462,0.842992298,0.195984595,6,0.5,0: Broadleaf,2,1595277846,380.4186452,399.9173871,30.92517419,23.50619355,376.8606129,30.70317419,500.0177419,100.7433871,0.19998671,36.55842903,36.3344871,999.9,0,0,9996.737097,0,651.5050645,1899.997742,0.899994129,0.100005845,0,949.4786774,4.99938,18621.40323,15165.84194,47.81606452,49.37093548,48.062,48.812,49.752,1705.486129,189.5119355,0,181.2,0,945.91612,-221.4870766,-4043.676917,18554.832,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,13.82017428,0.379242317,0.035732117,1,-19.49889355,-0.279490391,0.034750743,1,7.418990323,-0.397640223,0.030433981,1,3,3,3/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7192.6,7192.4,2,477.7,508.235,35.5017,34.9185,30.0005,34.5605,34.6108,20.7177,37.9289,58.7456,-999.9,400,23.3338,100.842,100.244
26,1595277954,3252.5,20200720 13:45:54,13:45:54,B1R4,_SW,_5.7,_2,1595277946,0.00577343,14.1842675,380.2902667,244.7832618,24.70877975,38.38705461,0.194709987,2.944670503,0.187829775,0.117991515,313.9085671,37.09032552,36.41694333,6.106977972,50.60679517,3.146497719,6.217539975,2.960480253,-254.6082789,52.02761647,4.190160285,115.5180649,0,0,1,0,51653.79655,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-1004-20200720-13_45_55,949.4647692,1164.34,0.184546808,0.5,1601.705288,14.1842675,147.7947994,0.997182953,0.009109562,2.114932065,DARK-1005-20200720-13_45_57,3.28,1161.06,0.185068154,0.679580302,0.482203023,0.846769447,1900.024333,1601.705288,0.842991987,0.195983974,6,0.5,0: Broadleaf,2,1595277946,380.2902667,399.9471667,31.17151,24.45898333,376.7322667,30.94951,499.9724333,100.7414667,0.199993,36.74467,36.41694333,999.9,0,0,10012.21333,0,1870.005,1900.024333,0.9000044,0.099995627,0,949.7655333,4.99938,18720.25333,15166.08333,47.875,49.375,48.0662,48.91633333,49.812,1705.530667,189.495,0,99.5,0,949.4647692,-210.6692651,-3878.731626,18716.04231,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,14.16765784,1.599961445,0.124574086,0,-19.64384516,-1.404391935,0.119724447,0,6.724592258,-0.880698871,0.068151867,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7194.3,7194.1,2,514.158,509.211,35.5598,34.9659,30.0004,34.605,34.6601,20.7241,34.5064,58.8324,-999.9,400,24.3186,100.833,100.233
27,1595278055,3353,20200720 13:47:34,13:47:34,B1R4,_SW,_5.7,_3,1595278047,0.006889404,14.68901687,379.1235333,261.4064238,26.38679915,38.26935996,0.238463395,2.943966357,0.228228701,0.143525879,313.9021387,37.02696887,36.39900667,6.100976451,50.75041493,3.194204716,6.29394798,2.906771736,-303.8227025,90.34170112,7.284867529,107.7060048,0,0,1,0,51596.73902,RECT-527-20200527-06_29_39,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-1006-20200720-13_47_35,1032.32292,1231.82,0.16195311,0.5,1601.667888,14.68901687,129.6975478,0.99928561,0.009424915,1.944293809,DARK-1007-20200720-13_47_37,0.88,1230.94,0.16206889,0.660520248,0.388813818,0.823565385,1899.979333,1601.667888,0.842992268,0.195984537,6,0.5,0: Broadleaf,2,1595278047,379.1235333,399.8844667,31.64406667,23.63847333,375.5655,31.42206667,500.0050333,100.7417,0.199963067,36.96821333,36.39900667,999.9,0,0,10008.18267,0,1900.644667,1899.979333,0.899995133,0.1000049,0,1036.1383,4.99938,20551.76,15165.69,48.062,49.6975,48.25,49.2311,50.0124,1705.472333,189.5083333,0,99.70000005,0,1032.32292,-381.8490763,-7241.738451,20479.48,15,0,--:--:--,1594846299,1594846307,0,-0.082,-0.057,3.558,0.222,400,26,0.27,0.23,14.67284811,1.529478025,0.118422659,0,-20.75542581,-1.389033871,0.111156339,0,8.010402581,-0.95250871,0.07267208,1,1,3,1/3,100,100,3.558,0.222,3.558,0,0,0,0.222,0,0,0,-1,-1,-1,-1,7195.9,7195.8,2,501.877,506.781,35.8043,35.0882,30.0005,34.7017,34.7546,20.7161,38.0043,59.0874,-999.9,400,23.4952,100.811,100.218
