date,block,Rep,short_name_antho,mAU,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
8/3/2020,B1R4,1,M3G,3024,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,D3AG,266.6,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,C3AG,68.1,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,Pet3Ag,308.1,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,P3AG,359.9,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,M3AG,2155.2,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,P3CG,113.5,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,1,M3CG,271,46,53,1.15,3.53,48.77,60
8/3/2020,B1R4,2,D3G,420.5,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,C3G,80.3,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,Pet3G,303.7,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,P3G,294.8,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,M3G,1475.8,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,D3AG,143.8,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,C3AG,32,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,Pet3Ag,159.3,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,P3AG,185.4,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,M3AG,1121.7,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,P3CG,62.1,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,2,M3CG,150.3,45,56,1.24,3.95,48.72,60
8/3/2020,B1R4,3,D3G,796.6,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,C3G,153,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,Pet3G,593.8,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,P3G,594.5,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,M3G,3265.4,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,D3AG,260,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,C3AG,57.4,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,Pet3Ag,309.8,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,P3AG,370.2,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,M3AG,2474.5,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,P3CG,129.7,46,54.5,1.18,4.31,48.79,60
8/3/2020,B1R4,3,M3CG,352.5,46,54.5,1.18,4.31,48.79,60
8/3/2020,B2R1,1,D3G,1320,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,C3G,217.9,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,Pet3G,939.7,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,P3G,916.3,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,M3G,4220.5,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,D3AG,426.7,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,C3AG,99.7,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,Pet3Ag,479.8,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,P3AG,557,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,M3AG,3156,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,P3CG,251.1,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,1,M3CG,530.8,46,53,1.15,5.25,50.01,60
8/3/2020,B2R1,2,D3G,1299.5,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,C3G,341.6,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,Pet3G,946.4,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,P3G,1065.2,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,M3G,4468.1,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,D3AG,437.9,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,C3AG,118.2,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,Pet3Ag,481.5,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,P3AG,615.2,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,M3AG,3218.3,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,P3CG,183.3,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,2,M3CG,421,46,52,1.13,3.85,49.96,60
8/3/2020,B2R1,3,D3G,1188.8,46,58,1.26,4.67,49.98,60
