"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2020-08-13 17:00:00,"1",0.274010239737489,0.201469464185185,0.0115795005026643,0.201469464185185,"a","0.2 ± 0.01 a"
"2",2020-08-13 17:00:00,"2",0.274010239737489,0.201412002925926,0.0133523859320857,0.201412002925926,"a","0.2 ± 0.01 a"
"3",2020-08-13 17:00:00,"3",0.274010239737489,0.173756744481481,0.0164275445033387,0.173756744481481,"a","0.17 ± 0.02 a"
"14",2020-08-13 13:30:00,"1",0.319521205555794,0.240559098074074,0.0106616988061722,0.240559098074074,"a","0.24 ± 0.01 a"
"24",2020-08-13 13:30:00,"2",0.319521205555794,0.217317706666667,0.0114200447009013,0.217317706666667,"a","0.22 ± 0.01 a"
"34",2020-08-13 13:30:00,"3",0.319521205555794,0.224226125592593,0.011180398102148,0.224226125592593,"a","0.22 ± 0.01 a"
"13",2020-08-13 11:30:00,"1",0.531415986333237,0.27821670362963,0.0119658410989463,0.27821670362963,"a","0.28 ± 0.01 a"
"23",2020-08-13 11:30:00,"2",0.531415986333237,0.265955715407407,0.0136754581100075,0.265955715407407,"a","0.27 ± 0.01 a"
"33",2020-08-13 11:30:00,"3",0.531415986333237,0.284926231407407,0.010264950870056,0.284926231407407,"a","0.28 ± 0.01 a"
"12",2020-08-13 09:00:00,"1",0.0887292144654419,0.276505221222222,0.0134895677604778,0.276505221222222,"a","0.28 ± 0.01 a"
"22",2020-08-13 09:00:00,"2",0.0887292144654419,0.270927459962963,0.0154649689814296,0.270927459962963,"a","0.27 ± 0.02 a"
"32",2020-08-13 09:00:00,"3",0.0887292144654419,0.31310718337037,0.0144608518605792,0.31310718337037,"a","0.31 ± 0.01 a"
"11",2020-08-13 05:30:00,"1",0.0820713967700833,0.0639156281111111,0.00918465253441825,0.0639156281111111,"a","0.06 ± 0.01 a"
"21",2020-08-13 05:30:00,"2",0.0820713967700833,0.0941469252222222,0.0127885629930065,0.0941469252222222,"a","0.09 ± 0.01 a"
"31",2020-08-13 05:30:00,"3",0.0820713967700833,0.0980840784444444,0.0113701471759175,0.0980840784444444,"a","0.1 ± 0.01 a"
