"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2019-08-20 17:00:00,"1",0.0035615240319609,13.3373319841667,0.788415776431845,13.3373319841667,"b","13.34 ± 0.79 b"
"2",2019-08-20 17:00:00,"2",0.0035615240319609,16.7221093623333,0.655564276147634,16.7221093623333,"a","16.72 ± 0.66 a"
"3",2019-08-20 17:00:00,"3",0.0035615240319609,16.1079091765185,0.605212495902646,16.1079091765185,"a","16.11 ± 0.61 a"
"14",2019-08-20 13:30:00,"1",1.20137189007147e-05,15.2029687866667,0.476567796928246,15.2029687866667,"b","15.2 ± 0.48 b"
"24",2019-08-20 13:30:00,"2",1.20137189007147e-05,18.5046222607407,0.477748848294443,18.5046222607407,"a","18.5 ± 0.48 a"
"34",2019-08-20 13:30:00,"3",1.20137189007147e-05,18.7800738066667,0.511580637332531,18.7800738066667,"a","18.78 ± 0.51 a"
"13",2019-08-20 11:15:00,"1",0.0156726491333841,15.2006332694444,0.503723493630072,15.2006332694444,"b","15.2 ± 0.5 b"
"23",2019-08-20 11:15:00,"2",0.0156726491333841,17.6799914844444,0.552039025083235,17.6799914844444,"a","17.68 ± 0.55 a"
"33",2019-08-20 11:15:00,"3",0.0156726491333841,16.4633371372222,0.576985550633769,16.4633371372222,"ab","16.46 ± 0.58 ab"
"12",2019-08-20 09:00:00,"1",0.141800978007314,12.3556483064444,0.46022061535885,12.3556483064444,"a","12.36 ± 0.46 a"
"22",2019-08-20 09:00:00,"2",0.141800978007314,12.5164096463704,0.681146960011734,12.5164096463704,"a","12.52 ± 0.68 a"
"32",2019-08-20 09:00:00,"3",0.141800978007314,13.8893422701852,0.550419306853325,13.8893422701852,"a","13.89 ± 0.55 a"
"11",2019-08-20 06:00:00,"1",0.389784686497707,-0.4217187755,0.0874901611238824,-0.4217187755,"a","-0.42 ± 0.09 a"
"21",2019-08-20 06:00:00,"2",0.389784686497707,-0.469248609555556,0.145602398467302,-0.469248609555556,"a","-0.47 ± 0.15 a"
"31",2019-08-20 06:00:00,"3",0.389784686497707,-0.646552403333333,0.094267489212624,-0.646552403333333,"a","-0.65 ± 0.09 a"
