"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2019-08-01 17:00:00,"1",0.0014530167987612,13.637316965,0.395612890344803,13.637316965,"b","13.64 ± 0.4 b"
"2",2019-08-01 17:00:00,"2",0.0014530167987612,16.5429358196296,0.552994970072127,16.5429358196296,"a","16.54 ± 0.55 a"
"3",2019-08-01 17:00:00,"3",0.0014530167987612,14.7346731263333,0.544967640266616,14.7346731263333,"ab","14.73 ± 0.54 ab"
"14",2019-08-01 13:30:00,"1",7.14863954887201e-10,13.5023401661667,0.455994841429262,13.5023401661667,"c","13.5 ± 0.46 c"
"24",2019-08-01 13:30:00,"2",7.14863954887201e-10,18.9156127688889,0.420082402140699,18.9156127688889,"a","18.92 ± 0.42 a"
"34",2019-08-01 13:30:00,"3",7.14863954887201e-10,16.5489284164444,0.519613323104281,16.5489284164444,"b","16.55 ± 0.52 b"
"13",2019-08-01 10:40:00,"1",0.00895116477742905,14.5405209238889,0.61124931561714,14.5405209238889,"b","14.54 ± 0.61 b"
"23",2019-08-01 10:40:00,"2",0.00895116477742905,16.5766228196667,0.56624812638262,16.5766228196667,"a","16.58 ± 0.57 a"
"33",2019-08-01 10:40:00,"3",0.00895116477742905,17.0153176025926,0.457857908253768,17.0153176025926,"a","17.02 ± 0.46 a"
"12",2019-08-01 08:30:00,"1",0.550195886751744,12.4085142477778,0.358119818309801,12.4085142477778,"a","12.41 ± 0.36 a"
"22",2019-08-01 08:30:00,"2",0.550195886751744,11.6191601052593,0.551088017691747,11.6191601052593,"a","11.62 ± 0.55 a"
"32",2019-08-01 08:30:00,"3",0.550195886751744,11.6542658777407,0.545437826572796,11.6542658777407,"a","11.65 ± 0.55 a"
"11",2019-08-01 06:00:00,"1",0.711060597457035,-0.457029110166667,0.33383598550712,-0.457029110166667,"a","-0.46 ± 0.33 a"
"21",2019-08-01 06:00:00,"2",0.711060597457035,-0.595008323666667,0.114435386780412,-0.595008323666667,"a","-0.6 ± 0.11 a"
"31",2019-08-01 06:00:00,"3",0.711060597457035,-0.858996609777778,0.458719512000092,-0.858996609777778,"a","-0.86 ± 0.46 a"
