"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2020-07-10 17:00:00,"1",0.322783869159009,0.0530409035555556,0.00412437219533352,0.0530409035555556,"a","0.05 ± 0 a"
"2",2020-07-10 17:00:00,"2",0.322783869159009,0.0661230894814815,0.00470919348881319,0.0661230894814815,"a","0.07 ± 0 a"
"3",2020-07-10 17:00:00,"3",0.322783869159009,0.0623888887407407,0.00891939770623919,0.0623888887407407,"a","0.06 ± 0.01 a"
"14",2020-07-10 14:00:00,"1",0.132332911016993,0.079012325037037,0.00722334566046727,0.079012325037037,"a","0.08 ± 0.01 a"
"24",2020-07-10 14:00:00,"2",0.132332911016993,0.0959615771481482,0.00936441766756648,0.0959615771481482,"a","0.1 ± 0.01 a"
"34",2020-07-10 14:00:00,"3",0.132332911016993,0.108364882925926,0.0131876025891667,0.108364882925926,"a","0.11 ± 0.01 a"
"13",2020-07-10 11:30:00,"1",0.155808667846679,0.0933497971481481,0.00733618075628408,0.0933497971481481,"a","0.09 ± 0.01 a"
"23",2020-07-10 11:30:00,"2",0.155808667846679,0.106668513038462,0.00804100952051468,0.106668513038462,"a","0.11 ± 0.01 a"
"33",2020-07-10 11:30:00,"3",0.155808667846679,0.128042784666667,0.0190356720806195,0.128042784666667,"a","0.13 ± 0.02 a"
"12",2020-07-10 09:00:00,"1",0.0732540045385666,0.099742442,0.008499312103804,0.099742442,"a","0.1 ± 0.01 a"
"22",2020-07-10 09:00:00,"2",0.0732540045385666,0.106217800111111,0.00913637362923278,0.106217800111111,"a","0.11 ± 0.01 a"
"32",2020-07-10 09:00:00,"3",0.0732540045385666,0.129825738407407,0.011068251084433,0.129825738407407,"a","0.13 ± 0.01 a"
"11",2020-07-10 06:00:00,"1",0.191335494112303,0.0271736162222222,0.00636731160657616,0.0271736162222222,"a","0.03 ± 0.01 a"
"21",2020-07-10 06:00:00,"2",0.191335494112303,0.0345931413333333,0.00733630370606203,0.0345931413333333,"a","0.03 ± 0.01 a"
"31",2020-07-10 06:00:00,"3",0.191335494112303,0.0444327392222222,0.0056974107261118,0.0444327392222222,"a","0.04 ± 0.01 a"
