"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2020-07-20 16:30:00,"1",0.0191602938717295,13.3991535874815,0.455372435433874,13.3991535874815,"ab","13.4 ± 0.46 ab"
"2",2020-07-20 16:30:00,"2",0.0191602938717295,12.1735853287407,0.263585639916604,12.1735853287407,"b","12.17 ± 0.26 b"
"3",2020-07-20 16:30:00,"3",0.0191602938717295,13.7385770777037,0.460032442498555,13.7385770777037,"a","13.74 ± 0.46 a"
"14",2020-07-20 13:30:00,"1",0.232144609917943,15.7625137537037,0.430150907352952,15.7625137537037,"a","15.76 ± 0.43 a"
"24",2020-07-20 13:30:00,"2",0.232144609917943,15.3549561507407,0.323589261464069,15.3549561507407,"a","15.35 ± 0.32 a"
"34",2020-07-20 13:30:00,"3",0.232144609917943,14.73518848112,0.499423428866689,14.73518848112,"a","14.74 ± 0.5 a"
"13",2020-07-20 11:00:00,"1",0.0502292349354619,14.8281415857778,0.479967667084354,14.8281415857778,"ab","14.83 ± 0.48 ab"
"23",2020-07-20 11:00:00,"2",0.0502292349354619,13.796117398,0.347813730369875,13.796117398,"b","13.8 ± 0.35 b"
"33",2020-07-20 11:00:00,"3",0.0502292349354619,15.1959650044444,0.396072232644888,15.1959650044444,"a","15.2 ± 0.4 a"
"12",2020-07-20 08:30:00,"1",0.0522246113736234,10.0540396297037,0.426760668877813,10.0540396297037,"b","10.05 ± 0.43 b"
"22",2020-07-20 08:30:00,"2",0.0522246113736234,10.6251208945556,0.494342962245963,10.6251208945556,"ab","10.63 ± 0.49 ab"
"32",2020-07-20 08:30:00,"3",0.0522246113736234,11.5924046381111,0.406262543646627,11.5924046381111,"a","11.59 ± 0.41 a"
"11",2020-07-20 05:30:00,"1",0.963304642811258,0.117075033888889,0.203407767159481,0.117075033888889,"a","0.12 ± 0.2 a"
"21",2020-07-20 05:30:00,"2",0.963304642811258,0.158710864666667,0.225972325095519,0.158710864666667,"a","0.16 ± 0.23 a"
"31",2020-07-20 05:30:00,"3",0.963304642811258,0.0725951076666667,0.236973872088019,0.0725951076666667,"a","0.07 ± 0.24 a"
