"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2019-07-01 19:10:00,"1",0.316169237203578,0.027691479,0.00659911540376738,0.027691479,"a","0.03 ± 0.01 a"
"2",2019-07-01 19:10:00,"2",0.316169237203578,0.0374179344444444,0.00914931284540895,0.0374179344444444,"a","0.04 ± 0.01 a"
"3",2019-07-01 19:10:00,"3",0.316169237203578,0.022082440625,0.00434456106558038,0.022082440625,"a","0.02 ± 0 a"
"14",2019-07-01 17:15:00,"1",0.0175115981176945,0.0846272504444444,0.0116845706947215,0.0846272504444444,"a","0.08 ± 0.01 a"
"24",2019-07-01 17:15:00,"2",0.0175115981176945,0.0712629635185185,0.0067530129063758,0.0712629635185185,"ab","0.07 ± 0.01 ab"
"34",2019-07-01 17:15:00,"3",0.0175115981176945,0.0520928450740741,0.00575495146179216,0.0520928450740741,"b","0.05 ± 0.01 b"
"13",2019-07-01 14:00:00,"1",0.000360996152440555,0.120121613888889,0.0188317587440288,0.120121613888889,"a","0.12 ± 0.02 a"
"23",2019-07-01 14:00:00,"2",0.000360996152440555,0.126675048,0.0130666089496145,0.126675048,"a","0.13 ± 0.01 a"
"33",2019-07-01 14:00:00,"3",0.000360996152440555,0.059347205037037,0.00817906945542981,0.059347205037037,"b","0.06 ± 0.01 b"
"12",2019-07-01 11:00:00,"1",0.00027572145480158,0.160637519277778,0.0203906478057766,0.160637519277778,"a","0.16 ± 0.02 a"
"22",2019-07-01 11:00:00,"2",0.00027572145480158,0.16091135237037,0.0142678166411869,0.16091135237037,"a","0.16 ± 0.01 a"
"32",2019-07-01 11:00:00,"3",0.00027572145480158,0.0901302874814815,0.00793148582128918,0.0901302874814815,"b","0.09 ± 0.01 b"
"11",2019-07-01 07:15:00,"1",0.20936607561538,0.119379099083333,0.037056012019405,0.119379099083333,"a","0.12 ± 0.04 a"
"21",2019-07-01 07:15:00,"2",0.20936607561538,0.0902423475625,0.00782552334726785,0.0902423475625,"a","0.09 ± 0.01 a"
"31",2019-07-01 07:15:00,"3",0.20936607561538,0.0701702974444444,0.01072229076718,0.0701702974444444,"a","0.07 ± 0.01 a"
