"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2019-08-15 17:00:00,"1",8.64511266829614e-08,0.0800206121666667,0.00770906932734632,0.0800206121666667,"b","0.08 ± 0.01 b"
"2",2019-08-15 17:00:00,"2",8.64511266829614e-08,0.222848231333333,0.0191720226851737,0.222848231333333,"a","0.22 ± 0.02 a"
"3",2019-08-15 17:00:00,"3",8.64511266829614e-08,0.223025355037037,0.0160850255722558,0.223025355037037,"a","0.22 ± 0.02 a"
"14",2019-08-15 13:30:00,"1",1.06337212063484e-12,0.0847022613888889,0.00654226668776275,0.0847022613888889,"c","0.08 ± 0.01 c"
"24",2019-08-15 13:30:00,"2",1.06337212063484e-12,0.212980805185185,0.0163735247752312,0.212980805185185,"b","0.21 ± 0.02 b"
"34",2019-08-15 13:30:00,"3",1.06337212063484e-12,0.281338013407407,0.0141948631871402,0.281338013407407,"a","0.28 ± 0.01 a"
"13",2019-08-15 11:15:00,"1",7.44806181136617e-13,0.115089531388889,0.013435725833821,0.115089531388889,"b","0.12 ± 0.01 b"
"23",2019-08-15 11:15:00,"2",7.44806181136617e-13,0.336646196592593,0.0213846144485304,0.336646196592593,"a","0.34 ± 0.02 a"
"33",2019-08-15 11:15:00,"3",7.44806181136617e-13,0.33558418062963,0.0147520679059056,0.33558418062963,"a","0.34 ± 0.01 a"
"12",2019-08-15 09:00:00,"1",0.000695430085061783,0.226025151333333,0.0121881372146732,0.226025151333333,"b","0.23 ± 0.01 b"
"22",2019-08-15 09:00:00,"2",0.000695430085061783,0.235048781037037,0.0132809462046747,0.235048781037037,"b","0.24 ± 0.01 b"
"32",2019-08-15 09:00:00,"3",0.000695430085061783,0.302633393555556,0.0168387660878521,0.302633393555556,"a","0.3 ± 0.02 a"
"11",2019-08-15 06:00:00,"1",0.00804529436488472,0.0188837235,0.0042705473535067,0.0188837235,"b","0.02 ± 0 b"
"21",2019-08-15 06:00:00,"2",0.00804529436488472,0.0265495292222222,0.00566182306527953,0.0265495292222222,"ab","0.03 ± 0.01 ab"
"31",2019-08-15 06:00:00,"3",0.00804529436488472,0.0434040521111111,0.00430887447003067,0.0434040521111111,"a","0.04 ± 0 a"
