"","interval","treatment","p_value","mean","standard_error","letters_ordered.A","letters_ordered.groups","Mean_sem"
"1",2020-08-19 17:00:00,"1",2.66246076250412e-07,10.1299362864074,0.39338006396876,10.1299362864074,"b","10.13 ± 0.39 b"
"2",2020-08-19 17:00:00,"2",2.66246076250412e-07,10.9194780028889,0.296602647927155,10.9194780028889,"b","10.92 ± 0.3 b"
"3",2020-08-19 17:00:00,"3",2.66246076250412e-07,13.1558232542963,0.39599777483555,13.1558232542963,"a","13.16 ± 0.4 a"
"14",2020-08-19 13:30:00,"1",0.00103401089164328,12.0634207208889,0.349260953331284,12.0634207208889,"b","12.06 ± 0.35 b"
"24",2020-08-19 13:30:00,"2",0.00103401089164328,13.7368254112963,0.452378988200425,13.7368254112963,"a","13.74 ± 0.45 a"
"34",2020-08-19 13:30:00,"3",0.00103401089164328,13.9847536792593,0.330521976465335,13.9847536792593,"a","13.98 ± 0.33 a"
"13",2020-08-19 11:30:00,"1",0.0065587068420408,13.9710931062963,0.511202891824321,13.9710931062963,"b","13.97 ± 0.51 b"
"23",2020-08-19 11:30:00,"2",0.0065587068420408,15.6711222303704,0.326825302976175,15.6711222303704,"a","15.67 ± 0.33 a"
"33",2020-08-19 11:30:00,"3",0.0065587068420408,15.5177794681481,0.355407976973097,15.5177794681481,"a","15.52 ± 0.36 a"
"12",2020-08-19 09:00:00,"1",0.00150955447976215,10.5978463992963,0.322658799947111,10.5978463992963,"b","10.6 ± 0.32 b"
"22",2020-08-19 09:00:00,"2",0.00150955447976215,11.0574295698889,0.355156450979096,11.0574295698889,"b","11.06 ± 0.36 b"
"32",2020-08-19 09:00:00,"3",0.00150955447976215,12.3182138930741,0.32634964621156,12.3182138930741,"a","12.32 ± 0.33 a"
"11",2020-08-19 06:00:00,"1",0.596695790544002,-0.939742559555556,0.138349230755845,-0.939742559555556,"a","-0.94 ± 0.14 a"
"21",2020-08-19 06:00:00,"2",0.596695790544002,-0.907541551,0.127275899236472,-0.907541551,"a","-0.91 ± 0.13 a"
"31",2020-08-19 06:00:00,"3",0.596695790544002,-1.08410601977778,0.122213106751544,-1.08410601977778,"a","-1.08 ± 0.12 a"
