"","date","treatment","p_value","mean","standard_error","letters_ordered.pH","letters_ordered.groups","significance","Mean_sem"
"1",2020-09-12,"1",2.19703989635004e-05,3.65888888888889,0.0134829567772351,3.65888888888889,"a","***","3.66 ± 0.01 a"
"2",2020-09-12,"2",2.19703989635004e-05,3.53777777777778,0.0194206203254984,3.53777777777778,"b","***","3.54 ± 0.02 b"
"3",2020-09-12,"3",2.19703989635004e-05,3.53555555555556,0.0174093773511027,3.53555555555556,"b","***","3.54 ± 0.02 b"
"111",2020-09-08,"1",0.975866714037924,3.5,0.0171593835683117,3.5,"a","ns","3.5 ± 0.02 a"
"211",2020-09-08,"2",0.975866714037924,3.49666666666667,0.0283823106098773,3.49666666666667,"a","ns","3.5 ± 0.03 a"
"311",2020-09-08,"3",0.975866714037924,3.50666666666667,0.0456131072780134,3.50666666666667,"a","ns","3.51 ± 0.05 a"
"110",2020-09-04,"1",0.000106627533499285,3.47666666666667,0.0137436854187255,3.47666666666667,"a","***","3.48 ± 0.01 a"
"210",2020-09-04,"2",0.000106627533499285,3.40333333333333,0.0168325082306035,3.40333333333333,"b","***","3.4 ± 0.02 b"
"310",2020-09-04,"3",0.000106627533499285,3.36777777777778,0.014218315435633,3.36777777777778,"b","***","3.37 ± 0.01 b"
"19",2020-08-27,"1",0.614621599680957,3.36111111111111,0.0167036626426366,3.36111111111111,"a","ns","3.36 ± 0.02 a"
"29",2020-08-27,"2",0.614621599680957,3.33888888888889,0.0231807178278057,3.33888888888889,"a","ns","3.34 ± 0.02 a"
"39",2020-08-27,"3",0.614621599680957,3.36222222222222,0.015163715626618,3.36222222222222,"a","ns","3.36 ± 0.02 a"
"18",2020-08-22,"1",0.866442654629189,3.28111111111111,0.0173561103909037,3.28111111111111,"a","ns","3.28 ± 0.02 a"
"28",2020-08-22,"2",0.866442654629189,3.29444444444444,0.0261996136056702,3.29444444444444,"a","ns","3.29 ± 0.03 a"
"38",2020-08-22,"3",0.866442654629189,3.29888888888889,0.0281585019943871,3.29888888888889,"a","ns","3.3 ± 0.03 a"
"17",2020-08-16,"1",0.000286874436977679,3.31777777777778,0.0117588947158426,3.31777777777778,"a","***","3.32 ± 0.01 a"
"27",2020-08-16,"2",0.000286874436977679,3.24666666666667,0.0134370962471642,3.24666666666667,"b","***","3.25 ± 0.01 b"
"37",2020-08-16,"3",0.000286874436977679,3.24444444444444,0.0113175271041463,3.24444444444444,"b","***","3.24 ± 0.01 b"
"16",2020-08-13,"1",1.25076923986126e-05,3.19333333333333,0.0129099444873581,3.19333333333333,"a","***","3.19 ± 0.01 a"
"26",2020-08-13,"2",1.25076923986126e-05,3.14222222222222,0.0122222222222222,3.14222222222222,"b","***","3.14 ± 0.01 b"
"36",2020-08-13,"3",1.25076923986126e-05,3.08777777777778,0.0113990469603795,3.08777777777778,"c","***","3.09 ± 0.01 c"
"15",2020-08-03,"1",0.137298388900499,2.88555555555556,0.00973411970440846,2.88555555555556,"a","ns","2.89 ± 0.01 a"
"25",2020-08-03,"2",0.137298388900499,2.85333333333333,0.010137937550497,2.85333333333333,"a","ns","2.85 ± 0.01 a"
"35",2020-08-03,"3",0.137298388900499,2.86666666666667,0.0129099444873581,2.86666666666667,"a","ns","2.87 ± 0.01 a"
"14",2020-07-21,"1",0.1927062668549,2.52555555555556,0.00801233616769772,2.52555555555556,"a","ns","2.53 ± 0.01 a"
"24",2020-07-21,"2",0.1927062668549,2.54555555555556,0.00503076952118744,2.54555555555556,"a","ns","2.55 ± 0.01 a"
"34",2020-07-21,"3",0.1927062668549,2.54,0.0095742710775634,2.54,"a","ns","2.54 ± 0.01 a"
"13",2020-07-12,"1",0.0826801882077366,2.54666666666667,0.0074535599249993,2.54666666666667,"a","ns","2.55 ± 0.01 a"
"23",2020-07-12,"2",0.0826801882077366,2.53444444444444,0.00883665206699271,2.53444444444444,"a","ns","2.53 ± 0.01 a"
"33",2020-07-12,"3",0.0826801882077366,2.51888888888889,0.00873124091416759,2.51888888888889,"a","ns","2.52 ± 0.01 a"
"12",2020-07-08,"1",0.0132551921446849,2.49555555555556,0.00973411970440842,2.49555555555556,"a","*","2.5 ± 0.01 a"
"22",2020-07-08,"2",0.0132551921446849,2.47333333333333,0.00866025403784437,2.47333333333333,"ab","*","2.47 ± 0.01 ab"
"32",2020-07-08,"3",0.0132551921446849,2.44555555555556,0.0138555154592666,2.44555555555556,"b","*","2.45 ± 0.01 b"
"11",2020-06-24,"1",0.00025430919834375,2.54666666666667,0.0078173595997057,2.54666666666667,"a","***","2.55 ± 0.01 a"
"21",2020-06-24,"2",0.00025430919834375,2.47555555555556,0.0149174684245528,2.47555555555556,"b","***","2.48 ± 0.01 b"
"31",2020-06-24,"3",0.00025430919834375,2.51111111111111,0.00587944735792129,2.51111111111111,"ab","***","2.51 ± 0.01 ab"
