"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2020-08-19 17:00:00,"1",1.21538982636745e-11,0.157902538444444,0.00696359409020103,0.157902538444444,"c","0.16 ± 0.01 c"
"2",2020-08-19 17:00:00,"2",1.21538982636745e-11,0.197798095777778,0.00793934208159742,0.197798095777778,"b","0.2 ± 0.01 b"
"3",2020-08-19 17:00:00,"3",1.21538982636745e-11,0.265553976703704,0.0118426793661483,0.265553976703704,"a","0.27 ± 0.01 a"
"14",2020-08-19 13:30:00,"1",9.65833087202424e-08,0.217237425296296,0.0105526086016479,0.217237425296296,"b","0.22 ± 0.01 b"
"24",2020-08-19 13:30:00,"2",9.65833087202424e-08,0.329603335111111,0.017949291278725,0.329603335111111,"a","0.33 ± 0.02 a"
"34",2020-08-19 13:30:00,"3",9.65833087202424e-08,0.331820874962963,0.0144946536100743,0.331820874962963,"a","0.33 ± 0.01 a"
"13",2020-08-19 11:30:00,"1",9.53777843698754e-06,0.257820253740741,0.0154193240610808,0.257820253740741,"b","0.26 ± 0.02 b"
"23",2020-08-19 11:30:00,"2",9.53777843698754e-06,0.354052876481481,0.0185042848230309,0.354052876481481,"a","0.35 ± 0.02 a"
"33",2020-08-19 11:30:00,"3",9.53777843698754e-06,0.35922977962963,0.0121269536095884,0.35922977962963,"a","0.36 ± 0.01 a"
"12",2020-08-19 09:00:00,"1",0.000157887656023374,0.180969874925926,0.0103061041318492,0.180969874925926,"b","0.18 ± 0.01 b"
"22",2020-08-19 09:00:00,"2",0.000157887656023374,0.215975719185185,0.0125774433587247,0.215975719185185,"b","0.22 ± 0.01 b"
"32",2020-08-19 09:00:00,"3",0.000157887656023374,0.259816665333333,0.0145837941257549,0.259816665333333,"a","0.26 ± 0.01 a"
"11",2020-08-19 06:00:00,"1",0.399013723183414,0.0383823607777778,0.00703168842433123,0.0383823607777778,"a","0.04 ± 0.01 a"
"21",2020-08-19 06:00:00,"2",0.399013723183414,0.0351396704444444,0.00391847918511737,0.0351396704444444,"a","0.04 ± 0 a"
"31",2020-08-19 06:00:00,"3",0.399013723183414,0.0451929364444444,0.00423314448849603,0.0451929364444444,"a","0.05 ± 0 a"
