"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2019-08-20 17:00:00,"1",1.64716167790498e-06,0.186771597055556,0.0182478838813758,0.186771597055556,"b","0.19 ± 0.02 b"
"2",2019-08-20 17:00:00,"2",1.64716167790498e-06,0.298132963259259,0.016845281793057,0.298132963259259,"a","0.3 ± 0.02 a"
"3",2019-08-20 17:00:00,"3",1.64716167790498e-06,0.318397658333333,0.0138003784962719,0.318397658333333,"a","0.32 ± 0.01 a"
"14",2019-08-20 13:30:00,"1",3.44814929910917e-10,0.230771517555556,0.0108185780501369,0.230771517555556,"b","0.23 ± 0.01 b"
"24",2019-08-20 13:30:00,"2",3.44814929910917e-10,0.36116547837037,0.0134925242163263,0.36116547837037,"a","0.36 ± 0.01 a"
"34",2019-08-20 13:30:00,"3",3.44814929910917e-10,0.383987526074074,0.0147478190149392,0.383987526074074,"a","0.38 ± 0.01 a"
"13",2019-08-20 11:15:00,"1",3.81247475425954e-05,0.237393572944444,0.0153875536507402,0.237393572944444,"b","0.24 ± 0.02 b"
"23",2019-08-20 11:15:00,"2",3.81247475425954e-05,0.349901094666667,0.0153968287663646,0.349901094666667,"a","0.35 ± 0.02 a"
"33",2019-08-20 11:15:00,"3",3.81247475425954e-05,0.342837711407407,0.0181197128414209,0.342837711407407,"a","0.34 ± 0.02 a"
"12",2019-08-20 09:00:00,"1",0.000199858125417522,0.179495458444444,0.0125657975043979,0.179495458444444,"b","0.18 ± 0.01 b"
"22",2019-08-20 09:00:00,"2",0.000199858125417522,0.321239945541667,0.0270293797331111,0.321239945541667,"a","0.32 ± 0.03 a"
"32",2019-08-20 09:00:00,"3",0.000199858125417522,0.272843138851852,0.0191948734575257,0.272843138851852,"a","0.27 ± 0.02 a"
"11",2019-08-20 06:00:00,"1",0.348968939046854,0.175493246,0.0614000539771763,0.175493246,"a","0.18 ± 0.06 a"
"21",2019-08-20 06:00:00,"2",0.348968939046854,0.330302187,0.154340659929512,0.330302187,"a","0.33 ± 0.15 a"
"31",2019-08-20 06:00:00,"3",0.348968939046854,0.3965731598,0.106378123817676,0.3965731598,"a","0.4 ± 0.11 a"
