"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2019-07-28 17:00:00,"1",2.51971822569837e-06,0.102730963333333,0.00830919696630739,0.102730963333333,"b","0.1 ± 0.01 b"
"2",2019-07-28 17:00:00,"2",2.51971822569837e-06,0.200146451407407,0.0166111113274366,0.200146451407407,"a","0.2 ± 0.02 a"
"3",2019-07-28 17:00:00,"3",2.51971822569837e-06,0.208236107740741,0.0115636281015212,0.208236107740741,"a","0.21 ± 0.01 a"
"14",2019-07-28 14:00:00,"1",2.83550881026831e-09,0.117719140333333,0.00811667832781207,0.117719140333333,"b","0.12 ± 0.01 b"
"24",2019-07-28 14:00:00,"2",2.83550881026831e-09,0.258019635740741,0.0150695855377382,0.258019635740741,"a","0.26 ± 0.02 a"
"34",2019-07-28 14:00:00,"3",2.83550881026831e-09,0.252421799259259,0.0147556045094657,0.252421799259259,"a","0.25 ± 0.01 a"
"13",2019-07-28 11:30:00,"1",1.74951647836616e-11,0.129775491222222,0.00723754933719988,0.129775491222222,"b","0.13 ± 0.01 b"
"23",2019-07-28 11:30:00,"2",1.74951647836616e-11,0.303167615888889,0.0161486606805071,0.303167615888889,"a","0.3 ± 0.02 a"
"33",2019-07-28 11:30:00,"3",1.74951647836616e-11,0.339302640925926,0.0202861886256137,0.339302640925926,"a","0.34 ± 0.02 a"
"12",2019-07-28 09:00:00,"1",9.05026477194294e-07,0.141486830555556,0.0127451124346305,0.141486830555556,"b","0.14 ± 0.01 b"
"22",2019-07-28 09:00:00,"2",9.05026477194294e-07,0.265688802962963,0.0130322776788796,0.265688802962963,"a","0.27 ± 0.01 a"
"32",2019-07-28 09:00:00,"3",9.05026477194294e-07,0.272416751185185,0.0197737335530609,0.272416751185185,"a","0.27 ± 0.02 a"
"11",2019-07-28 06:00:00,"1",0.488127553913905,0.0270531908333333,0.0098547988645278,0.0270531908333333,"a","0.03 ± 0.01 a"
"21",2019-07-28 06:00:00,"2",0.488127553913905,0.0185020846666667,0.00384012971346471,0.0185020846666667,"a","0.02 ± 0 a"
"31",2019-07-28 06:00:00,"3",0.488127553913905,0.0282682007777778,0.00640401474293777,0.0282682007777778,"a","0.03 ± 0.01 a"
