"","date","treatment","p_value","mean","standard_error","letters_ordered.TA","letters_ordered.groups","significance","Mean_sem"
"1",2019-09-12,"1",1.71291390320162e-05,3.90833333333333,0.0853001237461653,3.90833333333333,"b","***","3.91 ± 0.09 b"
"2",2019-09-19,"2",1.71291390320162e-05,4.95444444444444,0.161030631239932,4.95444444444444,"a","***","4.95 ± 0.16 a"
"3",2019-09-19,"3",1.71291390320162e-05,4.27,0.060896086354817,4.27,"b","***","4.27 ± 0.06 b"
"15",2019-09-03,"1",0.00757795842782362,4.75666666666667,0.0706005980459405,4.75666666666667,"b","**","4.76 ± 0.07 b"
"25",2019-09-03,"2",0.00757795842782362,5.11,0.100829889748361,5.11,"a","**","5.11 ± 0.1 a"
"35",2019-09-03,"3",0.00757795842782362,4.81444444444444,0.0379367569892868,4.81444444444444,"b","**","4.81 ± 0.04 b"
"14",2019-08-20,"1",0.238075128728101,6.55333333333333,0.112358553054249,6.55333333333333,"a","ns","6.55 ± 0.11 a"
"24",2019-08-20,"2",0.238075128728101,6.95333333333333,0.145296631451356,6.95333333333333,"a","ns","6.95 ± 0.15 a"
"34",2019-08-20,"3",0.238075128728101,6.72444444444444,0.17544476110027,6.72444444444444,"a","ns","6.72 ± 0.18 a"
"13",2019-08-15,"1",1.05529516786389e-06,7.36666666666667,0.0760116950066091,7.36666666666667,"b","***","7.37 ± 0.08 b"
"23",2019-08-15,"2",1.05529516786389e-06,8.91111111111111,0.149484711634152,8.91111111111111,"a","***","8.91 ± 0.15 a"
"33",2019-08-15,"3",1.05529516786389e-06,8.77777777777778,0.161398211625933,8.77777777777778,"a","***","8.78 ± 0.16 a"
"12",2019-08-08,"1",0.137968674155032,11.05,0.366742416417845,11.05,"a","ns","11.05 ± 0.37 a"
"22",2019-08-08,"2",0.137968674155032,12.4555555555556,0.569139484736756,12.4555555555556,"a","ns","12.46 ± 0.57 a"
"32",2019-08-08,"3",0.137968674155032,11.9111111111111,0.309768930210014,11.9111111111111,"a","ns","11.91 ± 0.31 a"
"11",2019-08-02,"1",0.434596498035522,18.2166666666667,0.385068536468221,18.2166666666667,"a","ns","18.22 ± 0.39 a"
"21",2019-08-02,"2",0.434596498035522,19,0.216666666666667,19,"a","ns","19 ± 0.22 a"
"31",2019-08-02,"3",0.434596498035522,18.1888888888889,0.705030425750952,18.1888888888889,"a","ns","18.19 ± 0.71 a"
