"","interval","treatment","p_value","mean","standard_error","letters_ordered.gsw","letters_ordered.groups","Mean_sem"
"1",2019-08-01 17:00:00,"1",0.00191144118667274,0.195259853222222,0.0096070278654366,0.195259853222222,"b","0.2 ± 0.01 b"
"2",2019-08-01 17:00:00,"2",0.00191144118667274,0.277980179851852,0.0174518173802103,0.277980179851852,"a","0.28 ± 0.02 a"
"3",2019-08-01 17:00:00,"3",0.00191144118667274,0.260596375814815,0.0146334301215766,0.260596375814815,"a","0.26 ± 0.01 a"
"14",2019-08-01 13:30:00,"1",9.36510053876684e-10,0.2010774525,0.00993370058422651,0.2010774525,"b","0.2 ± 0.01 b"
"24",2019-08-01 13:30:00,"2",9.36510053876684e-10,0.365359821666667,0.0159344095801751,0.365359821666667,"a","0.37 ± 0.02 a"
"34",2019-08-01 13:30:00,"3",9.36510053876684e-10,0.338785247037037,0.0158049070500199,0.338785247037037,"a","0.34 ± 0.02 a"
"13",2019-08-01 10:40:00,"1",0.000192430082687602,0.236895032611111,0.0153880328347373,0.236895032611111,"b","0.24 ± 0.02 b"
"23",2019-08-01 10:40:00,"2",0.000192430082687602,0.313916025518518,0.0181780625972015,0.313916025518518,"a","0.31 ± 0.02 a"
"33",2019-08-01 10:40:00,"3",0.000192430082687602,0.34248498737037,0.0138466739872729,0.34248498737037,"a","0.34 ± 0.01 a"
"12",2019-08-01 08:30:00,"1",0.756025491368925,0.213120912888889,0.0131011942682066,0.213120912888889,"a","0.21 ± 0.01 a"
"22",2019-08-01 08:30:00,"2",0.756025491368925,0.221079046111111,0.0159444810360145,0.221079046111111,"a","0.22 ± 0.02 a"
"32",2019-08-01 08:30:00,"3",0.756025491368925,0.231506226222222,0.01837751236845,0.231506226222222,"a","0.23 ± 0.02 a"
"11",2019-08-01 06:00:00,"1",0.738910206406447,0.0945700531666667,0.0592457454420052,0.0945700531666667,"a","0.09 ± 0.06 a"
"21",2019-08-01 06:00:00,"2",0.738910206406447,0.0820632771428571,0.0235324873219999,0.0820632771428571,"a","0.08 ± 0.02 a"
"31",2019-08-01 06:00:00,"3",0.738910206406447,0.06099585,0.00868663072038262,0.06099585,"a","0.06 ± 0.01 a"
