SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1623932156,1709.9,20210617 05:15:56,05:15:56,NCJ,B2R2,_NW,_5.4,_1,1623932148,0.001623824,-0.267044819,399.4374516,392.7648597,39.51941222,40.19079844,0.091532373,2.936975961,0.08997663,0.056372968,0.001994701,18.92123989,17.87833548,2.055483339,11.56211837,0.260501889,2.253063671,1.79498145,-71.61064627,232.1810776,15.66947322,176.2418993,64,13,1,0,54491.72658,RECT-103-20210617-05_15_57,15254.8,862.6323077,4444.13,3581.497692,0.805893998,-0.267044819,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.267044819,#DIV/0!,#DIV/0!,6.77833E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.240857982,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623932148,399.4374516,399.895129,2.589005806,0.646345548,400.2565806,2.614136774,500.2274839,100.4185161,0.199986903,19.34469677,17.87833548,999.9,0,0,10000.54065,0,0.23229571,0.0499975,0,0,0,863.4977419,0.0499975,-24.77677419,-2.838064516,29.96958065,34.062,32.35258065,34.09258065,32.41093548,0,0,0,103.8999999,0,862.6323077,-64.60786324,13.3852992,-24.47153846,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,-0.263437452,-0.98364039,0.118512704,0,-0.457648529,1.82787434,0.176857188,0,1.942658387,-1.491808548,0.114673438,0,0,3,0/3,100,100,-0.819,-0.0238,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,30.1,30,2,404.798,551.931,18.8133,18.6868,29.9998,18.6274,18.6021,22.3116,76.3188,0,-999.9,400,2.63276,101.708,101.812
11,1623932310,1863.4,20210617 05:18:29,05:18:29,NCJ,B2R2,_NW,_5.4,_2,1623932302,0.000618764,-0.234161313,399.994,399.3868153,40.18613279,40.24722746,0.034854147,2.939509378,0.034626174,0.021661717,0.001994701,19.23026014,17.90616774,2.0590871,12.47766516,0.2819493,2.259631883,1.7771378,-27.28748573,235.384198,15.87804982,223.9767568,53,11,1,0,54558.41999,RECT-104-20210617-05_18_31,15268,749.8369231,3724.4,2974.563077,0.798669068,-0.234161313,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.234161313,#DIV/0!,#DIV/0!,-2.24314E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.252083047,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623932302,399.994,400.01,2.802131613,2.062094194,400.8132258,2.82913129,500.2692903,100.4196452,0.199932774,19.39147742,17.90616774,999.9,0,0,10014.85839,0,2.331164226,0.0499975,0,0,0,749.9593548,0.0499975,-25.59322581,-2.773225806,29.85254839,34,32.258,34.01206452,32.31212903,0,0,0,152.3,0,749.8369231,-12.83897433,1.667692203,-25.17846154,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,-0.227954473,-0.419172852,0.040389153,1,-0.014919152,-0.107388345,0.022394848,1,0.728482355,1.369781371,0.106107771,0,2,3,2/3,100,100,-0.819,-0.0271,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,32.6,32.6,2,418.556,550.131,18.7791,18.649,30.0002,18.574,18.5495,22.2938,78.0972,0,-999.9,400,1.79334,101.71,101.814
12,1623932512,2065.4,20210617 05:21:51,05:21:51,NCJ,B3R2,_NW,_5.7,_1,1623932504,0.000746222,-0.111868142,399.7935667,392.7668115,39.52213708,40.2292039,0.042147339,2.936953016,0.041814182,0.026163577,0.001994701,19.03494224,18.12428,2.087521039,13.9999362,0.313174063,2.236967791,1.774346976,-32.90841215,175.0051481,11.8187832,153.9175139,89,18,1,0,54512.65806,RECT-105-20210617-05_21_53,15297.6,768.6192,4218.6,3449.9808,0.817802304,-0.111868142,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.111868142,#DIV/0!,#DIV/0!,-2.93346E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.222789414,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623932504,399.7935667,400.0172333,3.112290667,2.219983667,400.6128,3.141698667,500.2090333,100.4249667,0.199973933,19.22955,18.12428,999.9,0,0,9999.767667,0,0.857976133,0.0499975,0,0,0,768.4926667,0.0499975,-26.33466667,-3,29.53306667,33.67046667,31.9664,33.68286667,31.99166667,0,0,0,200.7,0,768.6192,2.245384559,5.727692348,-26.5012,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,-0.10729785,-0.102085707,0.031636498,1,-0.225743452,-0.18675029,0.033413978,1,0.881590839,0.691807935,0.058598874,1,3,3,3/3,100,100,-0.82,-0.0291,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,36,35.9,2,372.092,550.929,18.6221,18.5471,29.9996,18.4812,18.4487,22.2924,76.619,0,-999.9,400,1.99983,101.735,101.839
13,1623932632,2185.4,20210617 05:23:51,05:23:51,NCJ,B3R2,_NW,_5.7,_2,1623932624,0.001265169,-0.294943756,399.6871,394.9544367,39.74211703,40.2183392,0.071036788,2.938461179,0.070096362,0.043893683,0.001994701,18.83633607,17.53737667,2.011782466,9.681254247,0.215712629,2.22814755,1.796069837,-55.79393719,258.0264775,17.35848645,219.5930215,74,15,1,0,54569.38706,RECT-106-20210617-05_23_53,15291.3,765.124,3994.57,3229.446,0.808458983,-0.294943756,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.294943756,#DIV/0!,#DIV/0!,2.25504E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.236921131,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623932624,399.6871,399.9399,2.143737333,0.6292293,400.5061667,2.164474,500.1451667,100.4245333,0.200028233,19.16614333,17.53737667,999.9,0,0,10008.399,0,2.732178767,0.0499975,0,0,0,765.1406667,0.0499975,-26.068,-2.916,29.479,33.6374,31.88733333,33.6372,31.95806667,0,0,0,119.1000001,0,765.124,-3.645384772,-8.11615376,-26.0324,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,-0.297171286,-0.460223982,0.078953176,1,-0.257209926,0.895492694,0.108772641,1,1.530044839,-1.024594355,0.078053225,0,2,3,2/3,100,100,-0.819,-0.0196,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,38,37.9,2,391.884,551.652,18.5839,18.4783,30.0001,18.4137,18.3876,22.2867,78.9397,0,-999.9,400,2.21182,101.735,101.85
14,1623932770,2323.4,20210617 05:26:09,05:26:09,NCJ,B3R2,_NW,_5.14,_1,1623932762,0.001232317,-0.020450571,399.4393667,388.6238614,39.1037135,40.19198023,0.069582975,2.936513843,0.068679795,0.043005042,0.001994701,18.65802162,17.35903667,1.989250928,9.239516234,0.20348755,2.202361523,1.785763377,-54.3451767,256.5414811,17.23759723,219.4358963,47,9,1,0,54546.17126,RECT-107-20210617-05_26_11,15236.9,835.8204,4808.91,3973.0896,0.826193379,-0.020450571,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.020450571,#DIV/0!,#DIV/0!,-1.80519E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.210370388,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623932762,399.4393667,400.0053,2.022317333,0.547072533,400.2585,2.041728,500.1847,100.421,0.199979267,18.97950333,17.35903667,999.9,0,0,9997.662667,0,0.22243,0.0499975,0,0,0,835.997,0.0499975,-27.291,-2.987333333,29.4122,33.5872,31.8248,33.5874,31.8706,0,0,0,136.9000001,0,835.8204,-8.696923095,1.548461544,-27.2268,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,-0.019933219,0.292887706,0.035350831,1,-0.569855677,-0.032283726,0.035291307,1,1.484294839,-0.697847419,0.05236588,1,3,3,3/3,100,100,-0.819,-0.0185,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,40.3,40.2,2,426.923,549.852,18.4712,18.4455,29.9997,18.3598,18.3261,22.2762,88.7821,0,-999.9,400,1.98078,101.739,101.855
15,1623932883,2436.4,20210617 05:28:02,05:28:02,NCJ,B3R2,_NW,_5.14,_2,1623932875,0.001509821,-0.880547556,400.3121935,405.2908939,40.77860129,40.27766618,0.088795252,2.936393032,0.087330073,0.054710922,0.001994701,18.50040703,17.12344516,1.959825849,10.92469788,0.239325197,2.190680233,1.720500652,-66.58311019,280.3419749,18.8064972,232.5673566,54,11,1,0,54558.36703,RECT-108-20210617-05_28_04,15273.5,804.5496,4223.11,3418.5604,0.809488836,-0.880547556,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.880547556,#DIV/0!,#DIV/0!,2.48556E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.235347487,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623932875,400.3121935,399.9809677,2.378608387,0.571959,401.1314839,2.401740645,500.2287097,100.4154839,0.20015271,18.89432258,17.12344516,999.9,0,0,9997.524194,0,0.22243,0.0499975,0,0,0,804.8948387,0.0499975,-26.88935484,-3.004193548,29.39887097,33.625,31.83448387,33.52387097,31.8546129,0,0,0,111.7,0,804.5496,-13.01615393,-2.517692196,-26.8548,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,-0.990008141,6.414365669,0.496181595,0,0.390630302,-6.664370864,0.518397267,0,1.819650645,-1.533717097,0.114690614,0,0,3,0/3,100,100,-0.819,-0.0212,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,42.2,42.1,2,417.78,550.413,18.3901,18.395,30,18.3258,18.3007,22.2614,100,0,-999.9,400,0,101.747,101.86
16,1623933066,2619.9,20210617 05:31:06,05:31:06,NCJ,B1R3,_NE,_5.14,_1,1623933058,0.000625899,-0.050938335,399.7790645,390.8443577,39.31438011,40.21310732,0.035387872,2.936686022,0.035152665,0.021991418,0.001994701,18.64503721,18.01261935,2.072921803,13.90962494,0.303082624,2.17894174,1.76983918,-27.60214574,125.9778169,8.485238186,106.8629041,83,17,1,0,54582.57559,RECT-109-20210617-05_31_07,15267.9,837.1968,4521,3683.8032,0.814820438,-0.050938335,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.050938335,#DIV/0!,#DIV/0!,1.57952E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.227264258,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623933058,399.7790645,400.0180968,3.013099355,2.264619677,400.5981935,3.041771613,500.2244839,100.3883548,0.19997229,18.80832258,18.01261935,999.9,0,0,10001.89419,0,0.278037,0.0499975,0,0,0,837.3051613,0.0499975,-27.12032258,-3.032903226,29.187,33.429,31.62493548,33.312,31.61280645,0,0,0,182.5,0,837.1968,-5.570769233,2.686923064,-27.3564,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,-0.052004703,0.079059088,0.027414318,1,-0.239197839,-0.357674274,0.045690931,1,0.748479484,0.604482726,0.049350192,1,3,3,3/3,100,100,-0.819,-0.0281,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,45.2,45.2,2,380.051,552.504,18.1991,18.3157,30.0004,18.2685,18.2434,22.273,75.9102,0,-999.9,400,2.02939,101.756,101.874
17,1623933218,2771.4,20210617 05:33:37,05:33:37,NCJ,B1R3,_NE,_5.14,_2,1623933210,0.000269638,0.05161837,399.8317419,383.1341866,38.53930666,40.21890673,0.01509791,2.936118974,0.015054912,0.009413173,0.001994701,18.7488478,17.71225161,2.034093352,11.60262045,0.252986199,2.180422951,1.781107153,-11.89102696,175.2206145,11.78670643,175.1182887,34,7,1,0,54563.67068,RECT-110-20210617-05_33_39,15298.7,898.6112,5194.84,4296.2288,0.827018503,0.05161837,-,-,0,0,#DIV/0!,0.5,0.0209979,0.05161837,#DIV/0!,#DIV/0!,-2.25672E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.209162789,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623933210,399.8317419,400.0229677,2.515033871,2.192430645,400.650871,2.539495484,500.2299355,100.3895806,0.19999871,18.81919677,17.71225161,999.9,0,0,9998.543548,0,0.22243,0.0499975,0,0,0,899.0467742,0.0499975,-28.19741935,-3.201612903,29.17916129,33.562,31.66283871,33.431,31.67103226,0,0,0,150.0999999,0,898.6112,1.796153807,-5.499999727,-27.7332,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,0.062364703,-0.463845234,0.042325168,1,-0.192581677,-0.075414968,0.029823812,1,0.310344323,1.5836985,0.11865057,0,2,3,2/3,100,100,-0.819,-0.0249,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,47.8,47.7,2,442.523,548.988,18.2003,18.4049,30.0005,18.3261,18.2998,22.2688,76.1638,0,-999.9,400,1.92605,101.726,101.87
18,1623933364,2917.5,20210617 05:36:03,05:36:03,NCJ,B3R3,_NE,_5.9,_1,1623933356,0.001172044,0.063581547,399.3727333,386.732363,38.89742198,40.16878654,0.067080295,2.935674263,0.066240255,0.041474757,0.001994701,18.35703106,17.08168333,1.954649902,8.985608379,0.194019265,2.15922236,1.760630636,-51.68712517,250.261387,16.76901413,215.3452707,46,9,1,0,54579.42684,RECT-111-20210617-05_36_05,15276.5,844.3673077,4535.07,3690.702692,0.813813831,0.063581547,-,-,0,0,#DIV/0!,0.5,0.0209979,0.063581547,#DIV/0!,#DIV/0!,3.15936E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.228782261,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623933356,399.3727333,400.0104667,1.929010333,0.525850233,400.1917333,1.947361,500.2064,100.3797,0.199992067,18.66293333,17.08168333,999.9,0,0,9996.996,0,0.292865667,0.0499975,0,0,0,844.424,0.0499975,-27.03533333,-3.000666667,29.0998,33.52066667,31.61646667,33.2454,31.5372,0,0,0,144.7,0,844.3673077,-18.49401701,7.462564093,-27.19846154,15,1623930355,04:45:54,1623930352,1623930355,2,0.475,0.03,-0.819,0.121,399,16,0.22,0.08,0.058802968,0.081758385,0.047252901,1,-0.639231032,0.209123468,0.058450676,1,1.414529355,-0.892928226,0.066694498,1,3,3,3/3,100,100,-0.819,-0.0171,-0.828198522,0.000427084,-1.14438E-06,3.35372E-10,0.010715647,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,50.2,50.1,2,427.016,549.269,18.1159,18.4827,30.0002,18.3909,18.3561,22.2583,100,0,-999.9,400,0,101.727,101.845
19,1623933510,3063.5,20210617 05:38:29,05:38:29,NCJ,B3R3,_NE,_5.9,_2,1623933502,0.001143945,-0.437381473,399.976871,399.4957878,40.18099886,40.22938585,0.066883859,2.93584125,0.066048746,0.041354629,0.001994701,18.32367514,16.7727129,1.916727477,8.960876977,0.192993145,2.153730555,1.723734331,-50.44798697,292.7370214,19.57872737,261.8697565,74,15,1,0,54592.01416,RECT-112-20210617-05_38_31,15299.2,787.0311538,3911.4,3124.368846,0.798785306,-0.437381473,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.437381473,#DIV/0!,#DIV/0!,-6.75189E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.251900845,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623933502,399.976871,400.0010645,1.918816129,0.549319806,400.4248387,1.967349355,500.2205161,100.3793226,0.199957806,18.62223548,16.7727129,999.9,0,0,9997.984194,0,0.509391032,0.0499975,0,0,0,787.036129,0.0499975,-27.35580645,-3.154516129,29.15693548,33.536,31.60877419,33.43306452,31.60874194,0,0,0,144.8999999,0,787.0311538,-9.592136734,8.631794917,-27.50307692,15,1623933480,05:38:00,1623933462,1623933480,3,0.371,-0.03,-0.448,-0.03,400,1,0.04,0.02,-0.439119128,0.060015813,0.027512073,1,-0.025894665,0.254406072,0.038229075,1,1.376563548,-0.852096774,0.063618921,1,3,3,3/3,100,100,-0.448,-0.0473,-0.456994711,0.000427084,-1.14438E-06,3.35372E-10,-0.019239503,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,0.8,0.5,2,391.096,550.702,18.1092,18.5567,30.0001,18.4702,18.4319,22.248,100,0,-999.9,400,0,101.708,101.815
20,1623933631,3185,20210617 05:40:31,05:40:31,NCJ,B3R3,_NE,_5.12,_1,1623933623,0.000380467,-0.187146134,400.0655,402.6595952,40.50192462,40.24099492,0.02131606,2.936117892,0.021230459,0.013276699,0.001994701,18.61346045,17.81908667,2.047830136,12.28005738,0.265981078,2.165959573,1.781849058,-16.7785847,141.4576349,9.515554755,134.1965997,45,9,1,0,54583.47037,RECT-113-20210617-05_40_32,15255.3,896.4464,4850.59,3954.1436,0.815188173,-0.187146134,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.187146134,#DIV/0!,#DIV/0!,5.28731E-15,#DIV/0!,-,0,0,#DIV/0!,1,0,1.226710633,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623933623,400.0655,400.0236,2.644314667,2.189194333,400.5134667,2.700178667,500.2554333,100.3859333,0.200083,18.71273667,17.81908667,999.9,0,0,9998.900667,0,0.374145267,0.0499975,0,0,0,896.38,0.0499975,-27.35833333,-3.114666667,29.19126667,33.54546667,31.6208,33.4706,31.6746,0,0,0,120.5,0,896.4464,-6.956153863,-11.80307683,-27.2204,15,1623933480,05:38:00,1623933462,1623933480,3,0.371,-0.03,-0.448,-0.03,400,1,0.04,0.02,-0.177283641,-0.553100441,0.050495065,0,0.03927022,0.119000855,0.026314306,1,0.449037871,1.120531065,0.086849697,0,1,3,1/3,100,100,-0.448,-0.0559,-0.456994711,0.000427084,-1.14438E-06,3.35372E-10,-0.019239503,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,2.8,2.5,2,428.651,552.673,18.1175,18.6103,30,18.5307,18.5012,22.2579,75.2737,0,-999.9,400,1.98271,101.704,101.811
21,1623933779,3332.5,20210617 05:42:58,05:42:58,NCJ,B3R3,_NE,_5.12,_2,1623933771,0.000514343,-0.149358553,399.9528333,396.8717393,39.91946641,40.22937921,0.028988671,2.93635031,0.028830614,0.018033263,0.001994701,18.66450763,17.88009333,2.055710784,12.95462587,0.282104105,2.177632205,1.773606679,-22.68254412,145.4201132,9.788734661,132.5282984,33,7,1,0,54574.30176,RECT-114-20210617-05_43_00,15389.9,783.5511538,3890.73,3107.178846,0.798610761,-0.149358553,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.149358553,#DIV/0!,#DIV/0!,6.79287E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.252174462,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623933771,399.9528333,400.0204333,2.804625333,2.189376,400.4008,2.861849,500.1883,100.3853,0.2000087,18.79870333,17.88009333,999.9,0,0,10000.287,0,1.112381,0.0499975,0,0,0,783.521,0.0499975,-26.982,-3.186333333,29.25826667,33.6208,31.68286667,33.6082,31.74573333,0,0,0,145.9000001,0,783.5511538,-10.16991448,2.860170973,-26.96,15,1623933480,05:38:00,1623933462,1623933480,3,0.371,-0.03,-0.448,-0.03,400,1,0.04,0.02,-0.152307948,0.013464627,0.034028741,1,-0.058547479,-0.373445423,0.051397187,1,0.602883613,0.924485274,0.070706525,1,3,3,3/3,100,100,-0.448,-0.0569,-0.456994711,0.000427084,-1.14438E-06,3.35372E-10,-0.019239503,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,5.3,5,2,443.91,553.121,18.1896,18.6891,30.0005,18.6228,18.6002,22.2551,76.0449,0,-999.9,400,1.93736,101.708,101.803
22,1623934417,3971,20210617 05:53:37,05:53:37,NCJ,B1R4,_NW,_5.14,_1,1623934409,0.000217934,-0.007907132,399.9439667,389.6905786,39.20380317,40.2353185,0.012217076,2.936240086,0.012188906,0.007620592,0.001994701,18.01636759,17.45994,2.001971733,10.72284227,0.223124965,2.080837895,1.778846768,-9.61087932,97.08609935,6.496967769,93.9741825,58,12,1,0,54707.4063,RECT-115-20210617-05_53_38,15268.8,840.2207692,4566.5,3726.279231,0.816003335,-0.007907132,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.007907132,#DIV/0!,#DIV/0!,-2.48249E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.225485187,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623934409,399.9439667,400.0390333,2.217889333,1.957054,400.3919667,2.269679667,500.2016,100.4023667,0.2000223,18.07325,17.45994,999.9,0,0,9997.959667,0,1.449362,0.0499975,0,0,0,840.262,0.0499975,-32.53266667,-3.683666667,27.4916,31.75413333,29.9246,31.60393333,29.94966667,0,0,0,637.1000001,0,840.2207692,-14.54905994,-2.113504315,-32.61230769,15,1623933480,05:38:00,1623933462,1623933480,3,0.371,-0.03,-0.448,-0.03,400,1,0.04,0.02,0.000156353,-0.382939157,0.048403205,1,-0.095076013,-0.031579234,0.048017443,1,0.254595639,1.300950939,0.097788195,0,2,3,2/3,100,100,-0.448,-0.052,-0.456994711,0.000427084,-1.14438E-06,3.35372E-10,-0.019239503,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,15.9,15.6,2,412.529,556.367,17.4642,18.0425,29.9998,18.0522,18.0389,22.2847,77.8071,0,-999.9,400,1.65577,101.805,101.936
23,1623934558,4112,20210617 05:55:58,05:55:58,NCJ,B1R4,_NW,_5.14,_2,1623934550,0.000924684,-0.056223853,399.6428667,390.3347765,39.26826107,40.20466884,0.053578348,2.93759426,0.053041328,0.033198631,0.001994701,17.84911902,16.67389,1.904735239,8.11290905,0.168998536,2.083081848,1.735736703,-40.77854851,224.3349293,14.94612488,198.5045003,50,10,1,0,54744.62656,RECT-116-20210617-05_55_59,15263.8,800.5319231,4547.55,3747.018077,0.823964129,-0.056223853,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.056223853,#DIV/0!,#DIV/0!,-2.25669E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.213645066,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623934550,399.6428667,400.0187,1.679881,0.572566333,400.0907333,1.725577667,500.1994333,100.4015333,0.199959133,18.0904,16.67389,999.9,0,0,10005.75333,0,2.429442,0.0499975,0,0,0,800.351,0.0499975,-31.52933333,-3.683666667,27.679,32.04133333,30.079,31.89146667,30.18713333,0,0,0,140.1000001,0,800.5319231,4.149401769,-4.689572727,-31.57346154,15,1623933480,05:38:00,1623933462,1623933480,3,0.371,-0.03,-0.448,-0.03,400,1,0.04,0.02,-0.061949662,0.012843698,0.042942505,1,-0.37463371,0.353658145,0.054104174,1,1.110697742,-0.754721129,0.056350605,1,3,3,3/3,100,100,-0.447,-0.0445,-0.456994711,0.000427084,-1.14438E-06,3.35372E-10,-0.019239503,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,18.3,18,2,422.973,555.722,17.547,18.0209,30.0001,18.0021,17.9842,22.2645,100,0,-999.9,400,0,101.816,101.938
24,1623934751,4305,20210617 05:59:11,05:59:11,NCJ,B2R3,_NW,_5.14,_1,1623934743,0.000998958,-0.218740014,399.7947333,394.8940976,39.74516465,40.23840214,0.058730115,2.936621537,0.058085317,0.036360666,0.001994701,17.82314205,16.5765,1.892981374,8.637654605,0.179855782,2.082229376,1.713125592,-44.05404871,238.6481611,15.89647595,210.4925831,58,12,1,0,54717.81059,RECT-117-20210617-05_59_12,15337.6,761.7052,4025.39,3263.6848,0.810774807,-0.218740014,-,-,0,0,#DIV/0!,0.5,0.0209979,-0.218740014,#DIV/0!,#DIV/0!,1.35355E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.233388102,#DIV/0!,#DIV/0!,0.0499975,0.0209979,0.419979,0.09499525,6,0.5,0: Broadleaf,2,1623934743,399.7947333,400.0114,1.786984333,0.590923933,400.2425333,1.833979333,500.2287,100.4476333,0.200021033,18.08388667,16.5765,999.9,0,0,9995.624667,0,1.397692333,0.0499975,0,0,0,762.195,0.0499975,-30.99733333,-3.587666667,27.67266667,32.13533333,30.16013333,31.95793333,30.2184,0,0,0,192.1000001,0,761.7052,-10.10615383,0.963846252,-30.5184,15,1623933480,05:38:00,1623933462,1623933480,3,0.371,-0.03,-0.448,-0.03,400,1,0.04,0.02,-0.225707052,0.574610235,0.048577919,0,-0.214343677,-0.285629855,0.035589998,1,1.199581613,-0.77316629,0.057781123,1,2,3,2/3,100,100,-0.448,-0.0458,-0.456994711,0.000427084,-1.14438E-06,3.35372E-10,-0.019239503,-0.018551137,0.001891776,-1.6546E-05,1,1993,1,25,21.5,21.2,2,412.343,556.641,17.5206,18.0458,30.0004,18.0054,17.9844,22.2466,100,0,-999.9,400,0,101.8,101.923
