SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1625084143,379,20210630 13:15:43,13:15:43,B1R1,_NE,_5.3,_1,,1625084135,0.002101246,7.713568597,389.7626667,221.4387388,22.31939719,39.28521186,0.080458478,2.938537631,0.079254361,0.04964066,313.8966357,40.32277729,38.45728667,6.824038827,61.07616794,4.299208665,7.03909366,2.524830161,-92.6649437,91.19059727,7.515004908,319.9372942,34,7,1,0,51100.64296,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-616-20210630-13_15_55,15323.2,1019.5608,1279.86,0.203380995,0.5,1601.641301,7.713568597,162.8717005,0.404419233,0.005069884,1.833778695,DARK-617-20210630-13_15_57,762.26,517.6,0.502896445,0.819310335,0.463882677,0.807046074,0.37598331,0.62401669,1899.948,1601.641301,0.842992177,0.195984354,6,0.5,0: Broadleaf,2,1625084135,389.7626667,399.9999667,42.65399,40.24046333,390.3115333,41.40773333,500.0863,100.5925,0.200149533,39.03290333,38.45728667,999.9,0,0,9992.122,0,707.06377,1899.948,0.899997933,0.100002073,0,1020.277667,4.99975,19203.87,16542.48,50.75413333,51.7248,51,51.062,52.312,1705.448667,189.4993333,0,124.5,0,1019.5608,-100.318819,-1813.945296,19191.012,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,7.715932517,-0.544181796,0.052556002,0,-10.23448387,-0.631746774,0.061157117,1,2.399234194,2.96246371,0.222475627,0,1,3,1/3,100,100,-0.549,1.2632,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,439.7,439.6,2,484.621,502.956,37.518,37.1575,30.0009,36.8559,36.7745,23.2064,0,100,-999.9,400,42.9702,98.7241,98.3436
5,1625084266,502,20210630 13:17:46,13:17:46,B1R1,_NE,_5.3,_2,,1625084258,0.002613709,5.921324632,391.6646,269.0151296,27.11820184,39.48194175,0.089793005,2.940929763,0.088297283,0.055318111,313.9014745,40.18625323,39.50379667,7.219369677,62.62760836,4.407486499,7.037609472,2.811883179,-115.2645849,-75.28232131,-6.230107434,117.1244609,57,11,1,0,51168.31312,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-618-20210630-13_17_58,15180.1,823.6465385,974.17,0.154514573,0.5,1601.66678,5.921324632,123.7404292,0.416056746,0.003950816,2.723005225,DARK-619-20210630-13_18_00,568.86,405.31,0.371378603,0.867458257,0.589267754,0.9121624,0.256496473,0.743503527,1899.978333,1601.66678,0.842992129,0.195984257,6,0.5,0: Broadleaf,2,1625084258,391.6646,399.9958,43.72268333,40.72438333,392.2140667,42.42277,500.1696333,100.6054333,0.200056233,39.02898333,39.50379667,999.9,0,0,10004.44567,0,1951.677667,1899.978333,0.8999994,0.10000042,0,824.8475,4.99975,15993.69667,16542.75333,50.812,51.8582,51.1208,51.12706667,52.3624,1705.479333,189.4993333,0,122.0999999,0,823.6465385,-411.7688206,-7922.095728,15971.10385,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,5.933950436,-1.183272327,0.092167994,0,-8.332685161,0.473619194,0.047163419,1,2.988073548,2.189701935,0.163764034,0,1,3,1/3,100,100,-0.55,1.3139,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,441.8,441.6,2,453.628,502.335,37.6925,37.4083,30.0006,37.0956,37.0046,23.2101,0,100,-999.9,400,42.6625,98.679,98.303
6,1625084374,609.5,20210630 13:19:33,13:19:33,B1R1,_NE,_5.3,_3,,1625084366,0.002704057,8.374149016,388.6880323,234.1028597,23.59865886,39.18156441,0.096883672,2.939709723,0.095144156,0.059618785,313.9076342,40.35269249,39.35130968,7.160558572,62.74282937,4.460769058,7.109607748,2.699789513,-119.2489221,-21.07654389,-1.745254561,171.8369137,23,5,1,0,51103.23391,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-620-20210630-13_19_45,15334.5,972.0386538,1224.95,0.206466669,0.5,1601.697378,8.374149016,165.3485612,0.4,0.005482132,1.960806564,DARK-621-20210630-13_19_47,734.97,489.98,0.516166672,0.830566381,0.499606056,0.825927743,0.390279767,0.609720233,1900.014516,1601.697378,0.84299218,0.195984359,6,0.5,0: Broadleaf,2,1625084366,388.6880323,399.9947097,44.25161613,41.15130968,389.2364516,42.92531935,500.1566774,100.6046774,0.199981226,39.21832258,39.35130968,999.9,0,0,9997.57871,0,1831.756774,1900.014516,0.89999871,0.100001332,0,972.3376774,4.99975,18266.89677,16543.03548,50.77,51.812,51.125,51.016,52.31606452,1705.51129,189.5064516,0,106.4000001,0,972.0386538,-91.27408546,-1676.663248,18261.08462,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,8.378838771,-0.392678842,0.037007228,1,-11.30389032,-0.22368871,0.029903871,1,3.086343226,1.684137581,0.126179867,0,2,3,2/3,100,100,-0.549,1.3362,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,443.6,443.4,2,499.071,500.149,37.8484,37.5478,30.0004,37.2342,37.1525,23.2118,0,100,-999.9,400,43.6344,98.6637,98.2795
7,1625084584,820,20210630 13:23:04,13:23:04,B2R1,_NE,_5.7,_1,,1625084576,0.002583499,7.916818512,389.2805806,224.5729186,22.63205004,39.23098846,0.085781129,2.940283375,0.084414685,0.052880135,313.9003054,40.77334628,39.86631613,7.360870008,61.39672482,4.457417605,7.260025055,2.903452403,-113.9322873,-40.8553416,-3.397117782,155.7155587,38,8,1,0,51054.86797,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-622-20210630-13_23_16,15245.1,1138.503846,1411.52,0.193419968,0.5,1601.660352,7.916818512,154.8965474,0.419639821,0.005196723,1.569457039,DARK-623-20210630-13_23_18,819.19,592.33,0.460919004,0.789029972,0.394081248,0.761772707,0.331645994,0.668354006,1899.970645,1601.660352,0.842992157,0.195984314,6,0.5,0: Broadleaf,2,1625084576,389.2805806,399.9834516,44.2299871,41.26806129,389.8293871,42.90477419,500.1942581,100.5781935,0.199986548,39.60858065,39.86631613,999.9,0,0,10003.47581,0,1434.966129,1899.970645,0.899998194,0.100001803,0,1143.211613,4.99975,21757.39677,16542.68065,51,51.895,51.25,51.25,52.558,1705.470323,189.5003226,0,209.6000001,0,1138.503846,-511.1576071,-9528.389749,21669.42308,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,7.91451628,1.214246834,0.093511286,0,-10.70286129,-2.21175,0.171890248,0,2.961916774,2.061413226,0.154564442,0,0,3,0/3,100,100,-0.549,1.3363,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,447.1,446.9,2,479.815,499.085,38.1289,37.7368,30.0007,37.4494,37.37,23.2222,0,100,-999.9,400,44.2039,98.6264,98.247
8,1625084696,931.5,20210630 13:24:55,13:24:55,B2R1,_NE,_5.7,_2,,1625084688,0.002762706,8.085562827,389.0287333,231.5383522,23.33236046,39.20282991,0.09220654,2.940420111,0.090629823,0.056783056,313.9087959,40.92315891,39.93238333,7.386915001,61.28430765,4.49618881,7.336607009,2.890726191,-121.835339,-20.25882971,-1.686559445,170.1280677,11,2,1,0,51026.53522,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-624-20210630-13_25_07,15300.2,982.13648,1250.65,0.214699172,0.5,1601.704151,8.085562827,171.9422778,0.392308,0.005301934,1.899964019,DARK-625-20210630-13_25_09,760.01,490.64,0.547271971,0.828856263,0.504799111,0.817090393,0.423497324,0.576502676,1900.022667,1601.704151,0.842992128,0.195984256,6,0.5,0: Broadleaf,2,1625084688,389.0287333,400.0178333,44.61786667,41.45149,389.5774667,43.27338,500.1502333,100.5710667,0.199972967,39.80458667,39.93238333,999.9,0,0,10004.963,0,643.5402667,1900.022667,0.8999985,0.100001327,0,983.7978333,4.99975,18574.49667,16543.12333,51.1374,52.1912,51.40806667,51.4622,52.6954,1705.519,189.5036667,0,110.5999999,0,982.13648,-203.4084619,-3685.292313,18543.432,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,8.091641757,-0.537744069,0.042873656,0,-10.98510968,-0.025214516,0.026241132,1,3.145252581,1.625529194,0.122674192,0,1,3,1/3,100,100,-0.549,1.3528,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,448.9,448.8,2,514.536,496.83,38.3591,37.9101,30.0008,37.6083,37.5312,23.2276,0,100,-999.9,400,44.1962,98.5981,98.213
9,1625084797,1033,20210630 13:26:37,13:26:37,B2R1,_NE,_5.7,_3,,1625084789,0.002611249,7.665682669,389.576,233.2546707,23.50381746,39.25547627,0.088018652,2.939653704,0.086580335,0.054239978,313.8979617,40.95316436,39.87830968,7.365592179,61.44205165,4.505564037,7.33302993,2.860028142,-115.1560631,-13.12849496,-1.092908655,184.520495,47,9,1,0,51006.55219,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-626-20210630-13_26_49,15266.5,1155.073462,1361.52,0.151629457,0.5,1601.650093,7.665682669,121.4286671,0.428734062,0.005039958,1.663816911,DARK-627-20210630-13_26_51,777.79,583.73,0.353667858,0.795114161,0.321171836,0.778965996,0.238148769,0.761851231,1899.95871,1601.650093,0.842992053,0.195984106,6,0.5,0: Broadleaf,2,1625084789,389.576,399.9921613,44.71375161,41.72133871,390.1249677,43.36450323,500.1629032,100.5646129,0.200003677,39.79547097,39.87830968,999.9,0,0,10001.2429,0,1576.362903,1899.95871,0.900002226,0.099997739,0,1157.263548,4.99975,22173.82581,16542.57742,51.187,52.294,51.47967742,51.47154839,52.75,1705.466452,189.4925806,0,100.4000001,0,1155.073462,-540.5384615,-10351.62393,22131.87692,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,7.666819218,-0.670046914,0.052878545,0,-10.41606129,-0.050912903,0.023037174,1,2.992409677,1.983797419,0.148647759,0,1,3,1/3,100,100,-0.549,1.3612,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,450.6,450.4,2,466.973,497.409,38.4055,38.0504,30.0008,37.7513,37.6694,23.2372,0,100,-999.9,400,44.5333,98.5798,98.1737
10,1625084966,1202,20210630 13:29:26,13:29:26,B2R2,_NE,_5.4,_1,,1625084958,0.003172011,8.622844168,388.1594194,241.7896685,24.3598523,39.10632818,0.106999314,2.937979966,0.104880647,0.065737264,313.9021491,41.04742327,40.08194194,7.446169209,61.68147673,4.581017572,7.426893477,2.865151637,-139.8856974,-7.688161551,-0.641738267,165.6865518,46,9,1,0,50920.89586,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-628-20210630-13_29_38,15412.1,947.25592,1205.25,0.21405856,0.5,1601.670833,8.622844168,171.4256764,0.417506741,0.005637495,2.00920141,DARK-629-20210630-13_29_40,702.05,503.2,0.512706836,0.82795346,0.530282957,0.832701899,0.379987949,0.620012051,1899.983226,1601.670833,0.842992091,0.195984183,6,0.5,0: Broadleaf,2,1625084958,388.1594194,399.9804839,45.47000968,41.83785484,388.7079677,44.08338387,500.1625806,100.5480968,0.200014,40.03340323,40.08194194,999.9,0,0,9993.362258,0,1826.155484,1899.983226,0.900000419,0.09999959,0,949.1889355,4.99975,17756.76774,16542.79677,51.45332258,52.49187097,51.673,51.84045161,52.99796774,1705.485806,189.4974194,0,168.2,0,947.25592,-133.934,-2473.738462,17720.876,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,8.628942273,-0.372868711,0.039818041,1,-11.82096452,-0.186972581,0.043983938,1,3.632155806,1.649188548,0.12381068,0,2,3,2/3,100,100,-0.548,1.3962,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,453.4,453.3,2,468.93,494.878,38.5866,38.2879,30.0008,37.9775,37.8921,23.2562,0,100,-999.9,400,44.6818,98.5356,98.1302
11,1625085086,1322,20210630 13:31:26,13:31:26,B2R2,_NE,_5.4,_2,,1625085078,0.00527969,12.3287395,382.7813871,280.0594631,28.21757203,38.56738581,0.227332068,2.939476974,0.217996884,0.137054839,313.9068343,40.58206964,39.31366452,7.146103705,65.05276303,4.851173403,7.457290323,2.294930302,-232.8343442,126.1813804,10.4922795,217.74615,9,2,1,0,50950.231,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-630-20210630-13_31_37,15396.5,902.29696,1188.3,0.240682521,0.5,1601.69403,12.3287395,192.7498787,0.39790457,0.007951148,2.052124884,DARK-631-20210630-13_31_39,715.47,472.83,0.604874987,0.837591924,0.609072349,0.838530424,0.479631348,0.520368652,1900.010645,1601.69403,0.842992135,0.195984269,6,0.5,0: Broadleaf,2,1625085078,382.7813871,399.9957742,48.14790645,42.11916774,383.3281935,46.63156129,500.1528065,100.5556452,0.200000516,40.10989677,39.31366452,999.9,0,0,10001.12903,0,664.7655161,1900.010645,0.899998226,0.100001594,0,903.3888065,4.99975,16939.66129,16543.02258,51.625,52.75,51.875,52.125,53.2256129,1705.507742,189.5029032,0,119.0999999,0,902.29696,-88.68915397,-1647.946156,16918.892,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,12.33285195,-0.715039318,0.0696705,0,-17.21420323,0.154287097,0.061449809,1,6.028742903,1.810361129,0.135791324,0,1,3,1/3,100,100,-0.547,1.5267,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,455.4,455.3,2,517.363,494.083,38.8276,38.4997,30.0003,38.1751,38.0851,23.267,0,100,-999.9,400,45.3788,98.4996,98.0919
12,1625085178,1413.4,20210630 13:32:57,13:32:57,B2R2,_NE,_5.4,_3,,1625085170,0.006437581,12.54846776,381.9638333,284.6623554,28.68126447,38.48491208,0.251431388,2.938499497,0.240061657,0.151017211,313.9111216,40.34613854,40.30776667,7.536420161,66.86461637,5.002653181,7.481764575,2.53376698,-283.8973295,-21.62068606,-1.807526872,6.585579136,55,11,1,0,50913.06581,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-632-20210630-13_33_09,15405.4,904.7069615,1112.03,0.186436552,0.5,1601.714701,12.54846776,149.3090827,0.372813683,0.008088228,2.261458774,DARK-633-20210630-13_33_11,697.45,414.58,0.500079691,0.858475655,0.527135081,0.864757065,0.385517737,0.614482263,1900.035,1601.714701,0.842992208,0.195984417,6,0.5,0: Broadleaf,2,1625085170,381.9638333,399.9669667,49.65147333,42.31227667,382.5104,48.06448,500.1593,100.5554,0.199982367,40.17129,40.30776667,999.9,0,0,9995.591667,0,1954.696667,1900.035,0.899996867,0.100003013,0,905.3901,4.99975,17094.48667,16543.22667,51.6684,52.75,51.937,52.125,53.25,1705.525,189.51,0,90.79999995,0,904.7069615,-146.6463249,-2754.140173,17081.66154,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,12.55686635,-0.989298231,0.077892979,0,-18.00359032,0.335758065,0.048106041,1,7.329078387,2.135625,0.16008223,0,1,3,1/3,100,100,-0.547,1.5984,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,456.9,456.8,2,457.134,493.033,38.9776,38.5606,30.0002,38.25,38.1548,23.2769,0,100,-999.9,400,48.0216,98.4923,98.0926
13,1625085294,1529.4,20210630 13:34:53,13:34:53,B2R2,_NE,_5.12,_1,,1625085286,0.007011018,16.30251383,377.2469677,285.4326892,28.75985728,38.01095446,0.342493,2.939185069,0.321765452,0.202861077,313.9013429,40.36232557,39.35099355,7.16043708,67.5543445,5.098538003,7.547313264,2.061899077,-309.1859052,155.9015818,12.98120178,173.5982213,8,2,1,0,50905.60442,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-634-20210630-13_35_05,15268.5,943.7626154,1231.02,0.23334908,0.5,1601.667968,16.30251383,186.8738736,0.448384267,0.0104323,1.94620721,DARK-635-20210630-13_35_07,679.05,551.97,0.520422097,0.812751248,0.560730293,0.823840478,0.374450756,0.625549244,1899.98,1601.667968,0.842992015,0.19598403,6,0.5,0: Broadleaf,2,1625085286,377.2469677,399.9765806,50.6014129,42.61646452,377.7920323,48.97075806,500.1598387,100.5588065,0.200000677,40.33486452,39.35099355,999.9,0,0,9999.153548,0,1836.17,1899.98,0.900003097,0.099996842,0,946.1684516,4.99975,17977.94516,16542.77742,51.679,52.687,51.937,52.062,53.24593548,1705.487742,189.4922581,0,115.0999999,0,943.7626154,-314.342359,-5902.854702,17933.16538,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,16.30734487,-0.722369101,0.065498992,0,-22.72967742,-0.139224194,0.051620487,1,7.984954194,2.615190484,0.196974153,0,1,3,1/3,100,100,-0.545,1.642,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,458.9,458.7,2,518.796,492.305,39.1309,38.6144,30.0002,38.3051,38.2178,23.294,0,100,-999.9,400,49.4987,98.4879,98.1134
14,1625085389,1624.9,20210630 13:36:29,13:36:29,B2R2,_NE,_5.12,_2,,1625085381,0.005739243,13.18197654,381.5438387,297.5459696,29.98100584,38.44470847,0.302260043,2.938611014,0.285989095,0.180132039,313.8967572,40.83907651,38.53165161,6.851497498,65.03514302,4.947816905,7.607912699,1.903680594,-253.1006381,309.461436,25.69003253,395.9475876,52,10,1,0,50865.32677,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-636-20210630-13_36_41,15278.3,1178.946538,1354.87,0.12984527,0.5,1601.643607,13.18197654,103.9829236,0.46563877,0.008484124,1.67689151,DARK-637-20210630-13_36_43,723.99,630.88,0.278854079,0.782668757,0.276547672,0.781252703,0.171244037,0.828755963,1899.950968,1601.643607,0.842992074,0.195984148,6,0.5,0: Broadleaf,2,1625085381,381.5438387,399.9843548,49.10452258,42.5576,382.0900645,47.54305806,500.1513871,100.5609032,0.200017452,40.48499677,38.53165161,999.9,0,0,9995.679032,0,1767.404194,1899.950968,0.900001129,0.099998877,0,1182.480645,4.99975,22594.90968,16542.50968,51.76,52.74593548,51.99593548,52.187,53.36687097,1705.459032,189.4932258,0,94.4000001,0,1178.946538,-877.8307691,-16612.53675,22527.81154,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,13.1999316,-0.912867261,0.071471495,0,-18.43307419,-1.103796774,0.08654754,0,6.502155484,5.324230161,0.399549645,0,0,3,0/3,100,100,-0.546,1.5888,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,460.5,460.3,2,461.007,492.471,39.2547,38.7081,30.0005,38.4009,38.311,23.3045,0,100,-999.9,400,50.4079,98.474,98.0737
15,1625085461,1696.4,20210630 13:37:40,13:37:40,B2R2,_NE,_5.12,_3,,1625085453,0.003499591,10.11950659,386.2098387,243.4097029,24.52606367,38.9146652,0.128335593,2.938419623,0.125301087,0.078579842,313.8942087,41.43256139,39.85765484,7.357461466,61.87312582,4.711822098,7.615296682,2.645639368,-154.3319686,102.2677992,8.545168705,270.375208,31,6,1,0,50857.04603,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-638-20210630-13_37_52,15318.1,1300.413077,1505.79,0.136391478,0.5,1601.632751,10.11950659,109.2245288,0.394025727,0.006572089,1.408596152,DARK-639-20210630-13_37_54,912.47,593.32,0.34614866,0.781415209,0.260941379,0.729356482,0.242884568,0.757115432,1899.938387,1601.632751,0.842991942,0.195983885,6,0.5,0: Broadleaf,2,1625085453,386.2098387,399.9702903,46.76262903,42.76090968,386.7575806,45.31291935,500.1761613,100.5604194,0.19999971,40.50321935,39.85765484,999.9,0,0,9994.638387,0,1644.825161,1899.938387,0.900005774,0.099994452,0,1313.311613,4.99975,24774.28387,16542.41935,51.875,52.911,52.10474194,52.31606452,53.44106452,1705.455161,189.4835484,0,70.80000019,0,1300.413077,-1039.691624,-19244.41709,24535.56923,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,10.12069245,-0.375965923,0.03888123,1,-13.7605,-2.432951613,0.188755503,0,4.001727742,7.065438387,0.53134588,0,1,3,1/3,100,100,-0.548,1.4884,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,461.7,461.5,2,488.557,492.409,39.3462,38.7937,30.0003,38.4748,38.3887,23.3152,0,100,-999.9,400,49.1123,98.4702,98.0707
16,1625085611,1846.9,20210630 13:40:11,13:40:11,B3R2,_NW,_5.13,_1,,1625085603,0.005310653,13.35287486,381.5242258,258.3261629,26.03201069,38.44690996,0.201851519,2.939416708,0.194454967,0.122176324,313.8995246,41.10919977,40.28982581,7.529215588,64.47851185,4.947462282,7.673040428,2.581753306,-234.1997838,56.31557811,4.716896462,140.7322154,4,1,1,0,50861.93644,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-640-20210630-13_40_23,15341.7,947.08976,1299.8,0.271357317,0.5,1601.656527,13.35287486,217.3106086,0.462171103,0.008590757,1.790306201,DARK-641-20210630-13_40_25,699.07,600.73,0.587136051,0.794816533,0.606999684,0.800189391,0.433379408,0.566620592,1899.966129,1601.656527,0.842992147,0.195984295,6,0.5,0: Broadleaf,2,1625085603,381.5242258,399.9728065,49.09566774,43.03780968,382.0706129,47.53458065,500.169129,100.571871,0.199999742,40.64519677,40.28982581,999.9,0,0,9999.172581,0,1728.568387,1899.966129,0.89999929,0.100000794,0,948.6791935,4.99975,17787.7129,16542.63871,52.06,52.99390323,52.278,52.437,53.562,1705.467742,189.4993548,0,149.4000001,0,947.08976,-165.3639228,-3003.384611,17759.524,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,13.37081546,-1.109534231,0.089513849,0,-18.44949677,0.246314516,0.045785584,1,6.034122581,2.869639839,0.214753786,0,1,3,1/3,100,100,-0.547,1.5754,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,464.2,464,2,523.389,489.789,39.4369,38.886,30.0002,38.5787,38.4934,23.3294,0,100,-999.9,400,46.9654,98.4438,98.0621
17,1625085774,2009.9,20210630 13:42:54,13:42:54,B3R2,_NW,_5.13,_2,,1625085766,0.006532391,15.5195631,378.4066,266.4364367,26.84988838,38.13357924,0.262526917,2.939950482,0.250163886,0.157414672,313.9051345,40.92146426,40.38564,7.567761314,66.04524879,5.101719006,7.724581404,2.466042308,-288.0784404,61.10174263,5.122280272,92.05071694,8,2,1,0,50856.37864,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-642-20210630-13_43_06,15303.1,832.4432308,1136.78,0.267718265,0.5,1601.685591,15.5195631,214.4002437,0.419043263,0.009943356,2.190450219,DARK-643-20210630-13_43_07,660.42,476.36,0.638879774,0.839415862,0.727988636,0.856246388,0.506856161,0.493143839,1900.000667,1601.685591,0.84299212,0.195984241,6,0.5,0: Broadleaf,2,1625085766,378.4066,399.9890333,50.62530667,43.18580667,378.9519667,48.99356333,500.1696333,100.5740667,0.2000193,40.77114333,40.38564,999.9,0,0,10001.99167,0,867.1208,1900.000667,0.899998967,0.100000843,0,832.8824,4.99975,15824.62333,16542.94,52.13946667,52.9958,52.375,52.5662,53.75,1705.499667,189.501,0,162,0,832.4432308,-145.115077,-2674.119658,15816.27692,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,15.53804622,-1.007573072,0.082541449,0,-21.58724516,0.25965,0.050430673,1,7.40888,2.387279032,0.178673372,0,1,3,1/3,100,100,-0.545,1.6434,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,466.9,466.7,2,518.928,488.959,39.5816,38.9673,30.001,38.6543,38.5704,23.3403,0,100,-999.9,400,49.0446,98.4252,98.0444
18,1625085870,2105.4,20210630 13:44:29,13:44:29,B3R2,_NW,_5.13,_3,,1625085862,0.005593096,12.32199439,382.6304667,280.1535017,28.23253555,38.55967599,0.229520983,2.940170007,0.220011349,0.138328663,313.900753,41.17436501,39.97674,7.404446057,64.69059992,5.000227754,7.729450276,2.404218303,-246.6555345,127.8011601,10.69270474,205.7390833,17,3,1,0,50860.57287,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,2908.111538,0.801830668,-0.406566687,RECT-644-20210630-13_44_41,15366,884.515,1117.6,0.208558518,0.5,1601.664131,12.32199439,167.0203489,0.395007158,0.007947085,2.245204009,DARK-645-20210630-13_44_43,676.14,441.46,0.527986681,0.850388044,0.584361072,0.862841733,0.403603008,0.596396992,1899.975333,1601.664131,0.842992066,0.195984131,6,0.5,0: Broadleaf,2,1625085862,382.6304667,399.9796,49.61762333,43.2409,383.1771667,48.03221,500.1546667,100.5752333,0.200003733,40.78300333,39.97674,999.9,0,0,10003.125,0,1604.530667,1899.975333,0.900001167,0.099998887,0,888.4522,4.99975,16766.79667,16542.72667,52.1684,53.062,52.40806667,52.5,53.75,1705.480333,189.495,0,94.9000001,0,884.515,-290.8449227,-5400.369222,16693.112,15,0,--:--:--,1625057761,1625057770,0,0.357,-0.032,-0.552,-0.102,400,5,0.13,0.03,12.34434821,-1.88532132,0.141449545,0,-17.35435806,1.345025806,0.10250958,0,6.366631613,2.147028387,0.160621357,0,0,3,0/3,100,100,-0.547,1.5975,-0.561196967,0.000427084,-1.14438E-06,3.35372E-10,0.405933396,0,0,0,1,1993,1,25,468.5,468.3,2,507.324,486.721,39.6357,39.101,30.001,38.7779,38.6932,23.3548,0,100,-999.9,400,50.5056,98.4019,98.0027
