SysConst,AvgTime,Oxygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1626295466,567.5999999,20210714 13:44:26,13:44:26,15,SBB,B2R1,_SE,_5.7,_3,1626295458,0.001276834,1.276833749,4.286054781,394.2510645,227.0363816,22.90183678,39.76928045,0.045133355,2.941848881,0.04475218,0.028004091,372.3686424,39.44137731,36.86959677,6.260140544,54.06433537,3.521655738,6.513824158,2.738484806,-56.30836834,115.6206092,9.379836998,441.0607203,10,2,1,0,51431.15141,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-585-20210714-13_44_21,15141.5,205.1391923,250.46,0.180950282,0.5,1601.680957,4.286054781,144.9123106,0.00292981,13.48071548,195.7607063,DARK-586-20210714-13_44_29,-1850.85,-1850.85,8.389802763,0.021567883,0.616387565,-0.096783814,1.161021493,-0.194594291,1.194594291,1899.995484,1601.680957,0.842991981,0.195983962,6,0.5,0: Broadleaf,2,1626295458,394.2510645,399.9968387,34.91178387,33.43347742,394,34.68424194,500.1360323,100.673,0.199981774,37.5986,36.86959677,999.9,0,0,10002.95968,0,1128.58129,1899.995484,0.900002645,0.099997371,0,205.4293226,4.99938,5390.516129,15165.85806,48.937,50.25,49.06606452,49.889,50.85874194,1705.503871,189.4916129,0,74,0,205.1391923,-48.51052985,-1147.401708,5383.448462,15,1626295156,13:39:16,1626295151,1626295156,2,-0.003,0.023,0.255,0.228,400,32,0.19,0.04,4.262612496,1.358291733,0.10991611,0,-5.738863667,-2.37419079,0.17835107,0,1.469614,2.51262594,0.183072802,0,0,3,0/3,100,100,0.251,0.2276,0.120351588,-8.36417E-05,1.28013E-06,-5.74726E-10,0.22754,0,0,0,2,2145,1,27,5.2,5.2,18,491.143,525.633,36.0795,35.5201,30.0008,35.2807,35.2517,20.6157,0,100,-999.9,400,34.5694,98.9557,98.4325
7,1626295555,656.5999999,20210714 13:45:55,13:45:55,15,SBB,B2R1,_SE,_5.11,_1,1626295547,0.001264405,1.264405147,3.280551799,395.4517097,264.9651446,26.72762702,39.89009882,0.045679366,2.944914084,0.045289357,0.028340611,372.3707521,39.75434178,36.76404194,6.224129352,53.49825614,3.54429998,6.625075724,2.679829372,-55.76026696,182.026994,14.76650703,513.4039862,49,10,1,0,51465.47311,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-587-20210714-13_45_50,15165.9,149.4894615,194,0.229435765,0.5,1601.686337,3.280551799,183.7420653,0.002302023,17.69505155,159.482941,DARK-588-20210714-13_45_58,2.17,2.17,0.988814433,0.232031165,0.947076561,-0.084825851,1.180436154,0.003368181,0.996631819,1900.00129,1601.686337,0.842992237,0.195984473,6,0.5,0: Broadleaf,2,1626295547,395.4517097,399.9875161,35.13652581,33.67283226,395.1999032,34.90897419,500.0958065,100.6722581,0.199979548,37.91055161,36.76404194,999.9,0,0,10020.48387,0,630.8667419,1900.00129,0.899995097,0.100004926,0,149.5483226,4.99938,4005.225806,15165.87097,48.96748387,50.24593548,49.125,50.016,50.891,1705.492903,189.5083871,0,88.4000001,0,149.4894615,-5.446290594,44.36546983,4004.441923,15,1626295156,13:39:16,1626295151,1626295156,2,-0.003,0.023,0.255,0.228,400,32,0.19,0.04,3.172062121,6.621960647,0.51278473,0,-4.512984333,-7.934289744,0.592704311,0,1.456551333,2.032665984,0.148244576,0,0,3,0/3,100,100,0.251,0.2275,0.120351588,-8.36417E-05,1.28013E-06,-5.74726E-10,0.22754,0,0,0,2,2145,1,27,6.7,6.7,18,444.164,524.11,36.3665,35.6917,30.001,35.4488,35.4175,20.6263,0,100,-999.9,400,35.0807,98.9282,98.4093
8,1626295638,739.5999999,20210714 13:47:18,13:47:18,15,SBB,B2R1,_SE,_5.11,_2,1626295630,0.001110608,1.110607667,3.661248844,395.0684667,227.3936921,22.93888521,39.85348108,0.038472899,2.940086944,0.038195387,0.023896883,372.3640704,39.92148903,37.12721333,6.348789729,53.36684007,3.559629998,6.670115737,2.789159731,-48.97779813,143.9773103,11.72660453,479.0901871,49,10,1,0,51309.63752,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-589-20210714-13_47_13,15130.7,303.71324,350.5,0.133485763,0.5,1601.658692,3.661248844,106.8993164,0.002539752,9.347617689,251.9722515,DARK-590-20210714-13_47_21,182.91,182.91,0.478145506,0.279173936,0.951337571,-0.127059054,1.126621162,0.168131309,0.831868691,1899.968667,1601.658692,0.842992161,0.195984322,6,0.5,0: Broadleaf,2,1626295630,395.0684667,399.9872667,35.28669333,34.00131,394.8169,35.05915,500.1238,100.6774333,0.199970067,38.03555333,37.12721333,999.9,0,0,9992.498333,0,1807.901,1899.968667,0.8999976,0.10000243,0,304.4852667,4.99938,7852.472667,15165.63,49.02066667,50.312,49.1746,50.062,50.937,1705.468333,189.5003333,0,81.9000001,0,303.71324,-151.8662305,-3717.62384,7833.5016,15,1626295156,13:39:16,1626295151,1626295156,2,-0.003,0.023,0.255,0.228,400,32,0.19,0.04,3.664551909,-0.244185425,0.022621529,1,-4.915306,-0.32935208,0.029540362,1,1.272059333,1.587376018,0.115571503,0,2,3,2/3,100,100,0.252,0.2275,0.120351588,-8.36417E-05,1.28013E-06,-5.74726E-10,0.22754,0,0,0,2,2145,1,27,8.1,8,18,444.689,522.908,36.6244,35.8877,30.0011,35.6205,35.582,20.6391,0,100,-999.9,400,35.4243,98.8869,98.3729
9,1626295720,821.5999999,20210714 13:48:40,13:48:40,15,SBB,B2R1,_SE,_5.11,_3,1626295712,0.00118983,1.189829836,4.436515745,394.1041667,194.1109279,19.58150762,39.75641055,0.038531415,2.941537842,0.038253197,0.023933077,372.3659944,39.89675641,37.79884333,6.585049082,54.06972121,3.6058246,6.668842597,2.979224482,-52.47149576,36.97971822,3.020141432,359.8943583,45,9,1,0,51350.86915,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-591-20210714-13_48_35,15130.3,318.8437308,386.95,0.176007932,0.5,1601.667849,4.436515745,140.9531228,0.003023775,8.372890554,270.2748617,DARK-592-20210714-13_48_43,185.54,185.54,0.520506525,0.338147407,0.941472699,-0.205276343,1.114087255,0.196773102,0.803226898,1899.979667,1601.667849,0.8429921,0.1959842,6,0.5,0: Broadleaf,2,1626295712,394.1041667,399.9886333,35.74443667,34.36815667,393.8533,35.51690333,500.1744,100.6779,0.200024967,38.03203,37.79884333,999.9,0,0,10000.70333,0,1868.415,1899.979667,0.9000008,0.09999929,0,319.4646667,4.99938,8174.041667,15165.72667,48.9811,50.5,49.1808,50.01033333,50.937,1705.483,189.4976667,0,81.20000005,0,318.8437308,-127.7550428,-3101.475216,8159.108846,15,1626295156,13:39:16,1626295151,1626295156,2,-0.003,0.023,0.255,0.228,400,32,0.19,0.04,4.435958831,0.253817591,0.036782674,1,-5.877834333,-1.080721602,0.086780157,0,1.360435333,1.903715773,0.138813891,0,1,3,1/3,100,100,0.251,0.2275,0.120351588,-8.36417E-05,1.28013E-06,-5.74726E-10,0.22754,0,0,0,2,2145,1,27,9.5,9.4,18,449.299,522.112,36.7616,36.0431,30.0006,35.7631,35.7205,20.6513,0,100,-999.9,400,35.3205,98.8618,98.3505
10,1626295950,1051.1,20210714 13:52:29,13:52:29,15,SBB,B2R2,_SE,_5.3,_1,1626295942,0.001117998,1.117998255,3.931685454,394.7558333,205.4175009,20.72303711,39.82396703,0.036271003,2.943622091,0.036024532,0.022537337,372.369215,40.31864858,37.97225,6.647273493,53.93628759,3.676646976,6.816648199,2.970626517,-49.30372304,73.79019478,6.039022614,402.8947094,2,0,1,0,51342.48551,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-593-20210714-13_52_25,15152.4,221.6866538,266.08,0.166842101,0.5,1601.681131,3.931685454,133.6139223,0.002708562,12.6306374,205.1748328,DARK-594-20210714-13_52_32,154.41,154.41,0.419685809,0.397540487,0.967840964,-0.098074665,1.15565031,0.276896356,0.723103644,1899.995333,1601.681131,0.842992139,0.195984279,6,0.5,0: Broadleaf,2,1626295942,394.7558333,400.0022,36.44483333,35.15244,394.5144667,36.17233667,500.1200333,100.6825667,0.1999629,38.43722667,37.97225,999.9,0,0,10012.10067,0,296.3686333,1899.995333,0.899999567,0.100000157,0,222.7188667,4.99938,5811.988333,15165.84,48.9391,50.1103,49.125,50.00826667,50.937,1705.494,189.5016667,0,228.8000002,0,221.6866538,-127.1144957,-3074.995897,5787.062692,15,1626295871,13:51:10,1626295868,1626295871,3,-0.01,0.045,0.245,0.272,400,35,0.52,0.12,3.931256263,-0.133592015,0.019029719,1,-5.246459667,-0.605255706,0.048794896,1,1.292379667,1.929396841,0.140754351,0,2,3,2/3,100,100,0.241,0.2725,0.110396988,-8.36417E-05,1.28013E-06,-5.74726E-10,0.27248,0,0,0,2,2145,1,27,1.4,1.3,18,501.443,518.715,37.0662,36.4501,30.0005,36.166,36.1263,20.6654,0,100,-999.9,400,35.7675,98.7882,98.2883
11,1626296043,1144.6,20210714 13:54:03,13:54:03,15,SBB,B2R2,_SE,_5.3,_2,1626296035,0.001273566,1.273566476,4.195682809,394.352,235.9315716,23.8001754,39.78122431,0.046779948,2.93990576,0.046370321,0.029017955,372.3693237,40.47822363,37.1855,6.368997424,54.2423068,3.737169579,6.88976889,2.631827844,-56.1642816,229.7196364,18.77081485,564.6954934,0,0,1,0,51205.89977,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-595-20210714-13_53_58,15159,188.56172,249.26,0.243513921,0.5,1601.681682,4.195682809,195.0158934,0.002873386,13.55042927,195.0268513,DARK-596-20210714-13_54_06,-1.42,-1.42,1.005696863,0.242134514,0.930909031,-0.129291497,1.161434132,-0.00182344,1.00182344,1899.996,1601.681682,0.842992134,0.195984267,6,0.5,0: Broadleaf,2,1626296035,394.352,399.9873333,37.04663,35.57553333,394.111,36.77414,500.1922,100.6775333,0.199917033,38.63487,37.1855,999.9,0,0,9991.458333,0,883.1406333,1899.996,0.899997,0.10000278,0,188.8473,4.99938,5021.946,15165.82667,48.875,50,49.05373333,49.937,50.92873333,1705.494667,189.5013333,0,92.70000005,0,188.56172,-28.30392307,-529.1838462,5016.8432,15,1626295871,13:51:10,1626295868,1626295871,3,-0.01,0.045,0.245,0.272,400,35,0.52,0.12,4.173867632,1.314361217,0.097554345,0,-5.616103667,-2.241440623,0.165526185,0,1.455338667,1.881695039,0.137640054,0,0,3,0/3,100,100,0.241,0.2725,0.110396988,-8.36417E-05,1.28013E-06,-5.74726E-10,0.27248,0,0,0,2,2145,1,27,2.9,2.9,18,505.893,518.417,37.2553,36.5594,30.0003,36.2708,36.2319,20.6821,0,100,-999.9,400,36.4813,98.7859,98.2909
12,1626296127,1228.6,20210714 13:55:27,13:55:27,15,SBB,B2R2,_SE,_5.3,_3,1626296119,0.001402328,1.402328418,4.654693637,393.7295333,215.1510344,21.70404961,39.71872757,0.045867151,2.94036415,0.045473342,0.028455939,372.3625104,40.69487842,38.20505,6.731612198,54.16870872,3.78280683,6.983380108,2.948805368,-61.84268325,107.8275096,8.8634579,427.2107946,0,0,1,0,51177.60614,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-597-20210714-13_55_22,15137.7,219.86968,286.76,0.23326238,0.5,1601.653442,4.654693637,186.8027466,0.003160022,11.6476496,217.2561975,DARK-598-20210714-13_55_30,-517.23,-517.23,2.803703445,0.08319795,0.805990246,-0.154850009,1.148539166,-0.195718099,1.195718099,1899.962667,1601.653442,0.84299206,0.19598412,6,0.5,0: Broadleaf,2,1626296119,393.7295333,399.9759,37.49875333,35.87953667,393.489,37.22627667,500.1466,100.6781667,0.200035767,38.88526,38.20505,999.9,0,0,9994.001667,0,1858.676333,1899.962667,0.900000733,0.099999213,0,220.6077333,4.99938,5683.012333,15165.59333,49,50.18493333,49.125,50.0248,51.03306667,1705.469333,189.4933333,0,83.4000001,0,219.86968,-54.79538453,-1288.866921,5665.5496,15,1626295871,13:51:10,1626295868,1626295871,3,-0.01,0.045,0.245,0.272,400,35,0.52,0.12,4.661240081,-0.245065817,0.032433082,1,-6.242066667,-0.681361869,0.061927379,1,1.599513667,2.352317419,0.172046742,0,2,3,2/3,100,100,0.241,0.2725,0.110396988,-8.36417E-05,1.28013E-06,-5.74726E-10,0.27248,0,0,0,2,2145,1,27,4.3,4.3,18,503.257,518.14,37.4719,36.6536,30.0005,36.3742,36.338,20.6936,0,100,-999.9,400,37.2817,98.76,98.2611
13,1626296261,1362.6,20210714 13:57:41,13:57:41,15,SBB,B3R2,_SW,_5.9,_1,1626296253,0.000891831,0.891831121,3.884517851,394.8774667,146.2083569,14.7502665,39.83731158,0.026660887,2.940185637,0.026527305,0.016591512,372.3740697,40.80223761,38.94143,7.004530747,54.40454844,3.794358784,6.974341104,3.210171963,-39.32975245,-12.71577553,-1.048892438,319.2796493,9,2,1,0,51176.71333,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-599-20210714-13_57_36,15147.9,229.1518846,287.79,0.203753137,0.5,1601.70119,3.884517851,163.1758212,0.002679079,11.60238368,217.8468969,DARK-600-20210714-13_57_44,156.19,156.19,0.457277876,0.445578384,0.962082031,-0.13607074,1.148184984,0.303706373,0.696293627,1900.019,1601.70119,0.842992196,0.195984393,6,0.5,0: Broadleaf,2,1626296253,394.8774667,399.9603667,37.61064,36.58092,394.5386,37.31633,500.11,100.6852667,0.1999824,38.86121,38.94143,999.9,0,0,9992.282,0,1296.519667,1900.019,0.899997167,0.100002833,0,229.125,4.99938,5968.938333,15166.00667,49,50.14153333,49.17046667,50,51.0496,1705.512,189.5076667,0,132.8000002,0,229.1518846,-73.70642734,-1697.449914,5970.122692,15,1626296184,13:56:24,1626296184,1626296183,4,0.098,0.022,0.342,0.294,400,36,0.33,0.22,3.888297415,0.013547053,0.022207968,1,-5.079014667,-0.7700097,0.064998452,1,1.0145287,1.795063662,0.135366646,0,2,3,2/3,100,100,0.339,0.2943,0.207963187,-8.36417E-05,1.28013E-06,-5.74726E-10,0.29431,0,0,0,2,2145,1,27,1.3,1.3,18,491.861,516.754,37.612,36.8048,30.001,36.5493,36.5199,20.7075,0,100,-999.9,400,37.5614,98.7369,98.2474
14,1626296377,1478.1,20210714 13:59:36,13:59:36,15,SBB,B3R2,_SW,_5.9,_2,1626296369,0.000810481,0.810480939,3.43603118,395.4785667,150.0066214,15.13286689,39.89640226,0.023929289,2.94171668,0.023821674,0.014898174,372.3721397,41.10404934,39.14533333,7.081777513,54.16162296,3.835222189,7.081069546,3.246555324,-35.7422094,-0.294984523,-0.024376775,336.310569,90,18,1,0,51173.08962,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-601-20210714-13_59_32,15158.1,233.52204,286.35,0.184487376,0.5,1601.69203,3.43603118,147.7459795,0.002399087,11.66575869,217.0207784,DARK-602-20210714-13_59_39,-1737.16,-1737.16,7.0665619,0.026107091,0.622760999,-0.122179906,1.148680151,-0.194209482,1.194209482,1900.008,1601.69203,0.842992256,0.195984511,6,0.5,0: Broadleaf,2,1626296369,395.4785667,399.9853333,38.01716667,37.08179333,395.1392667,37.72286,500.1225,100.6813667,0.199959467,39.14347333,39.14533333,999.9,0,0,10001.37633,0,1206.707,1900.008,0.899995033,0.100004803,0,234.2519333,4.99938,6122.853333,15165.93333,49.062,50.30786667,49.25826667,50.062,51.0704,1705.498333,189.5103333,0,114.5999999,0,233.52204,-90.40746168,-2126.687696,6105.4224,15,1626296184,13:56:24,1626296184,1626296183,4,0.098,0.022,0.342,0.294,400,36,0.33,0.22,3.398914346,2.419311856,0.201435479,0,-4.506762,-3.291552747,0.257202272,0,0.9353689,2.224867301,0.161624866,0,0,3,0/3,100,100,0.339,0.2943,0.207963187,-8.36417E-05,1.28013E-06,-5.74726E-10,0.29431,0,0,0,2,2145,1,27,3.2,3.2,18,395.003,516.714,37.7592,36.9455,30.0003,36.6937,36.6416,20.7229,0,100,-999.9,400,37.6277,98.7125,98.226
15,1626296455,1556.1,20210714 14:00:54,14:00:54,15,SBB,B3R2,_SW,_5.9,_3,1626296447,0.000911571,0.911571415,3.447206129,395.4143333,200.6719074,20.24482323,39.89144959,0.0307059,2.943882329,0.030529076,0.019096474,372.3669737,41.12022509,38.18584667,6.724620263,54.53144421,3.870456898,7.097660724,2.854163365,-40.20029938,158.8968045,13.06353589,504.1270147,63,13,1,0,51226.49449,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-603-20210714-14_00_50,15164.5,169.45596,309.82,0.453050287,0.5,1601.672312,3.447206129,362.8190505,0.002406093,10.70628107,230.2394402,DARK-604-20210714-14_00_57,-0.63,-0.63,1.002033439,0.452130907,0.914416935,-0.343265188,1.140609621,-0.001680923,1.001680923,1899.985,1601.672312,0.842992082,0.195984165,6,0.5,0: Broadleaf,2,1626296447,395.4143333,399.9828,38.36496667,37.31321333,395.0751,38.07065333,500.0786667,100.6851,0.2000886,39.18702,38.18584667,999.9,0,0,10013.33033,0,1153.648667,1899.985,0.9000005,0.09999954,0,169.6185,4.99938,4504.801,15165.76,49.125,50.375,49.28306667,50.1746,51.187,1705.488,189.497,0,77.0999999,0,169.45596,-20.82038465,-518.0761547,4500.5652,15,1626296184,13:56:24,1626296184,1626296183,4,0.098,0.022,0.342,0.294,400,36,0.33,0.22,3.450093496,-0.16441429,0.033185704,1,-4.568482667,-0.587365695,0.055284795,1,1.051735933,1.723956414,0.125100686,0,2,3,2/3,100,100,0.339,0.2943,0.207963187,-8.36417E-05,1.28013E-06,-5.74726E-10,0.29431,0,0,0,2,2145,1,27,4.5,4.5,18,427.488,515.224,37.869,37.0075,30.0004,36.7562,36.7169,20.7299,0,100,-999.9,400,38.202,98.7136,98.2299
16,1626296543,1644.6,20210714 14:02:23,14:02:23,15,SBB,B3R2,_SW,_5.12,_1,1626296535,0.001313011,1.313010915,4.126898993,394.4056,225.2841582,22.72841414,39.79069761,0.04319167,2.939667165,0.042842192,0.026807533,372.3653837,41.15349845,38.56747667,6.86475979,55.08967064,3.938335319,7.148954192,2.926424471,-57.90378134,119.4356836,9.857774515,443.7550604,0,0,1,0,51086.94912,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-605-20210714-14_02_18,15138.6,224.08688,276.76,0.190320567,0.5,1601.664812,4.126898993,152.4148772,0.002830471,12.1046394,211.4673306,DARK-606-20210714-14_02_26,157.03,157.03,0.432613094,0.439932515,0.965493788,-0.119178459,1.151977823,0.308284906,0.691715094,1899.976,1601.664812,0.842992128,0.195984256,6,0.5,0: Broadleaf,2,1626296535,394.4056,399.9779,39.0368,37.52307667,394.0669333,38.7425,500.1264667,100.6878,0.199960233,39.32109333,38.56747667,999.9,0,0,9989.083333,0,514.0497333,1899.976,0.899999,0.100000987,0,225.3303,4.99938,5868.392333,15165.70333,49.25826667,50.437,49.375,50.3162,51.312,1705.477,189.499,0,87.70000005,0,224.08688,-124.105154,-2954.673851,5838.0872,15,1626296184,13:56:24,1626296184,1626296183,4,0.098,0.022,0.342,0.294,400,36,0.33,0.22,4.126367005,0.030164655,0.011370058,1,-5.565093,-0.859948298,0.064314956,1,1.496120333,2.093836085,0.152425428,0,2,3,2/3,100,100,0.339,0.2943,0.207963187,-8.36417E-05,1.28013E-06,-5.74726E-10,0.29431,0,0,0,2,2145,1,27,6,6,18,506.281,513.777,38.0235,37.1156,30.0008,36.8552,36.8294,20.7444,0,100,-999.9,400,38.6631,98.6968,98.2162
17,1626296624,1725.6,20210714 14:03:44,14:03:44,15,SBB,B3R2,_SW,_5.12,_2,1626296616,0.000468067,0.468067162,1.973643469,397.3861333,141.3891061,14.26419635,40.0907396,0.013151376,2.944347165,0.013118828,0.008202185,372.364747,41.62378061,39.65915667,7.279719082,53.52194156,3.879270869,7.248001018,3.400448213,-20.64176186,-12.93907149,-1.073170979,337.7107427,48,10,1,0,51175.46587,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-607-20210714-14_03_39,15171.7,168.4177308,208.03,0.190416138,0.5,1601.661762,1.973643469,152.4911237,0.001486088,16.43421622,168.8441108,DARK-608-20210714-14_03_47,141.84,141.84,0.318175263,0.598463049,0.981007174,-0.077564889,1.175611717,0.50402056,0.49597944,1899.972333,1601.661762,0.84299215,0.1959843,6,0.5,0: Broadleaf,2,1626296616,397.3861333,399.9772,38.45198333,37.91200667,397.0456333,38.15767667,500.0983333,100.6861667,0.1999394,39.57764333,39.65915667,999.9,0,0,10015.871,0,1153.801667,1899.972333,0.8999976,0.10000252,0,168.4622333,4.99938,4458.09,15165.64,49.375,50.5124,49.4622,50.4538,51.437,1705.472333,189.5,0,80,0,168.4177308,-16.88447863,-435.205128,4457.053462,15,1626296184,13:56:24,1626296184,1626296183,4,0.098,0.022,0.342,0.294,400,36,0.33,0.22,1.886081499,5.551593817,0.418621145,0,-2.532606333,-7.18819782,0.5409054,0,0.5193971,2.483866919,0.18124996,0,0,3,0/3,100,100,0.341,0.2944,0.207963187,-8.36417E-05,1.28013E-06,-5.74726E-10,0.29431,0,0,0,2,2145,1,27,7.3,7.4,18,445.718,513.778,38.1846,37.2376,30.0007,36.9708,36.9341,20.7519,0,100,-999.9,400,39.0853,98.6772,98.1949
18,1626296729,1830.6,20210714 14:05:29,14:05:29,15,SBB,B3R2,_SW,_5.12,_3,1626296721,0.001282001,1.282001287,3.739723624,394.8853226,233.7425888,23.57978646,39.83575108,0.041408214,2.942087997,0.041087148,0.025708106,372.3765134,41.70982163,38.89702903,6.987807108,54.48619944,4.01177575,7.362920871,2.976031357,-56.53625677,154.5686833,12.80105064,483.2099906,9,2,1,0,51064.30899,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-609-20210714-14_05_24,15151.8,192.5213462,243.95,0.210816372,0.5,1601.711808,3.739723624,168.8335359,0.002588662,13.86714491,191.7610045,DARK-610-20210714-14_05_32,0.61,0.61,0.997499488,0.211344842,0.932894494,-0.108321371,1.163260059,0.000669642,0.999330358,1900.031613,1601.711808,0.842992189,0.195984378,6,0.5,0: Broadleaf,2,1626296721,394.8853226,399.9791935,39.76808065,38.29123226,394.5464194,39.47376452,500.1265806,100.6792903,0.199999935,39.87152581,38.89702903,999.9,0,0,10003.69516,0,1710.421968,1900.031613,0.899997581,0.100002284,0,192.791871,4.99938,5031.170645,15166.12258,49.562,50.87293548,49.625,50.776,51.687,1705.523226,189.5083871,0,104,0,192.5213462,-36.47976069,-866.7876924,5024.702308,15,1626296184,13:56:24,1626296184,1626296183,4,0.098,0.022,0.342,0.294,400,36,0.33,0.22,3.747129397,-0.32045159,0.036042098,1,-5.095851333,0.06144,0.035657236,1,1.473606,0.911952481,0.066230527,1,3,3,3/3,100,100,0.339,0.2943,0.207963187,-8.36417E-05,1.28013E-06,-5.74726E-10,0.29431,0,0,0,2,2145,1,27,9.1,9.1,18,491.663,512.275,38.4484,37.376,30.0003,37.0931,37.0532,20.7663,0,100,-999.9,400,38.5277,98.6386,98.1589
19,1626296998,2099,20210714 14:09:57,14:09:57,15,SBB,B1R3,_SW,_5.4,_1,1626296990,0.000457714,0.457713727,2.176260676,397.1406667,104.1791304,10.50604009,40.05001529,0.012537556,2.939623163,0.012507924,0.007820109,372.3694731,41.68111958,40.11599333,7.459717593,54.74138514,3.978659567,7.268101741,3.481058027,-20.18517535,-77.12581764,-6.422771259,268.6357088,1,0,1,0,51034.48868,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-611-20210714-14_09_53,15180.8,154.5018846,247.8,0.376505712,0.5,1601.67828,2.176260676,301.5205104,0.001612576,13.63615819,194.1319188,DARK-612-20210714-14_10_00,-0.29,-0.29,1.001170299,0.376065603,0.931601569,-0.198115262,1.161936176,-0.000705875,1.000705875,1899.991333,1601.67828,0.842992414,0.195984827,6,0.5,0: Broadleaf,2,1626296990,397.1406667,399.9699,39.45285667,38.92534667,396.7535333,39.10297,500.0727333,100.6458667,0.2000518,39.62933667,40.11599333,999.9,0,0,9992.995,0,917.8818,1899.991333,0.899991033,0.100008963,0,154.4819667,4.99938,4154.513,15165.77,49.437,50.4685,49.5767,50.41013333,51.5,1705.473333,189.5186667,0,267.5999999,0,154.5018846,-21.89788031,-770.7394864,4156.484231,15,1626296792,14:06:31,1626296783,1626296792,5,0.047,0.056,0.389,0.35,400,38,0.5,0.2,2.178276545,0.288778908,0.033175877,1,-2.82185,-0.882865645,0.075611947,1,0.508369774,1.467116613,0.110143586,0,2,3,2/3,100,100,0.387,0.3499,0.254671064,-8.36417E-05,1.28013E-06,-5.74726E-10,0.34989,0,0,0,2,2145,1,27,3.6,3.4,18,502.22,510.747,38.4415,37.5341,30.0001,37.2889,37.2516,20.7997,0,100,-999.9,400,39.7852,98.6188,98.1487
20,1626297140,2241.5,20210714 14:12:20,14:12:20,15,SBB,B1R3,_SW,_5.4,_2,1626297132,0.000671243,0.671242925,3.34672188,395.6435333,111.005589,11.19456545,39.89940927,0.019831671,2.94447175,0.019757763,0.012355219,372.3689537,41.70505981,39.66336667,7.281360519,55.44700793,4.047670714,7.300070581,3.233689805,-29.60181301,7.608521363,0.631444147,351.0071062,0,0,1,0,51156.2414,RECT-527-20200527-06_29_39,15254.6,718.7284615,3626.84,0.801830668,-0.406566687,RECT-613-20210714-14_12_15,15146.5,205.7368,328.29,0.373307746,0.5,1601.680752,3.34672188,298.9599158,0.002343344,10.04767127,240.2857732,DARK-614-20210714-14_12_23,-2.32,-2.32,1.007066923,0.370688122,0.908901784,-0.313886085,1.13425842,-0.004180081,1.004180081,1899.995,1601.680752,0.842992088,0.195984176,6,0.5,0: Broadleaf,2,1626297132,395.6435333,399.9778667,40.13680333,39.36371667,395.2573667,39.78691,500.0485,100.6468333,0.200029833,39.71129667,39.66336667,999.9,0,0,10020.495,0,175.3502333,1899.995,0.9000006,0.099999397,0,206.3229,4.99938,5448.818667,15165.84,49.41633333,50.375,49.562,50.312,51.4454,1705.496667,189.4983333,0,141.7,0,205.7368,-57.43246161,-1416.203848,5434.4928,15,1626296792,14:06:31,1626296783,1626296792,5,0.047,0.056,0.389,0.35,400,38,0.5,0.2,3.3548003,-0.303280281,0.040552551,1,-4.333662903,-0.708981774,0.060891051,1,0.761120839,2.367538935,0.178752413,0,2,3,2/3,100,100,0.386,0.3499,0.254671064,-8.36417E-05,1.28013E-06,-5.74726E-10,0.34989,0,0,0,2,2145,1,27,6,5.8,18,502.77,511.955,38.5168,37.5427,29.9999,37.3035,37.2651,20.8186,0,100,-999.9,400,39.2369,98.6155,98.1453
